Data Table for Total Cases - Alabama
Date generated: Mon Dec 05 2022 12:35:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Alabama,Nov 30 2022,1549285
Alabama,Nov 23 2022,1545099
Alabama,Nov 16 2022,1542227
Alabama,Nov  9 2022,1540329
Alabama,Nov  2 2022,1534287
Alabama,Oct 26 2022,1531305
Alabama,Oct 19 2022,1528739
Alabama,Oct 12 2022,1525724
Alabama,Oct  5 2022,1522135
Alabama,Sep 28 2022,1517904
Alabama,Sep 21 2022,1512134
Alabama,Sep 14 2022,1504180
Alabama,Sep  7 2022,1494300
Alabama,Aug 31 2022,1479605
Alabama,Aug 24 2022,1463933
Alabama,Aug 17 2022,1449812
Alabama,Aug 10 2022,1436458
Alabama,Aug  3 2022,1424411
Alabama,Jul 27 2022,1419075
Alabama,Jul 20 2022,1401893
Alabama,Jul 13 2022,1384836
Alabama,Jul  6 2022,1367570
Alabama,Jun 29 2022,1355340
Alabama,Jun 22 2022,1342150
Alabama,Jun 15 2022,1331452
Alabama,Jun  8 2022,1322957
Alabama,Jun  1 2022,1315934
Alabama,May 25 2022,1310521
Alabama,May 18 2022,1306662
Alabama,May 11 2022,1303827
Alabama,May  4 2022,1301804
Alabama,Apr 27 2022,1300274
Alabama,Apr 20 2022,1298637
Alabama,Apr 13 2022,1297392
Alabama,Apr  6 2022,1296286
Alabama,Mar 30 2022,1295015
Alabama,Mar 23 2022,1291927
Alabama,Mar 16 2022,1290138
Alabama,Mar  9 2022,1287823
Alabama,Mar  2 2022,1281606
Alabama,Feb 23 2022,1275357
Alabama,Feb 16 2022,1267908
Alabama,Feb  9 2022,1254032
Alabama,Feb  2 2022,1229300
Alabama,Jan 26 2022,1161930
Alabama,Jan 19 2022,1088370
Alabama,Jan 12 2022,1004622
Alabama,Jan  5 2022,932250
Alabama,Dec 29 2021,880307
Alabama,Dec 22 2021,861110
Alabama,Dec 15 2021,854884
Alabama,Dec  8 2021,850098
Alabama,Dec  1 2021,846306
Alabama,Nov 24 2021,844206
Alabama,Nov 17 2021,840934
Alabama,Nov 10 2021,837339
Alabama,Nov  3 2021,833481
Alabama,Oct 27 2021,828643
Alabama,Oct 20 2021,815998
Alabama,Oct 13 2021,810500
Alabama,Oct  6 2021,804251
Alabama,Sep 29 2021,794773
Alabama,Sep 22 2021,778549
Alabama,Sep 15 2021,757893
Alabama,Sep  8 2021,732154
Alabama,Sep  1 2021,704420
Alabama,Aug 25 2021,665653
Alabama,Aug 18 2021,645851
Alabama,Aug 11 2021,619752
Alabama,Aug  4 2021,595816
Alabama,Jul 28 2021,577463
Alabama,Jul 21 2021,563944
Alabama,Jul 14 2021,556613
Alabama,Jul  7 2021,552911
Alabama,Jun 30 2021,550979
Alabama,Jun 23 2021,549396
Alabama,Jun 16 2021,548305
Alabama,Jun  9 2021,546829
Alabama,Jun  2 2021,544588
Alabama,May 26 2021,542828
Alabama,May 19 2021,540890
Alabama,May 12 2021,531748
Alabama,May  5 2021,529459
Alabama,Apr 28 2021,527085
Alabama,Apr 21 2021,524305
Alabama,Apr 14 2021,520759
Alabama,Apr  7 2021,517448
Alabama,Mar 31 2021,515353
Alabama,Mar 24 2021,512669
Alabama,Mar 17 2021,509465
Alabama,Mar 10 2021,501400
Alabama,Mar  3 2021,497144
Alabama,Feb 24 2021,490165
Alabama,Feb 17 2021,483177
Alabama,Feb 10 2021,476015
Alabama,Feb  3 2021,465061
Alabama,Jan 27 2021,449087
Alabama,Jan 20 2021,429655
Alabama,Jan 13 2021,410996
Alabama,Jan  6 2021,384185
Alabama,Dec 30 2020,356820
Alabama,Dec 23 2020,334569
Alabama,Dec 16 2020,305640
Alabama,Dec  9 2020,280187
Alabama,Dec  2 2020,256828
Alabama,Nov 25 2020,239318
Alabama,Nov 18 2020,223488
Alabama,Nov 11 2020,208637
Alabama,Nov  4 2020,198927
Alabama,Oct 28 2020,188775
Alabama,Oct 21 2020,176605
Alabama,Oct 14 2020,168620
Alabama,Oct  7 2020,161085
Alabama,Sep 30 2020,154772
Alabama,Sep 23 2020,146897
Alabama,Sep 16 2020,140423
Alabama,Sep  9 2020,134061
Alabama,Sep  2 2020,128240
Alabama,Aug 26 2020,119904
Alabama,Aug 19 2020,111696
Alabama,Aug 12 2020,104219
Alabama,Aug  5 2020,95323
Alabama,Jul 29 2020,84652
Alabama,Jul 22 2020,72594
Alabama,Jul 15 2020,60194
Alabama,Jul  8 2020,48149
Alabama,Jul  1 2020,39647
Alabama,Jun 24 2020,32878
Alabama,Jun 17 2020,27941
Alabama,Jun 10 2020,22659
Alabama,Jun  3 2020,18954
Alabama,May 27 2020,16263
Alabama,May 20 2020,13186
Alabama,May 13 2020,10822
Alabama,May  6 2020,8769
Alabama,Apr 29 2020,6979
Alabama,Apr 22 2020,5692
Alabama,Apr 15 2020,4307
Alabama,Apr  8 2020,2614
Alabama,Apr  1 2020,1175
Alabama,Mar 25 2020,472
Alabama,Mar 18 2020,61
Alabama,Mar 11 2020,3
Alabama,Mar  4 2020,0
Alabama,Feb 26 2020,0
Alabama,Feb 19 2020,0
Alabama,Feb 12 2020,0
Alabama,Feb  5 2020,0
Alabama,Jan 29 2020,0
