Data Table for Total Cases - Alaska
Date generated: Mon Dec 05 2022 12:35:09 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Alaska,Nov 30 2022,286561
Alaska,Nov 23 2022,286163
Alaska,Nov 16 2022,285733
Alaska,Nov  9 2022,285343
Alaska,Nov  2 2022,285144
Alaska,Oct 26 2022,284785
Alaska,Oct 19 2022,284406
Alaska,Oct 12 2022,284059
Alaska,Oct  5 2022,283548
Alaska,Sep 28 2022,282911
Alaska,Sep 21 2022,282361
Alaska,Sep 14 2022,281717
Alaska,Sep  7 2022,280767
Alaska,Aug 31 2022,279888
Alaska,Aug 24 2022,278680
Alaska,Aug 17 2022,277007
Alaska,Aug 10 2022,275542
Alaska,Aug  3 2022,273674
Alaska,Jul 27 2022,271101
Alaska,Jul 20 2022,269051
Alaska,Jul 13 2022,266706
Alaska,Jul  6 2022,264573
Alaska,Jun 29 2022,262585
Alaska,Jun 22 2022,259819
Alaska,Jun 15 2022,257682
Alaska,Jun  8 2022,255700
Alaska,Jun  1 2022,253643
Alaska,May 25 2022,251699
Alaska,May 18 2022,249818
Alaska,May 11 2022,248121
Alaska,May  4 2022,246582
Alaska,Apr 27 2022,245165
Alaska,Apr 20 2022,243740
Alaska,Apr 13 2022,242227
Alaska,Apr  6 2022,240990
Alaska,Mar 30 2022,239613
Alaska,Mar 23 2022,238168
Alaska,Mar 16 2022,236745
Alaska,Mar  9 2022,235338
Alaska,Mar  2 2022,232898
Alaska,Feb 23 2022,230807
Alaska,Feb 16 2022,228123
Alaska,Feb  9 2022,224165
Alaska,Feb  2 2022,216048
Alaska,Jan 26 2022,202626
Alaska,Jan 19 2022,185787
Alaska,Jan 12 2022,170052
Alaska,Jan  5 2022,157886
Alaska,Dec 29 2021,152363
Alaska,Dec 22 2021,150283
Alaska,Dec 15 2021,149237
Alaska,Dec  8 2021,148018
Alaska,Dec  1 2021,146508
Alaska,Nov 24 2021,144792
Alaska,Nov 17 2021,142443
Alaska,Nov 10 2021,139524
Alaska,Nov  3 2021,136133
Alaska,Oct 27 2021,131999
Alaska,Oct 20 2021,127374
Alaska,Oct 13 2021,121844
Alaska,Oct  6 2021,115667
Alaska,Sep 29 2021,109923
Alaska,Sep 22 2021,101487
Alaska,Sep 15 2021,95229
Alaska,Sep  8 2021,90342
Alaska,Sep  1 2021,86078
Alaska,Aug 25 2021,82427
Alaska,Aug 18 2021,79070
Alaska,Aug 11 2021,76069
Alaska,Aug  4 2021,73957
Alaska,Jul 28 2021,72065
Alaska,Jul 21 2021,70519
Alaska,Jul 14 2021,69320
Alaska,Jul  7 2021,68748
Alaska,Jun 30 2021,68435
Alaska,Jun 23 2021,68178
Alaska,Jun 16 2021,67941
Alaska,Jun  9 2021,67786
Alaska,Jun  2 2021,67601
Alaska,May 26 2021,67371
Alaska,May 19 2021,67074
Alaska,May 12 2021,66621
Alaska,May  5 2021,66056
Alaska,Apr 28 2021,65325
Alaska,Apr 21 2021,64283
Alaska,Apr 14 2021,63137
Alaska,Apr  7 2021,62024
Alaska,Mar 31 2021,60816
Alaska,Mar 24 2021,59630
Alaska,Mar 17 2021,58686
Alaska,Mar 10 2021,57772
Alaska,Mar  3 2021,56862
Alaska,Feb 24 2021,55986
Alaska,Feb 17 2021,55101
Alaska,Feb 10 2021,54294
Alaska,Feb  3 2021,53305
Alaska,Jan 27 2021,52359
Alaska,Jan 20 2021,51178
Alaska,Jan 13 2021,49801
Alaska,Jan  6 2021,47828
Alaska,Dec 30 2020,45802
Alaska,Dec 23 2020,44078
Alaska,Dec 16 2020,41855
Alaska,Dec  9 2020,38438
Alaska,Dec  2 2020,33816
Alaska,Nov 25 2020,29292
Alaska,Nov 18 2020,25180
Alaska,Nov 11 2020,20864
Alaska,Nov  4 2020,17266
Alaska,Oct 28 2020,14539
Alaska,Oct 21 2020,11925
Alaska,Oct 14 2020,10387
Alaska,Oct  7 2020,9046
Alaska,Sep 30 2020,8026
Alaska,Sep 23 2020,7193
Alaska,Sep 16 2020,6551
Alaska,Sep  9 2020,6022
Alaska,Sep  2 2020,5475
Alaska,Aug 26 2020,5001
Alaska,Aug 19 2020,4536
Alaska,Aug 12 2020,3978
Alaska,Aug  5 2020,3487
Alaska,Jul 29 2020,2886
Alaska,Jul 22 2020,2202
Alaska,Jul 15 2020,1694
Alaska,Jul  8 2020,1273
Alaska,Jul  1 2020,1020
Alaska,Jun 24 2020,821
Alaska,Jun 17 2020,713
Alaska,Jun 10 2020,616
Alaska,Jun  3 2020,518
Alaska,May 27 2020,427
Alaska,May 20 2020,404
Alaska,May 13 2020,389
Alaska,May  6 2020,374
Alaska,Apr 29 2020,355
Alaska,Apr 22 2020,337
Alaska,Apr 15 2020,300
Alaska,Apr  8 2020,235
Alaska,Apr  1 2020,149
Alaska,Mar 25 2020,63
Alaska,Mar 18 2020,11
Alaska,Mar 11 2020,0
Alaska,Mar  4 2020,0
Alaska,Feb 26 2020,0
Alaska,Feb 19 2020,0
Alaska,Feb 12 2020,0
Alaska,Feb  5 2020,0
Alaska,Jan 29 2020,0
