Data Table for Total Cases - Georgia
Date generated: Mon Dec 05 2022 12:39:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Georgia,Nov 30 2022,2943524
Georgia,Nov 23 2022,2937280
Georgia,Nov 16 2022,2933218
Georgia,Nov  9 2022,2929425
Georgia,Nov  2 2022,2924698
Georgia,Oct 26 2022,2920635
Georgia,Oct 19 2022,2917260
Georgia,Oct 12 2022,2913311
Georgia,Oct  5 2022,2909656
Georgia,Sep 28 2022,2905264
Georgia,Sep 21 2022,2900226
Georgia,Sep 14 2022,2892907
Georgia,Sep  7 2022,2883280
Georgia,Aug 31 2022,2870610
Georgia,Aug 24 2022,2852705
Georgia,Aug 17 2022,2829283
Georgia,Aug 10 2022,2803517
Georgia,Aug  3 2022,2778580
Georgia,Jul 27 2022,2750915
Georgia,Jul 20 2022,2721391
Georgia,Jul 13 2022,2694160
Georgia,Jul  6 2022,2667557
Georgia,Jun 29 2022,2647568
Georgia,Jun 22 2022,2626597
Georgia,Jun 15 2022,2608161
Georgia,Jun  8 2022,2588774
Georgia,Jun  1 2022,2571059
Georgia,May 25 2022,2556016
Georgia,May 18 2022,2541684
Georgia,May 11 2022,2530745
Georgia,May  4 2022,2521385
Georgia,Apr 27 2022,2514698
Georgia,Apr 20 2022,2508616
Georgia,Apr 13 2022,2504537
Georgia,Apr  6 2022,2501268
Georgia,Mar 30 2022,2495557
Georgia,Mar 23 2022,2483374
Georgia,Mar 16 2022,2479374
Georgia,Mar  9 2022,2473674
Georgia,Mar  2 2022,2467695
Georgia,Feb 23 2022,2458863
Georgia,Feb 16 2022,2446467
Georgia,Feb  9 2022,2424940
Georgia,Feb  2 2022,2386300
Georgia,Jan 26 2022,2306025
Georgia,Jan 19 2022,2123928
Georgia,Jan 12 2022,2010073
Georgia,Jan  5 2022,1928942
Georgia,Dec 29 2021,1792021
Georgia,Dec 22 2021,1714092
Georgia,Dec 15 2021,1686326
Georgia,Dec  8 2021,1675444
Georgia,Dec  1 2021,1666106
Georgia,Nov 24 2021,1659480
Georgia,Nov 17 2021,1651954
Georgia,Nov 10 2021,1644995
Georgia,Nov  3 2021,1638605
Georgia,Oct 27 2021,1631347
Georgia,Oct 20 2021,1622376
Georgia,Oct 13 2021,1611693
Georgia,Oct  6 2021,1593680
Georgia,Sep 29 2021,1573836
Georgia,Sep 22 2021,1548684
Georgia,Sep 15 2021,1513670
Georgia,Sep  8 2021,1468410
Georgia,Sep  1 2021,1413284
Georgia,Aug 25 2021,1348021
Georgia,Aug 18 2021,1287667
Georgia,Aug 11 2021,1238384
Georgia,Aug  4 2021,1199629
Georgia,Jul 28 2021,1171232
Georgia,Jul 21 2021,1153068
Georgia,Jul 14 2021,1143527
Georgia,Jul  7 2021,1137562
Georgia,Jun 30 2021,1134570
Georgia,Jun 23 2021,1131949
Georgia,Jun 16 2021,1129650
Georgia,Jun  9 2021,1127110
Georgia,Jun  2 2021,1124411
Georgia,May 26 2021,1121313
Georgia,May 19 2021,1117337
Georgia,May 12 2021,1112163
Georgia,May  5 2021,1105775
Georgia,Apr 28 2021,1097234
Georgia,Apr 21 2021,1087792
Georgia,Apr 14 2021,1078377
Georgia,Apr  7 2021,1068196
Georgia,Mar 31 2021,1059551
Georgia,Mar 24 2021,1049383
Georgia,Mar 17 2021,1038468
Georgia,Mar 10 2021,1028361
Georgia,Mar  3 2021,1014496
Georgia,Feb 24 2021,994055
Georgia,Feb 17 2021,973250
Georgia,Feb 10 2021,950908
Georgia,Feb  3 2021,922357
Georgia,Jan 27 2021,885605
Georgia,Jan 20 2021,836720
Georgia,Jan 13 2021,782296
Georgia,Jan  6 2021,713842
Georgia,Dec 30 2020,654743
Georgia,Dec 23 2020,608291
Georgia,Dec 16 2020,560607
Georgia,Dec  9 2020,517785
Georgia,Dec  2 2020,482140
Georgia,Nov 25 2020,457910
Georgia,Nov 18 2020,433706
Georgia,Nov 11 2020,413881
Georgia,Nov  4 2020,395711
Georgia,Oct 28 2020,355034
Georgia,Oct 21 2020,343752
Georgia,Oct 14 2020,334587
Georgia,Oct  7 2020,326149
Georgia,Sep 30 2020,318033
Georgia,Sep 23 2020,310171
Georgia,Sep 16 2020,299043
Georgia,Sep  9 2020,287278
Georgia,Sep  2 2020,274599
Georgia,Aug 26 2020,260597
Georgia,Aug 19 2020,243981
Georgia,Aug 12 2020,226103
Georgia,Aug  5 2020,201715
Georgia,Jul 29 2020,178333
Georgia,Jul 22 2020,152293
Georgia,Jul 15 2020,127827
Georgia,Jul  8 2020,103892
Georgia,Jul  1 2020,84242
Georgia,Jun 24 2020,69391
Georgia,Jun 17 2020,60026
Georgia,Jun 10 2020,53957
Georgia,Jun  3 2020,48888
Georgia,May 27 2020,44595
Georgia,May 20 2020,39807
Georgia,May 13 2020,35414
Georgia,May  6 2020,30735
Georgia,Apr 29 2020,25761
Georgia,Apr 22 2020,21203
Georgia,Apr 15 2020,14988
Georgia,Apr  8 2020,9888
Georgia,Apr  1 2020,4639
Georgia,Mar 25 2020,1242
Georgia,Mar 18 2020,200
Georgia,Mar 11 2020,23
Georgia,Mar  4 2020,2
Georgia,Feb 26 2020,0
Georgia,Feb 19 2020,0
Georgia,Feb 12 2020,0
Georgia,Feb  5 2020,0
Georgia,Jan 29 2020,0
