Data Table for Total Cases - Hawaii
Date generated: Mon Dec 05 2022 12:39:38 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Hawaii,Nov 30 2022,354680
Hawaii,Nov 23 2022,353718
Hawaii,Nov 16 2022,352609
Hawaii,Nov  9 2022,351617
Hawaii,Nov  2 2022,350619
Hawaii,Oct 26 2022,349609
Hawaii,Oct 19 2022,348406
Hawaii,Oct 12 2022,347263
Hawaii,Oct  5 2022,346285
Hawaii,Sep 28 2022,345128
Hawaii,Sep 21 2022,344085
Hawaii,Sep 14 2022,342906
Hawaii,Sep  7 2022,341581
Hawaii,Aug 31 2022,340326
Hawaii,Aug 24 2022,338595
Hawaii,Aug 17 2022,336333
Hawaii,Aug 10 2022,333549
Hawaii,Aug  3 2022,330291
Hawaii,Jul 27 2022,326637
Hawaii,Jul 20 2022,322528
Hawaii,Jul 13 2022,318281
Hawaii,Jul  6 2022,313978
Hawaii,Jun 29 2022,309695
Hawaii,Jun 22 2022,304559
Hawaii,Jun 15 2022,298751
Hawaii,Jun  8 2022,291909
Hawaii,Jun  1 2022,283702
Hawaii,May 25 2022,275057
Hawaii,May 18 2022,266244
Hawaii,May 11 2022,258839
Hawaii,May  4 2022,252706
Hawaii,Apr 27 2022,248362
Hawaii,Apr 20 2022,245306
Hawaii,Apr 13 2022,243128
Hawaii,Apr  6 2022,241681
Hawaii,Mar 30 2022,240537
Hawaii,Mar 23 2022,239581
Hawaii,Mar 16 2022,238766
Hawaii,Mar  9 2022,238053
Hawaii,Mar  2 2022,237105
Hawaii,Feb 23 2022,235821
Hawaii,Feb 16 2022,233894
Hawaii,Feb  9 2022,230506
Hawaii,Feb  2 2022,223781
Hawaii,Jan 26 2022,211091
Hawaii,Jan 19 2022,188894
Hawaii,Jan 12 2022,159399
Hawaii,Jan  5 2022,127173
Hawaii,Dec 29 2021,107038
Hawaii,Dec 22 2021,94730
Hawaii,Dec 15 2021,88933
Hawaii,Dec  8 2021,87368
Hawaii,Dec  1 2021,86640
Hawaii,Nov 24 2021,86040
Hawaii,Nov 17 2021,85367
Hawaii,Nov 10 2021,84678
Hawaii,Nov  3 2021,83893
Hawaii,Oct 27 2021,83135
Hawaii,Oct 20 2021,82155
Hawaii,Oct 13 2021,81244
Hawaii,Oct  6 2021,80096
Hawaii,Sep 29 2021,78355
Hawaii,Sep 22 2021,75923
Hawaii,Sep 15 2021,72574
Hawaii,Sep  8 2021,68409
Hawaii,Sep  1 2021,63506
Hawaii,Aug 25 2021,57609
Hawaii,Aug 18 2021,52065
Hawaii,Aug 11 2021,47250
Hawaii,Aug  4 2021,43218
Hawaii,Jul 28 2021,40398
Hawaii,Jul 21 2021,38811
Hawaii,Jul 14 2021,37816
Hawaii,Jul  7 2021,37226
Hawaii,Jun 30 2021,36848
Hawaii,Jun 23 2021,36522
Hawaii,Jun 16 2021,36213
Hawaii,Jun  9 2021,35820
Hawaii,Jun  2 2021,35448
Hawaii,May 26 2021,35073
Hawaii,May 19 2021,34698
Hawaii,May 12 2021,34097
Hawaii,May  5 2021,33475
Hawaii,Apr 28 2021,32736
Hawaii,Apr 21 2021,32132
Hawaii,Apr 14 2021,31495
Hawaii,Apr  7 2021,30833
Hawaii,Mar 31 2021,30130
Hawaii,Mar 24 2021,29303
Hawaii,Mar 17 2021,28657
Hawaii,Mar 10 2021,28202
Hawaii,Mar  3 2021,27796
Hawaii,Feb 24 2021,27479
Hawaii,Feb 17 2021,27133
Hawaii,Feb 10 2021,26806
Hawaii,Feb  3 2021,26323
Hawaii,Jan 27 2021,25710
Hawaii,Jan 20 2021,24893
Hawaii,Jan 13 2021,24004
Hawaii,Jan  6 2021,22642
Hawaii,Dec 30 2020,21511
Hawaii,Dec 23 2020,20824
Hawaii,Dec 16 2020,19927
Hawaii,Dec  9 2020,19071
Hawaii,Dec  2 2020,18338
Hawaii,Nov 25 2020,17783
Hawaii,Nov 18 2020,17007
Hawaii,Nov 11 2020,16376
Hawaii,Nov  4 2020,15629
Hawaii,Oct 28 2020,15039
Hawaii,Oct 21 2020,14421
Hawaii,Oct 14 2020,13819
Hawaii,Oct  7 2020,13204
Hawaii,Sep 30 2020,12539
Hawaii,Sep 23 2020,11762
Hawaii,Sep 16 2020,11120
Hawaii,Sep  9 2020,10265
Hawaii,Sep  2 2020,8999
Hawaii,Aug 26 2020,7203
Hawaii,Aug 19 2020,5512
Hawaii,Aug 12 2020,3874
Hawaii,Aug  5 2020,2645
Hawaii,Jul 29 2020,1798
Hawaii,Jul 22 2020,1444
Hawaii,Jul 15 2020,1284
Hawaii,Jul  8 2020,1087
Hawaii,Jul  1 2020,936
Hawaii,Jun 24 2020,835
Hawaii,Jun 17 2020,747
Hawaii,Jun 10 2020,684
Hawaii,Jun  3 2020,659
Hawaii,May 27 2020,647
Hawaii,May 20 2020,638
Hawaii,May 13 2020,623
Hawaii,May  6 2020,607
Hawaii,Apr 29 2020,583
Hawaii,Apr 22 2020,551
Hawaii,Apr 15 2020,488
Hawaii,Apr  8 2020,406
Hawaii,Apr  1 2020,257
Hawaii,Mar 25 2020,105
Hawaii,Mar 18 2020,19
Hawaii,Mar 11 2020,4
Hawaii,Mar  4 2020,0
Hawaii,Feb 26 2020,0
Hawaii,Feb 19 2020,0
Hawaii,Feb 12 2020,0
Hawaii,Feb  5 2020,0
Hawaii,Jan 29 2020,0
