Data Table for Total Cases - Illinois
Date generated: Mon Dec 05 2022 12:40:11 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Illinois,Nov 30 2022,3877441
Illinois,Nov 23 2022,3860866
Illinois,Nov 16 2022,3845952
Illinois,Nov  9 2022,3832738
Illinois,Nov  2 2022,3818330
Illinois,Oct 26 2022,3804664
Illinois,Oct 19 2022,3790174
Illinois,Oct 12 2022,3779983
Illinois,Oct  5 2022,3769280
Illinois,Sep 28 2022,3758295
Illinois,Sep 21 2022,3743789
Illinois,Sep 14 2022,3728300
Illinois,Sep  7 2022,3708917
Illinois,Aug 31 2022,3687549
Illinois,Aug 24 2022,3661342
Illinois,Aug 17 2022,3636062
Illinois,Aug 10 2022,3611415
Illinois,Aug  3 2022,3584009
Illinois,Jul 27 2022,3550590
Illinois,Jul 20 2022,3516370
Illinois,Jul 13 2022,3486089
Illinois,Jul  6 2022,3451749
Illinois,Jun 29 2022,3425979
Illinois,Jun 22 2022,3398128
Illinois,Jun 15 2022,3371262
Illinois,Jun  8 2022,3342542
Illinois,Jun  1 2022,3306763
Illinois,May 25 2022,3274357
Illinois,May 18 2022,3237289
Illinois,May 11 2022,3195246
Illinois,May  4 2022,3157453
Illinois,Apr 27 2022,3128136
Illinois,Apr 20 2022,3106609
Illinois,Apr 13 2022,3088682
Illinois,Apr  6 2022,3076574
Illinois,Mar 30 2022,3066583
Illinois,Mar 23 2022,3058129
Illinois,Mar 16 2022,3050569
Illinois,Mar  9 2022,3042445
Illinois,Mar  2 2022,3034631
Illinois,Feb 23 2022,3022577
Illinois,Feb 16 2022,3007921
Illinois,Feb  9 2022,2982076
Illinois,Feb  2 2022,2939099
Illinois,Jan 26 2022,2867299
Illinois,Jan 19 2022,2709474
Illinois,Jan 12 2022,2522953
Illinois,Jan  5 2022,2295445
Illinois,Dec 29 2021,2119162
Illinois,Dec 22 2021,2002360
Illinois,Dec 15 2021,1921434
Illinois,Dec  8 2021,1867912
Illinois,Dec  1 2021,1815994
Illinois,Nov 24 2021,1784900
Illinois,Nov 17 2021,1752502
Illinois,Nov 10 2021,1727634
Illinois,Nov  3 2021,1705782
Illinois,Oct 27 2021,1690273
Illinois,Oct 20 2021,1675794
Illinois,Oct 13 2021,1660884
Illinois,Oct  6 2021,1643993
Illinois,Sep 29 2021,1624164
Illinois,Sep 22 2021,1605320
Illinois,Sep 15 2021,1582392
Illinois,Sep  8 2021,1554336
Illinois,Sep  1 2021,1528120
Illinois,Aug 25 2021,1499022
Illinois,Aug 18 2021,1474285
Illinois,Aug 11 2021,1451094
Illinois,Aug  4 2021,1430265
Illinois,Jul 28 2021,1415573
Illinois,Jul 21 2021,1404469
Illinois,Jul 14 2021,1398413
Illinois,Jul  7 2021,1394240
Illinois,Jun 30 2021,1391743
Illinois,Jun 23 2021,1389882
Illinois,Jun 16 2021,1388311
Illinois,Jun  9 2021,1386252
Illinois,Jun  2 2021,1383056
Illinois,May 26 2021,1378392
Illinois,May 19 2021,1370338
Illinois,May 12 2021,1359747
Illinois,May  5 2021,1346396
Illinois,Apr 28 2021,1328455
Illinois,Apr 21 2021,1309552
Illinois,Apr 14 2021,1288935
Illinois,Apr  7 2021,1265459
Illinois,Mar 31 2021,1244587
Illinois,Mar 24 2021,1227704
Illinois,Mar 17 2021,1213766
Illinois,Mar 10 2021,1202709
Illinois,Mar  3 2021,1191518
Illinois,Feb 24 2021,1179343
Illinois,Feb 17 2021,1166713
Illinois,Feb 10 2021,1152995
Illinois,Feb  3 2021,1134231
Illinois,Jan 27 2021,1112186
Illinois,Jan 20 2021,1081360
Illinois,Jan 13 2021,1046030
Illinois,Jan  6 2021,999288
Illinois,Dec 30 2020,955381
Illinois,Dec 23 2020,918066
Illinois,Dec 16 2020,870601
Illinois,Dec  9 2020,812431
Illinois,Dec  2 2020,748603
Illinois,Nov 25 2020,685467
Illinois,Nov 18 2020,606771
Illinois,Nov 11 2020,523840
Illinois,Nov  4 2020,443803
Illinois,Oct 28 2020,393800
Illinois,Oct 21 2020,358800
Illinois,Oct 14 2020,330637
Illinois,Oct  7 2020,310337
Illinois,Sep 30 2020,295723
Illinois,Sep 23 2020,281303
Illinois,Sep 16 2020,268238
Illinois,Sep  9 2020,255614
Illinois,Sep  2 2020,240344
Illinois,Aug 26 2020,227047
Illinois,Aug 19 2020,213223
Illinois,Aug 12 2020,199918
Illinois,Aug  5 2020,187754
Illinois,Jul 29 2020,176364
Illinois,Jul 22 2020,166481
Illinois,Jul 15 2020,157813
Illinois,Jul  8 2020,150548
Illinois,Jul  1 2020,144010
Illinois,Jun 24 2020,138540
Illinois,Jun 17 2020,134184
Illinois,Jun 10 2020,129833
Illinois,Jun  3 2020,123823
Illinois,May 27 2020,114312
Illinois,May 20 2020,100418
Illinois,May 13 2020,84689
Illinois,May  6 2020,68231
Illinois,Apr 29 2020,50356
Illinois,Apr 22 2020,35113
Illinois,Apr 15 2020,24595
Illinois,Apr  8 2020,15085
Illinois,Apr  1 2020,6982
Illinois,Mar 25 2020,1864
Illinois,Mar 18 2020,273
Illinois,Mar 11 2020,25
Illinois,Mar  4 2020,4
Illinois,Feb 26 2020,2
Illinois,Feb 19 2020,2
Illinois,Feb 12 2020,2
Illinois,Feb  5 2020,2
Illinois,Jan 29 2020,1
