Data Table for Total Cases - Indiana
Date generated: Mon Dec 05 2022 12:40:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Indiana,Nov 30 2022,1965757
Indiana,Nov 23 2022,1959421
Indiana,Nov 16 2022,1953497
Indiana,Nov  9 2022,1948019
Indiana,Nov  2 2022,1942708
Indiana,Oct 26 2022,1937565
Indiana,Oct 19 2022,1933102
Indiana,Oct 12 2022,1925645
Indiana,Oct  5 2022,1925645
Indiana,Sep 28 2022,1921993
Indiana,Sep 21 2022,1917862
Indiana,Sep 14 2022,1912563
Indiana,Sep  7 2022,1905229
Indiana,Aug 31 2022,1895799
Indiana,Aug 24 2022,1882527
Indiana,Aug 17 2022,1867509
Indiana,Aug 10 2022,1854031
Indiana,Aug  3 2022,1837688
Indiana,Jul 27 2022,1823296
Indiana,Jul 20 2022,1807443
Indiana,Jul 13 2022,1794607
Indiana,Jul  6 2022,1782265
Indiana,Jun 29 2022,1772183
Indiana,Jun 22 2022,1762056
Indiana,Jun 15 2022,1753106
Indiana,Jun  8 2022,1745120
Indiana,Jun  1 2022,1735571
Indiana,May 25 2022,1727818
Indiana,May 18 2022,1718495
Indiana,May 11 2022,1711273
Indiana,May  4 2022,1705385
Indiana,Apr 27 2022,1700770
Indiana,Apr 20 2022,1695736
Indiana,Apr 13 2022,1693565
Indiana,Apr  6 2022,1692243
Indiana,Mar 30 2022,1691043
Indiana,Mar 23 2022,1689662
Indiana,Mar 16 2022,1687916
Indiana,Mar  9 2022,1685994
Indiana,Mar  2 2022,1682665
Indiana,Feb 23 2022,1678628
Indiana,Feb 16 2022,1671299
Indiana,Feb  9 2022,1655128
Indiana,Feb  2 2022,1636022
Indiana,Jan 26 2022,1574807
Indiana,Jan 19 2022,1490503
Indiana,Jan 12 2022,1393574
Indiana,Jan  5 2022,1299480
Indiana,Dec 29 2021,1234919
Indiana,Dec 22 2021,1200926
Indiana,Dec 15 2021,1170955
Indiana,Dec  8 2021,1140151
Indiana,Dec  1 2021,1107189
Indiana,Nov 24 2021,1084488
Indiana,Nov 17 2021,1061791
Indiana,Nov 10 2021,1043598
Indiana,Nov  3 2021,1029339
Indiana,Oct 27 2021,1017792
Indiana,Oct 20 2021,1006504
Indiana,Oct 13 2021,993998
Indiana,Oct  6 2021,978751
Indiana,Sep 29 2021,961004
Indiana,Sep 22 2021,942129
Indiana,Sep 15 2021,918690
Indiana,Sep  8 2021,889249
Indiana,Sep  1 2021,862935
Indiana,Aug 25 2021,833968
Indiana,Aug 18 2021,809545
Indiana,Aug 11 2021,790926
Indiana,Aug  4 2021,777424
Indiana,Jul 28 2021,768625
Indiana,Jul 21 2021,762837
Indiana,Jul 14 2021,759061
Indiana,Jul  7 2021,756078
Indiana,Jun 30 2021,753928
Indiana,Jun 23 2021,752110
Indiana,Jun 16 2021,750168
Indiana,Jun  9 2021,747802
Indiana,Jun  2 2021,744479
Indiana,May 26 2021,741699
Indiana,May 19 2021,737282
Indiana,May 12 2021,731810
Indiana,May  5 2021,725359
Indiana,Apr 28 2021,717563
Indiana,Apr 21 2021,710611
Indiana,Apr 14 2021,701972
Indiana,Apr  7 2021,693453
Indiana,Mar 31 2021,686493
Indiana,Mar 24 2021,680041
Indiana,Mar 17 2021,674434
Indiana,Mar 10 2021,669165
Indiana,Mar  3 2021,663511
Indiana,Feb 24 2021,658045
Indiana,Feb 17 2021,651453
Indiana,Feb 10 2021,643305
Indiana,Feb  3 2021,631333
Indiana,Jan 27 2021,617176
Indiana,Jan 20 2021,598313
Indiana,Jan 13 2021,574119
Indiana,Jan  6 2021,539229
Indiana,Dec 30 2020,505020
Indiana,Dec 23 2020,476538
Indiana,Dec 16 2020,440850
Indiana,Dec  9 2020,398417
Indiana,Dec  2 2020,350974
Indiana,Nov 25 2020,312521
Indiana,Nov 18 2020,268222
Indiana,Nov 11 2020,224374
Indiana,Nov  4 2020,191764
Indiana,Oct 28 2020,169112
Indiana,Oct 21 2020,152396
Indiana,Oct 14 2020,139269
Indiana,Oct  7 2020,128239
Indiana,Sep 30 2020,120022
Indiana,Sep 23 2020,113335
Indiana,Sep 16 2020,107814
Indiana,Sep  9 2020,101487
Indiana,Sep  2 2020,95753
Indiana,Aug 26 2020,89362
Indiana,Aug 19 2020,82335
Indiana,Aug 12 2020,76528
Indiana,Aug  5 2020,69966
Indiana,Jul 29 2020,64296
Indiana,Jul 22 2020,58677
Indiana,Jul 15 2020,53361
Indiana,Jul  8 2020,49070
Indiana,Jul  1 2020,45951
Indiana,Jun 24 2020,43138
Indiana,Jun 17 2020,40990
Indiana,Jun 10 2020,38338
Indiana,Jun  3 2020,35713
Indiana,May 27 2020,32433
Indiana,May 20 2020,29277
Indiana,May 13 2020,25479
Indiana,May  6 2020,21870
Indiana,Apr 29 2020,17171
Indiana,Apr 22 2020,12444
Indiana,Apr 15 2020,8950
Indiana,Apr  8 2020,5946
Indiana,Apr  1 2020,2563
Indiana,Mar 25 2020,479
Indiana,Mar 18 2020,38
Indiana,Mar 11 2020,11
Indiana,Mar  4 2020,0
Indiana,Feb 26 2020,0
Indiana,Feb 19 2020,0
Indiana,Feb 12 2020,0
Indiana,Feb  5 2020,0
Indiana,Jan 29 2020,0
