Data Table for Total Cases - Iowa
Date generated: Mon Dec 05 2022 12:40:41 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Iowa,Nov 30 2022,873597
Iowa,Nov 23 2022,870897
Iowa,Nov 16 2022,868595
Iowa,Nov  9 2022,866615
Iowa,Nov  2 2022,864752
Iowa,Oct 26 2022,862925
Iowa,Oct 19 2022,861010
Iowa,Oct 12 2022,859502
Iowa,Oct  5 2022,857784
Iowa,Sep 28 2022,855931
Iowa,Sep 21 2022,853840
Iowa,Sep 14 2022,850932
Iowa,Sep  7 2022,846823
Iowa,Aug 31 2022,842647
Iowa,Aug 24 2022,837739
Iowa,Aug 17 2022,832937
Iowa,Aug 10 2022,828016
Iowa,Aug  3 2022,822356
Iowa,Jul 27 2022,816588
Iowa,Jul 20 2022,810664
Iowa,Jul 13 2022,805363
Iowa,Jul  6 2022,800176
Iowa,Jun 29 2022,796196
Iowa,Jun 22 2022,792208
Iowa,Jun 15 2022,788265
Iowa,Jun  8 2022,784269
Iowa,Jun  1 2022,779993
Iowa,May 25 2022,776136
Iowa,May 18 2022,772181
Iowa,May 11 2022,768338
Iowa,May  4 2022,765177
Iowa,Apr 27 2022,763053
Iowa,Apr 20 2022,761325
Iowa,Apr 13 2022,760227
Iowa,Apr  6 2022,759336
Iowa,Mar 30 2022,758415
Iowa,Mar 23 2022,757945
Iowa,Mar 16 2022,757229
Iowa,Mar  9 2022,756224
Iowa,Mar  2 2022,754486
Iowa,Feb 23 2022,747648
Iowa,Feb 16 2022,743285
Iowa,Feb  9 2022,735422
Iowa,Feb  2 2022,722589
Iowa,Jan 26 2022,699859
Iowa,Jan 19 2022,664910
Iowa,Jan 12 2022,626336
Iowa,Jan  5 2022,592028
Iowa,Dec 29 2021,573032
Iowa,Dec 22 2021,562463
Iowa,Dec 15 2021,552898
Iowa,Dec  8 2021,541033
Iowa,Dec  1 2021,528221
Iowa,Nov 24 2021,518859
Iowa,Nov 17 2021,508513
Iowa,Nov 10 2021,499279
Iowa,Nov  3 2021,491052
Iowa,Oct 27 2021,483409
Iowa,Oct 20 2021,476426
Iowa,Oct 13 2021,469519
Iowa,Oct  6 2021,461352
Iowa,Sep 29 2021,451492
Iowa,Sep 22 2021,440680
Iowa,Sep 15 2021,428517
Iowa,Sep  8 2021,417152
Iowa,Sep  1 2021,408390
Iowa,Aug 25 2021,400082
Iowa,Aug 18 2021,392970
Iowa,Aug 11 2021,387273
Iowa,Aug  4 2021,382401
Iowa,Jul 28 2021,378831
Iowa,Jul 21 2021,376673
Iowa,Jul 14 2021,375278
Iowa,Jul  7 2021,374383
Iowa,Jun 30 2021,373732
Iowa,Jun 23 2021,373218
Iowa,Jun 16 2021,372761
Iowa,Jun  9 2021,372187
Iowa,Jun  2 2021,371614
Iowa,May 26 2021,371027
Iowa,May 19 2021,370054
Iowa,May 12 2021,368710
Iowa,May  5 2021,366717
Iowa,Apr 28 2021,364297
Iowa,Apr 21 2021,361718
Iowa,Apr 14 2021,358389
Iowa,Apr  7 2021,355202
Iowa,Mar 31 2021,351404
Iowa,Mar 24 2021,347593
Iowa,Mar 17 2021,344270
Iowa,Mar 10 2021,341381
Iowa,Mar  3 2021,338162
Iowa,Feb 24 2021,334665
Iowa,Feb 17 2021,330907
Iowa,Feb 10 2021,327061
Iowa,Feb  3 2021,322308
Iowa,Jan 27 2021,316114
Iowa,Jan 20 2021,308788
Iowa,Jan 13 2021,301161
Iowa,Jan  6 2021,290777
Iowa,Dec 30 2020,280064
Iowa,Dec 23 2020,272112
Iowa,Dec 16 2020,260774
Iowa,Dec  9 2020,250280
Iowa,Dec  2 2020,236159
Iowa,Nov 25 2020,221286
Iowa,Nov 18 2020,197518
Iowa,Nov 11 2020,168453
Iowa,Nov  4 2020,137214
Iowa,Oct 28 2020,120635
Iowa,Oct 21 2020,110251
Iowa,Oct 14 2020,102903
Iowa,Oct  7 2020,95093
Iowa,Sep 30 2020,89249
Iowa,Sep 23 2020,82871
Iowa,Sep 16 2020,76652
Iowa,Sep  9 2020,71600
Iowa,Sep  2 2020,66466
Iowa,Aug 26 2020,58808
Iowa,Aug 19 2020,53559
Iowa,Aug 12 2020,49777
Iowa,Aug  5 2020,46753
Iowa,Jul 29 2020,43626
Iowa,Jul 22 2020,40210
Iowa,Jul 15 2020,36540
Iowa,Jul  8 2020,32626
Iowa,Jul  1 2020,29514
Iowa,Jun 24 2020,26602
Iowa,Jun 17 2020,24463
Iowa,Jun 10 2020,22624
Iowa,Jun  3 2020,20305
Iowa,May 27 2020,18368
Iowa,May 20 2020,15623
Iowa,May 13 2020,13282
Iowa,May  6 2020,10404
Iowa,Apr 29 2020,6842
Iowa,Apr 22 2020,3745
Iowa,Apr 15 2020,1995
Iowa,Apr  8 2020,1145
Iowa,Apr  1 2020,546
Iowa,Mar 25 2020,146
Iowa,Mar 18 2020,38
Iowa,Mar 11 2020,13
Iowa,Mar  4 2020,0
Iowa,Feb 26 2020,0
Iowa,Feb 19 2020,0
Iowa,Feb 12 2020,0
Iowa,Feb  5 2020,0
Iowa,Jan 29 2020,0
