Data Table for Total Cases - Louisiana
Date generated: Mon Dec 05 2022 12:41:26 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Louisiana,Nov 30 2022,1473092
Louisiana,Nov 23 2022,1470441
Louisiana,Nov 16 2022,1467573
Louisiana,Nov  9 2022,1465700
Louisiana,Nov  2 2022,1463379
Louisiana,Oct 26 2022,1461433
Louisiana,Oct 19 2022,1459866
Louisiana,Oct 12 2022,1458706
Louisiana,Oct  5 2022,1456658
Louisiana,Sep 28 2022,1454450
Louisiana,Sep 21 2022,1451304
Louisiana,Sep 14 2022,1446738
Louisiana,Sep  7 2022,1440257
Louisiana,Aug 31 2022,1431011
Louisiana,Aug 24 2022,1418197
Louisiana,Aug 17 2022,1407047
Louisiana,Aug 10 2022,1396536
Louisiana,Aug  3 2022,1385619
Louisiana,Jul 27 2022,1372134
Louisiana,Jul 20 2022,1357396
Louisiana,Jul 13 2022,1339245
Louisiana,Jul  6 2022,1318114
Louisiana,Jun 29 2022,1305499
Louisiana,Jun 22 2022,1292605
Louisiana,Jun 15 2022,1280955
Louisiana,Jun  8 2022,1271012
Louisiana,Jun  1 2022,1261786
Louisiana,May 25 2022,1254595
Louisiana,May 18 2022,1247878
Louisiana,May 11 2022,1242764
Louisiana,May  4 2022,1239424
Louisiana,Apr 27 2022,1237276
Louisiana,Apr 20 2022,1235638
Louisiana,Apr 13 2022,1234101
Louisiana,Apr  6 2022,1233180
Louisiana,Mar 30 2022,1232212
Louisiana,Mar 23 2022,1231511
Louisiana,Mar 16 2022,1230564
Louisiana,Mar  9 2022,1229292
Louisiana,Mar  2 2022,1227061
Louisiana,Feb 23 2022,1223983
Louisiana,Feb 16 2022,1216345
Louisiana,Feb  9 2022,1204644
Louisiana,Feb  2 2022,1179772
Louisiana,Jan 26 2022,1145204
Louisiana,Jan 19 2022,1037249
Louisiana,Jan 12 2022,949941
Louisiana,Jan  5 2022,879549
Louisiana,Dec 29 2021,816228
Louisiana,Dec 22 2021,787538
Louisiana,Dec 15 2021,778542
Louisiana,Dec  8 2021,774913
Louisiana,Dec  1 2021,771837
Louisiana,Nov 24 2021,769051
Louisiana,Nov 17 2021,766391
Louisiana,Nov 10 2021,763628
Louisiana,Nov  3 2021,760691
Louisiana,Oct 27 2021,757739
Louisiana,Oct 20 2021,754027
Louisiana,Oct 13 2021,750473
Louisiana,Oct  6 2021,745571
Louisiana,Sep 29 2021,739661
Louisiana,Sep 22 2021,732005
Louisiana,Sep 15 2021,721795
Louisiana,Sep  8 2021,705498
Louisiana,Sep  1 2021,692176
Louisiana,Aug 25 2021,671237
Louisiana,Aug 18 2021,638443
Louisiana,Aug 11 2021,601941
Louisiana,Aug  4 2021,562320
Louisiana,Jul 28 2021,531952
Louisiana,Jul 21 2021,506882
Louisiana,Jul 14 2021,492841
Louisiana,Jul  7 2021,485805
Louisiana,Jun 30 2021,481472
Louisiana,Jun 23 2021,478943
Louisiana,Jun 16 2021,476804
Louisiana,Jun  9 2021,474674
Louisiana,Jun  2 2021,472253
Louisiana,May 26 2021,469842
Louisiana,May 19 2021,467056
Louisiana,May 12 2021,464005
Louisiana,May  5 2021,460802
Louisiana,Apr 28 2021,457351
Louisiana,Apr 21 2021,454396
Louisiana,Apr 14 2021,450694
Louisiana,Apr  7 2021,447645
Louisiana,Mar 31 2021,444874
Louisiana,Mar 24 2021,442231
Louisiana,Mar 17 2021,438983
Louisiana,Mar 10 2021,435505
Louisiana,Mar  3 2021,431794
Louisiana,Feb 24 2021,426930
Louisiana,Feb 17 2021,421023
Louisiana,Feb 10 2021,414723
Louisiana,Feb  3 2021,406240
Louisiana,Jan 27 2021,392414
Louisiana,Jan 20 2021,374585
Louisiana,Jan 13 2021,355841
Louisiana,Jan  6 2021,333513
Louisiana,Dec 30 2020,311230
Louisiana,Dec 23 2020,293930
Louisiana,Dec 16 2020,275551
Louisiana,Dec  9 2020,258926
Louisiana,Dec  2 2020,241336
Louisiana,Nov 25 2020,225639
Louisiana,Nov 18 2020,209923
Louisiana,Nov 11 2020,194711
Louisiana,Nov  4 2020,190188
Louisiana,Oct 28 2020,185830
Louisiana,Oct 21 2020,181151
Louisiana,Oct 14 2020,176239
Louisiana,Oct  7 2020,172625
Louisiana,Sep 30 2020,167455
Louisiana,Sep 23 2020,163889
Louisiana,Sep 16 2020,159876
Louisiana,Sep  9 2020,155875
Louisiana,Sep  2 2020,150724
Louisiana,Aug 26 2020,145722
Louisiana,Aug 19 2020,139900
Louisiana,Aug 12 2020,134304
Louisiana,Aug  5 2020,125943
Louisiana,Jul 29 2020,112773
Louisiana,Jul 22 2020,99354
Louisiana,Jul 15 2020,84135
Louisiana,Jul  8 2020,70151
Louisiana,Jul  1 2020,60178
Louisiana,Jun 24 2020,52477
Louisiana,Jun 17 2020,48249
Louisiana,Jun 10 2020,44014
Louisiana,Jun  3 2020,41108
Louisiana,May 27 2020,38486
Louisiana,May 20 2020,35316
Louisiana,May 13 2020,32623
Louisiana,May  6 2020,30398
Louisiana,Apr 29 2020,27660
Louisiana,Apr 22 2020,25253
Louisiana,Apr 15 2020,21949
Louisiana,Apr  8 2020,17030
Louisiana,Apr  1 2020,6424
Louisiana,Mar 25 2020,1796
Louisiana,Mar 18 2020,266
Louisiana,Mar 11 2020,5
Louisiana,Mar  4 2020,0
Louisiana,Feb 26 2020,0
Louisiana,Feb 19 2020,0
Louisiana,Feb 12 2020,0
Louisiana,Feb  5 2020,0
Louisiana,Jan 29 2020,0
