Data Table for Total Cases - Massachusetts
Date generated: Mon Dec 05 2022 12:42:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Massachusetts,Nov 30 2022,2115549
Massachusetts,Nov 23 2022,2109719
Massachusetts,Nov 16 2022,2104453
Massachusetts,Nov  9 2022,2099238
Massachusetts,Nov  2 2022,2092838
Massachusetts,Oct 26 2022,2086638
Massachusetts,Oct 19 2022,2078225
Massachusetts,Oct 12 2022,2069848
Massachusetts,Oct  5 2022,2060884
Massachusetts,Sep 28 2022,2040602
Massachusetts,Sep 21 2022,2030335
Massachusetts,Sep 14 2022,2021331
Massachusetts,Sep  7 2022,2013992
Massachusetts,Aug 31 2022,2005250
Massachusetts,Aug 24 2022,1996454
Massachusetts,Aug 17 2022,1987385
Massachusetts,Aug 10 2022,1977503
Massachusetts,Aug  3 2022,1966919
Massachusetts,Jul 27 2022,1955844
Massachusetts,Jul 20 2022,1944319
Massachusetts,Jul 13 2022,1936447
Massachusetts,Jul  6 2022,1932346
Massachusetts,Jun 29 2022,1922647
Massachusetts,Jun 22 2022,1912004
Massachusetts,Jun 15 2022,1902067
Massachusetts,Jun  8 2022,1889548
Massachusetts,Jun  1 2022,1873034
Massachusetts,May 25 2022,1855500
Massachusetts,May 18 2022,1830028
Massachusetts,May 11 2022,1797308
Massachusetts,May  4 2022,1770301
Massachusetts,Apr 27 2022,1749776
Massachusetts,Apr 20 2022,1733156
Massachusetts,Apr 13 2022,1718387
Massachusetts,Apr  6 2022,1706160
Massachusetts,Mar 30 2022,1697165
Massachusetts,Mar 23 2022,1689750
Massachusetts,Mar 16 2022,1684036
Massachusetts,Mar  9 2022,1679034
Massachusetts,Mar  2 2022,1673612
Massachusetts,Feb 23 2022,1666622
Massachusetts,Feb 16 2022,1656345
Massachusetts,Feb  9 2022,1642846
Massachusetts,Feb  2 2022,1620268
Massachusetts,Jan 26 2022,1580605
Massachusetts,Jan 19 2022,1503398
