Data Table for Total Cases - Missouri
Date generated: Mon Dec 05 2022 12:46:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Missouri,Nov 30 2022,1700815
Missouri,Nov 23 2022,1694937
Missouri,Nov 16 2022,1689722
Missouri,Nov  9 2022,1684433
Missouri,Nov  2 2022,1680349
Missouri,Oct 26 2022,1673557
Missouri,Oct 19 2022,1668033
Missouri,Oct 12 2022,1664373
Missouri,Oct  5 2022,1659599
Missouri,Sep 28 2022,1653468
Missouri,Sep 21 2022,1646373
Missouri,Sep 14 2022,1637626
Missouri,Sep  7 2022,1628079
Missouri,Aug 31 2022,1618163
Missouri,Aug 24 2022,1609515
Missouri,Aug 17 2022,1599758
Missouri,Aug 10 2022,1589111
Missouri,Aug  3 2022,1575298
Missouri,Jul 27 2022,1561699
Missouri,Jul 20 2022,1547219
Missouri,Jul 13 2022,1532312
Missouri,Jul  6 2022,1518494
Missouri,Jun 29 2022,1505967
Missouri,Jun 22 2022,1493664
Missouri,Jun 15 2022,1482768
Missouri,Jun  8 2022,1472260
Missouri,Jun  1 2022,1462022
Missouri,May 25 2022,1453063
Missouri,May 18 2022,1445439
Missouri,May 11 2022,1438663
Missouri,May  4 2022,1432769
Missouri,Apr 27 2022,1428406
Missouri,Apr 20 2022,1424724
Missouri,Apr 13 2022,1421974
Missouri,Apr  6 2022,1415772
Missouri,Mar 30 2022,1414884
Missouri,Mar 23 2022,1412230
Missouri,Mar 16 2022,1409783
Missouri,Mar  9 2022,1407017
Missouri,Mar  2 2022,1403378
Missouri,Feb 23 2022,1397871
Missouri,Feb 16 2022,1390070
Missouri,Feb  9 2022,1371727
Missouri,Feb  2 2022,1349306
Missouri,Jan 26 2022,1299793
Missouri,Jan 19 2022,1224211
Missouri,Jan 12 2022,1139909
Missouri,Jan  5 2022,1060113
Missouri,Dec 29 2021,1004092
Missouri,Dec 22 2021,975089
Missouri,Dec 15 2021,954483
Missouri,Dec  8 2021,935956
Missouri,Dec  1 2021,917537
Missouri,Nov 24 2021,902115
Missouri,Nov 17 2021,883301
Missouri,Nov 10 2021,871631
Missouri,Nov  3 2021,864276
Missouri,Oct 27 2021,857206
Missouri,Oct 20 2021,850422
Missouri,Oct 13 2021,843396
Missouri,Oct  6 2021,835356
Missouri,Sep 29 2021,825143
Missouri,Sep 22 2021,813665
Missouri,Sep 15 2021,800218
Missouri,Sep  8 2021,783706
Missouri,Sep  1 2021,769554
Missouri,Aug 25 2021,753451
Missouri,Aug 18 2021,737186
Missouri,Aug 11 2021,719279
Missouri,Aug  4 2021,700069
Missouri,Jul 28 2021,679296
Missouri,Jul 21 2021,662400
Missouri,Jul 14 2021,644424
Missouri,Jul  7 2021,634653
Missouri,Jun 30 2021,626960
Missouri,Jun 23 2021,620676
Missouri,Jun 16 2021,615377
Missouri,Jun  9 2021,611294
Missouri,Jun  2 2021,607682
Missouri,May 26 2021,604900
Missouri,May 19 2021,601643
Missouri,May 12 2021,598756
Missouri,May  5 2021,595451
Missouri,Apr 28 2021,590771
Missouri,Apr 21 2021,586292
Missouri,Apr 14 2021,583052
Missouri,Apr  7 2021,581291
Missouri,Mar 31 2021,578964
Missouri,Mar 24 2021,575597
Missouri,Mar 17 2021,572127
Missouri,Mar 10 2021,568609
Missouri,Mar  3 2021,565016
Missouri,Feb 24 2021,560421
Missouri,Feb 17 2021,554047
Missouri,Feb 10 2021,547944
Missouri,Feb  3 2021,538080
Missouri,Jan 27 2021,525613
Missouri,Jan 20 2021,508995
Missouri,Jan 13 2021,489751
Missouri,Jan  6 2021,463455
Missouri,Dec 30 2020,436075
Missouri,Dec 23 2020,415259
Missouri,Dec 16 2020,389686
Missouri,Dec  9 2020,360058
Missouri,Dec  2 2020,329964
Missouri,Nov 25 2020,303598
Missouri,Nov 18 2020,270869
Missouri,Nov 11 2020,234520
Missouri,Nov  4 2020,204354
Missouri,Oct 28 2020,183956
Missouri,Oct 21 2020,168802
Missouri,Oct 14 2020,155798
Missouri,Oct  7 2020,141730
Missouri,Sep 30 2020,130191
Missouri,Sep 23 2020,121335
Missouri,Sep 16 2020,110442
Missouri,Sep  9 2020,99547
Missouri,Sep  2 2020,89853
Missouri,Aug 26 2020,80149
Missouri,Aug 19 2020,72472
Missouri,Aug 12 2020,64019
Missouri,Aug  5 2020,56605
Missouri,Jul 29 2020,47979
Missouri,Jul 22 2020,37511
Missouri,Jul 15 2020,30993
Missouri,Jul  8 2020,26403
Missouri,Jul  1 2020,22573
Missouri,Jun 24 2020,19557
Missouri,Jun 17 2020,17092
Missouri,Jun 10 2020,15617
Missouri,Jun  3 2020,14251
Missouri,May 27 2020,12841
Missouri,May 20 2020,11635
Missouri,May 13 2020,10533
Missouri,May  6 2020,9519
Missouri,Apr 29 2020,7848
Missouri,Apr 22 2020,6495
Missouri,Apr 15 2020,5067
Missouri,Apr  8 2020,3623
Missouri,Apr  1 2020,1921
Missouri,Mar 25 2020,448
Missouri,Mar 18 2020,35
Missouri,Mar 11 2020,2
Missouri,Mar  4 2020,1
Missouri,Feb 26 2020,0
Missouri,Feb 19 2020,0
Missouri,Feb 12 2020,0
Missouri,Feb  5 2020,0
Missouri,Jan 29 2020,0
