Data Table for Total Cases - Nebraska
Date generated: Mon Dec 05 2022 12:47:00 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Nebraska,Nov 30 2022,543135
Nebraska,Nov 23 2022,541153
Nebraska,Nov 16 2022,539110
Nebraska,Nov  9 2022,537113
Nebraska,Nov  2 2022,535367
Nebraska,Oct 26 2022,533603
Nebraska,Oct 19 2022,532228
Nebraska,Oct 12 2022,531103
Nebraska,Oct  5 2022,530053
Nebraska,Sep 28 2022,528960
Nebraska,Sep 21 2022,527803
Nebraska,Sep 14 2022,526278
Nebraska,Sep  7 2022,524443
Nebraska,Aug 31 2022,522179
Nebraska,Aug 24 2022,519181
Nebraska,Aug 17 2022,516423
Nebraska,Aug 10 2022,513708
Nebraska,Aug  3 2022,510623
Nebraska,Jul 27 2022,506962
Nebraska,Jul 20 2022,503049
Nebraska,Jul 13 2022,499151
Nebraska,Jul  6 2022,495089
Nebraska,Jun 29 2022,491781
Nebraska,Jun 22 2022,488279
Nebraska,Jun 15 2022,485378
Nebraska,Jun  8 2022,482799
Nebraska,Jun  1 2022,480027
Nebraska,May 25 2022,477709
Nebraska,May 18 2022,475747
Nebraska,May 11 2022,474001
Nebraska,May  4 2022,472544
Nebraska,Apr 27 2022,471572
Nebraska,Apr 20 2022,470787
Nebraska,Apr 13 2022,470215
Nebraska,Apr  6 2022,469699
Nebraska,Mar 30 2022,469275
Nebraska,Mar 23 2022,468857
Nebraska,Mar 16 2022,468386
Nebraska,Mar  9 2022,467804
Nebraska,Mar  2 2022,466878
Nebraska,Feb 23 2022,465651
Nebraska,Feb 16 2022,463530
Nebraska,Feb  9 2022,460037
Nebraska,Feb  2 2022,453472
Nebraska,Jan 26 2022,439853
Nebraska,Jan 19 2022,412515
Nebraska,Jan 12 2022,379942
Nebraska,Jan  5 2022,352197
Nebraska,Dec 29 2021,336062
Nebraska,Dec 22 2021,328574
Nebraska,Dec 15 2021,323003
Nebraska,Dec  8 2021,317012
Nebraska,Dec  1 2021,309554
Nebraska,Nov 24 2021,303596
Nebraska,Nov 17 2021,297027
Nebraska,Nov 10 2021,290862
Nebraska,Nov  3 2021,284616
Nebraska,Oct 27 2021,279491
Nebraska,Oct 20 2021,275007
Nebraska,Oct 13 2021,270999
Nebraska,Oct  6 2021,266729
Nebraska,Sep 29 2021,262459
Nebraska,Sep 22 2021,257799
Nebraska,Sep 15 2021,252895
Nebraska,Sep  8 2021,247309
Nebraska,Sep  1 2021,242340
Nebraska,Aug 25 2021,237045
Nebraska,Aug 18 2021,232740
Nebraska,Aug 11 2021,229405
Nebraska,Aug  4 2021,226818
Nebraska,Jul 28 2021,224716
Nebraska,Jul 21 2021,223299
Nebraska,Jul 14 2021,222433
Nebraska,Jul  7 2021,221831
Nebraska,Jun 30 2021,221315
Nebraska,Jun 23 2021,220978
Nebraska,Jun 16 2021,220767
Nebraska,Jun  9 2021,220555
Nebraska,Jun  2 2021,220325
Nebraska,May 26 2021,219994
Nebraska,May 19 2021,219534
Nebraska,May 12 2021,218986
Nebraska,May  5 2021,217950
Nebraska,Apr 28 2021,216609
Nebraska,Apr 21 2021,214966
Nebraska,Apr 14 2021,212566
Nebraska,Apr  7 2021,210303
Nebraska,Mar 31 2021,207929
Nebraska,Mar 24 2021,205468
Nebraska,Mar 17 2021,203604
Nebraska,Mar 10 2021,201693
Nebraska,Mar  3 2021,199587
Nebraska,Feb 24 2021,197529
Nebraska,Feb 17 2021,195187
Nebraska,Feb 10 2021,193128
Nebraska,Feb  3 2021,190416
Nebraska,Jan 27 2021,186481
Nebraska,Jan 20 2021,182252
Nebraska,Jan 13 2021,176662
Nebraska,Jan  6 2021,169998
Nebraska,Dec 30 2020,162644
Nebraska,Dec 23 2020,156706
Nebraska,Dec 16 2020,148818
Nebraska,Dec  9 2020,140248
Nebraska,Dec  2 2020,128907
Nebraska,Nov 25 2020,117895
Nebraska,Nov 18 2020,104081
Nebraska,Nov 11 2020,88767
Nebraska,Nov  4 2020,74828
Nebraska,Oct 28 2020,65226
Nebraska,Oct 21 2020,58643
Nebraska,Oct 14 2020,52792
Nebraska,Oct  7 2020,47752
Nebraska,Sep 30 2020,44036
Nebraska,Sep 23 2020,40926
Nebraska,Sep 16 2020,38174
Nebraska,Sep  9 2020,35728
Nebraska,Sep  2 2020,33953
Nebraska,Aug 26 2020,31743
Nebraska,Aug 19 2020,30150
Nebraska,Aug 12 2020,28384
Nebraska,Aug  5 2020,26657
Nebraska,Jul 29 2020,24655
Nebraska,Jul 22 2020,22777
Nebraska,Jul 15 2020,21251
Nebraska,Jul  8 2020,19797
Nebraska,Jul  1 2020,18694
Nebraska,Jun 24 2020,17599
Nebraska,Jun 17 2020,16694
Nebraska,Jun 10 2020,15487
Nebraska,Jun  3 2020,14388
Nebraska,May 27 2020,12515
Nebraska,May 20 2020,10743
Nebraska,May 13 2020,8757
Nebraska,May  6 2020,6545
Nebraska,Apr 29 2020,3796
Nebraska,Apr 22 2020,1707
Nebraska,Apr 15 2020,904
Nebraska,Apr  8 2020,509
Nebraska,Apr  1 2020,213
Nebraska,Mar 25 2020,74
Nebraska,Mar 18 2020,29
Nebraska,Mar 11 2020,6
Nebraska,Mar  4 2020,2
Nebraska,Feb 26 2020,0
Nebraska,Feb 19 2020,0
Nebraska,Feb 12 2020,0
Nebraska,Feb  5 2020,0
Nebraska,Jan 29 2020,0
