Data Table for Total Cases - New Hampshire
Date generated: Mon Dec 05 2022 12:47:28 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
New Hampshire,Nov 30 2022,361375
New Hampshire,Nov 23 2022,360483
New Hampshire,Nov 16 2022,359666
New Hampshire,Nov  9 2022,358819
New Hampshire,Nov  2 2022,357575
New Hampshire,Oct 26 2022,356348
New Hampshire,Oct 19 2022,354928
New Hampshire,Oct 12 2022,352875
New Hampshire,Oct  5 2022,351444
New Hampshire,Sep 28 2022,349851
New Hampshire,Sep 21 2022,348367
New Hampshire,Sep 14 2022,346632
New Hampshire,Sep  7 2022,345448
New Hampshire,Aug 31 2022,344386
New Hampshire,Aug 24 2022,343190
New Hampshire,Aug 17 2022,342042
New Hampshire,Aug 10 2022,340668
New Hampshire,Aug  3 2022,339186
New Hampshire,Jul 27 2022,337834
New Hampshire,Jul 20 2022,336189
New Hampshire,Jul 13 2022,334845
New Hampshire,Jul  6 2022,333251
New Hampshire,Jun 29 2022,331883
New Hampshire,Jun 22 2022,330482
New Hampshire,Jun 15 2022,329230
New Hampshire,Jun  8 2022,327814
New Hampshire,Jun  1 2022,325833
New Hampshire,May 25 2022,323326
New Hampshire,May 18 2022,319901
New Hampshire,May 11 2022,315447
New Hampshire,May  4 2022,312161
New Hampshire,Apr 27 2022,309193
New Hampshire,Apr 20 2022,306724
New Hampshire,Apr 13 2022,304793
New Hampshire,Apr  6 2022,302541
New Hampshire,Mar 30 2022,302383
New Hampshire,Mar 23 2022,301534
New Hampshire,Mar 16 2022,300693
New Hampshire,Mar  9 2022,299873
New Hampshire,Mar  2 2022,298808
New Hampshire,Feb 23 2022,295701
New Hampshire,Feb 16 2022,291540
New Hampshire,Feb  9 2022,285863
New Hampshire,Feb  2 2022,278691
New Hampshire,Jan 26 2022,267800
New Hampshire,Jan 19 2022,251441
New Hampshire,Jan 12 2022,229373
New Hampshire,Jan  5 2022,208073
New Hampshire,Dec 29 2021,196656
New Hampshire,Dec 22 2021,188644
New Hampshire,Dec 15 2021,180238
New Hampshire,Dec  8 2021,171538
New Hampshire,Dec  1 2021,162583
New Hampshire,Nov 24 2021,155711
New Hampshire,Nov 17 2021,148718
New Hampshire,Nov 10 2021,142469
New Hampshire,Nov  3 2021,137778
New Hampshire,Oct 27 2021,132441
New Hampshire,Oct 20 2021,130615
New Hampshire,Oct 13 2021,126773
New Hampshire,Oct  6 2021,122934
New Hampshire,Sep 29 2021,119720
New Hampshire,Sep 22 2021,115957
New Hampshire,Sep 15 2021,113291
New Hampshire,Sep  8 2021,110256
New Hampshire,Sep  1 2021,108021
New Hampshire,Aug 25 2021,105883
New Hampshire,Aug 18 2021,103989
New Hampshire,Aug 11 2021,102353
New Hampshire,Aug  4 2021,101277
New Hampshire,Jul 28 2021,100465
New Hampshire,Jul 21 2021,100072
New Hampshire,Jul 14 2021,99841
New Hampshire,Jul  7 2021,99651
New Hampshire,Jun 30 2021,99505
New Hampshire,Jun 23 2021,99366
New Hampshire,Jun 16 2021,99196
New Hampshire,Jun  9 2021,98996
New Hampshire,Jun  2 2021,98791
New Hampshire,May 26 2021,98470
New Hampshire,May 19 2021,97978
New Hampshire,May 12 2021,97093
New Hampshire,May  5 2021,95881
New Hampshire,Apr 28 2021,94405
New Hampshire,Apr 21 2021,92395
New Hampshire,Apr 14 2021,89983
New Hampshire,Apr  7 2021,86935
New Hampshire,Mar 31 2021,84176
New Hampshire,Mar 24 2021,81521
New Hampshire,Mar 17 2021,79367
New Hampshire,Mar 10 2021,77465
New Hampshire,Mar  3 2021,75990
New Hampshire,Feb 24 2021,74258
New Hampshire,Feb 17 2021,71965
New Hampshire,Feb 10 2021,69247
New Hampshire,Feb  3 2021,66721
New Hampshire,Jan 27 2021,63563
New Hampshire,Jan 20 2021,59437
New Hampshire,Jan 13 2021,54125
New Hampshire,Jan  6 2021,48838
New Hampshire,Dec 30 2020,43242
New Hampshire,Dec 23 2020,38512
New Hampshire,Dec 16 2020,33433
New Hampshire,Dec  9 2020,27592
New Hampshire,Dec  2 2020,22368
New Hampshire,Nov 25 2020,18846
New Hampshire,Nov 18 2020,15766
New Hampshire,Nov 11 2020,13152
New Hampshire,Nov  4 2020,11563
New Hampshire,Oct 28 2020,10641
New Hampshire,Oct 21 2020,9917
New Hampshire,Oct 14 2020,9349
New Hampshire,Oct  7 2020,8731
New Hampshire,Sep 30 2020,8267
New Hampshire,Sep 23 2020,8007
New Hampshire,Sep 16 2020,7781
New Hampshire,Sep  9 2020,7494
New Hampshire,Sep  2 2020,7309
New Hampshire,Aug 26 2020,7156
New Hampshire,Aug 19 2020,7036
New Hampshire,Aug 12 2020,6887
New Hampshire,Aug  5 2020,6719
New Hampshire,Jul 29 2020,6513
New Hampshire,Jul 22 2020,6295
New Hampshire,Jul 15 2020,6113
New Hampshire,Jul  8 2020,5952
New Hampshire,Jul  1 2020,5802
New Hampshire,Jun 24 2020,5598
New Hampshire,Jun 17 2020,5437
New Hampshire,Jun 10 2020,5178
New Hampshire,Jun  3 2020,4795
New Hampshire,May 27 2020,4286
New Hampshire,May 20 2020,3868
New Hampshire,May 13 2020,3299
New Hampshire,May  6 2020,2741
New Hampshire,Apr 29 2020,2058
New Hampshire,Apr 22 2020,1588
New Hampshire,Apr 15 2020,1139
New Hampshire,Apr  8 2020,747
New Hampshire,Apr  1 2020,367
New Hampshire,Mar 25 2020,108
New Hampshire,Mar 18 2020,37
New Hampshire,Mar 11 2020,5
New Hampshire,Mar  4 2020,2
New Hampshire,Feb 26 2020,0
New Hampshire,Feb 19 2020,0
New Hampshire,Feb 12 2020,0
New Hampshire,Feb  5 2020,0
New Hampshire,Jan 29 2020,0
