Data Table for Total Cases - New Mexico
Date generated: Mon Dec 05 2022 12:48:07 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
New Mexico,Nov 30 2022,646566
New Mexico,Nov 23 2022,642634
New Mexico,Nov 16 2022,638055
New Mexico,Nov  9 2022,633631
New Mexico,Nov  2 2022,629318
New Mexico,Oct 26 2022,626168
New Mexico,Oct 19 2022,623532
New Mexico,Oct 12 2022,621483
New Mexico,Oct  5 2022,619786
New Mexico,Sep 28 2022,618125
New Mexico,Sep 21 2022,616521
New Mexico,Sep 14 2022,615107
New Mexico,Sep  7 2022,613276
New Mexico,Aug 31 2022,611305
New Mexico,Aug 24 2022,608006
New Mexico,Aug 17 2022,604185
New Mexico,Aug 10 2022,599757
New Mexico,Aug  3 2022,594632
New Mexico,Jul 27 2022,588805
New Mexico,Jul 20 2022,582061
New Mexico,Jul 13 2022,575279
New Mexico,Jul  6 2022,568434
New Mexico,Jun 29 2022,562791
New Mexico,Jun 22 2022,555592
New Mexico,Jun 15 2022,549246
New Mexico,Jun  8 2022,542746
New Mexico,Jun  1 2022,536571
New Mexico,May 25 2022,532240
New Mexico,May 18 2022,528146
New Mexico,May 11 2022,525248
New Mexico,May  4 2022,523266
New Mexico,Apr 27 2022,521814
New Mexico,Apr 20 2022,520585
New Mexico,Apr 13 2022,519511
New Mexico,Apr  6 2022,518704
New Mexico,Mar 30 2022,517743
New Mexico,Mar 23 2022,516856
New Mexico,Mar 16 2022,515818
New Mexico,Mar  9 2022,514511
New Mexico,Mar  2 2022,512548
New Mexico,Feb 23 2022,509704
New Mexico,Feb 16 2022,505364
New Mexico,Feb  9 2022,497570
New Mexico,Feb  2 2022,484454
New Mexico,Jan 26 2022,460062
New Mexico,Jan 19 2022,425920
New Mexico,Jan 12 2022,388125
New Mexico,Jan  5 2022,361629
New Mexico,Dec 29 2021,347831
New Mexico,Dec 22 2021,341510
New Mexico,Dec 15 2021,334324
New Mexico,Dec  8 2021,326713
New Mexico,Dec  1 2021,316089
New Mexico,Nov 24 2021,308091
New Mexico,Nov 17 2021,298313
New Mexico,Nov 10 2021,288557
New Mexico,Nov  3 2021,279670
New Mexico,Oct 27 2021,272855
New Mexico,Oct 20 2021,266777
New Mexico,Oct 13 2021,262078
New Mexico,Oct  6 2021,256948
New Mexico,Sep 29 2021,252017
New Mexico,Sep 22 2021,247353
New Mexico,Sep 15 2021,243085
New Mexico,Sep  8 2021,238430
New Mexico,Sep  1 2021,233487
New Mexico,Aug 25 2021,227636
New Mexico,Aug 18 2021,221960
New Mexico,Aug 11 2021,216494
New Mexico,Aug  4 2021,212577
New Mexico,Jul 28 2021,209684
New Mexico,Jul 21 2021,207972
New Mexico,Jul 14 2021,206846
New Mexico,Jul  7 2021,205996
New Mexico,Jun 30 2021,205544
New Mexico,Jun 23 2021,205131
New Mexico,Jun 16 2021,204470
New Mexico,Jun  9 2021,203825
New Mexico,Jun  2 2021,203222
New Mexico,May 26 2021,202570
New Mexico,May 19 2021,201489
New Mexico,May 12 2021,200227
New Mexico,May  5 2021,198781
New Mexico,Apr 28 2021,197213
New Mexico,Apr 21 2021,195783
New Mexico,Apr 14 2021,194380
New Mexico,Apr  7 2021,192989
New Mexico,Mar 31 2021,191649
New Mexico,Mar 24 2021,190272
New Mexico,Mar 17 2021,188908
New Mexico,Mar 10 2021,187486
New Mexico,Mar  3 2021,185897
New Mexico,Feb 24 2021,183779
New Mexico,Feb 17 2021,181332
New Mexico,Feb 10 2021,178790
New Mexico,Feb  3 2021,175652
New Mexico,Jan 27 2021,171047
New Mexico,Jan 20 2021,165835
New Mexico,Jan 13 2021,159119
New Mexico,Jan  6 2021,149984
New Mexico,Dec 30 2020,141186
New Mexico,Dec 23 2020,133242
New Mexico,Dec 16 2020,124357
New Mexico,Dec  9 2020,112950
New Mexico,Dec  2 2020,100963
New Mexico,Nov 25 2020,88102
New Mexico,Nov 18 2020,70451
New Mexico,Nov 11 2020,59034
New Mexico,Nov  4 2020,50252
New Mexico,Oct 28 2020,43827
New Mexico,Oct 21 2020,38715
New Mexico,Oct 14 2020,34288
New Mexico,Oct  7 2020,31372
New Mexico,Sep 30 2020,29434
New Mexico,Sep 23 2020,27981
New Mexico,Sep 16 2020,27038
New Mexico,Sep  9 2020,26266
New Mexico,Sep  2 2020,25612
New Mexico,Aug 26 2020,24730
New Mexico,Aug 19 2020,23747
New Mexico,Aug 12 2020,22817
New Mexico,Aug  5 2020,21566
New Mexico,Jul 29 2020,20136
New Mexico,Jul 22 2020,17828
New Mexico,Jul 15 2020,15839
New Mexico,Jul  8 2020,14017
New Mexico,Jul  1 2020,12276
New Mexico,Jun 24 2020,10990
New Mexico,Jun 17 2020,10065
New Mexico,Jun 10 2020,9249
New Mexico,Jun  3 2020,8140
New Mexico,May 27 2020,7251
New Mexico,May 20 2020,6298
New Mexico,May 13 2020,5362
New Mexico,May  6 2020,4288
New Mexico,Apr 29 2020,3213
New Mexico,Apr 22 2020,2210
New Mexico,Apr 15 2020,1484
New Mexico,Apr  8 2020,821
New Mexico,Apr  1 2020,327
New Mexico,Mar 25 2020,113
New Mexico,Mar 18 2020,28
New Mexico,Mar 11 2020,3
New Mexico,Mar  4 2020,0
New Mexico,Feb 26 2020,0
New Mexico,Feb 19 2020,0
New Mexico,Feb 12 2020,0
New Mexico,Feb  5 2020,0
New Mexico,Jan 29 2020,0
