Data Table for Total Cases - New York City*
Date generated: Mon Dec 05 2022 12:48:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
New York City,Nov 30 2022,3015665
New York City,Nov 23 2022,2996602
New York City,Nov 16 2022,2979932
New York City,Nov  9 2022,2962479
New York City,Nov  2 2022,2944270
New York City,Oct 26 2022,2928439
New York City,Oct 19 2022,2913849
New York City,Oct 12 2022,2899425
New York City,Oct  5 2022,2886838
New York City,Sep 28 2022,2872997
New York City,Sep 21 2022,2858313
New York City,Sep 14 2022,2844012
New York City,Sep  7 2022,2831316
New York City,Aug 31 2022,2817738
New York City,Aug 24 2022,2802836
New York City,Aug 17 2022,2785488
New York City,Aug 10 2022,2765826
New York City,Aug  3 2022,2738967
New York City,Jul 27 2022,2715177
New York City,Jul 20 2022,2686618
New York City,Jul 13 2022,2654051
New York City,Jul  6 2022,2623706
New York City,Jun 29 2022,2598361
New York City,Jun 22 2022,2575278
New York City,Jun 15 2022,2554807
New York City,Jun  8 2022,2533645
New York City,Jun  1 2022,2508774
New York City,May 25 2022,2482802
New York City,May 18 2022,2453723
New York City,May 11 2022,2423488
New York City,May  4 2022,2395936
New York City,Apr 27 2022,2376310
New York City,Apr 20 2022,2361306
New York City,Apr 13 2022,2343941
New York City,Apr  6 2022,2328984
New York City,Mar 30 2022,2318257
New York City,Mar 23 2022,2309300
New York City,Mar 16 2022,2302892
New York City,Mar  9 2022,2296835
New York City,Mar  2 2022,2291974
New York City,Feb 23 2022,2286988
New York City,Feb 16 2022,2279664
New York City,Feb  9 2022,2269389
New York City,Feb  2 2022,2253064
New York City,Jan 26 2022,2226601
New York City,Jan 19 2022,2159687
New York City,Jan 12 2022,2016932
New York City,Jan  5 2022,1744555
New York City,Dec 29 2021,1469225
New York City,Dec 22 2021,1287947
New York City,Dec 15 2021,1203499
New York City,Dec  8 2021,1178057
New York City,Dec  1 2021,1161685
New York City,Nov 24 2021,1151116
New York City,Nov 17 2021,1140665
New York City,Nov 10 2021,1132334
New York City,Nov  3 2021,1125464
New York City,Oct 27 2021,1119158
New York City,Oct 20 2021,1112947
New York City,Oct 13 2021,1104199
New York City,Oct  6 2021,1095011
New York City,Sep 29 2021,1084189
New York City,Sep 22 2021,1073330
New York City,Sep 15 2021,1060385
New York City,Sep  8 2021,1046725
New York City,Sep  1 2021,1036661
New York City,Aug 25 2021,1023690
New York City,Aug 18 2021,1010274
New York City,Aug 11 2021,995994
New York City,Aug  4 2021,983227
New York City,Jul 28 2021,973124
New York City,Jul 21 2021,966177
New York City,Jul 14 2021,961876
New York City,Jul  7 2021,958814
New York City,Jun 30 2021,957417
New York City,Jun 23 2021,956060
New York City,Jun 16 2021,954784
New York City,Jun  9 2021,953242
New York City,Jun  2 2021,951466
New York City,May 26 2021,949295
New York City,May 19 2021,946007
New York City,May 12 2021,941166
New York City,May  5 2021,934879
New York City,Apr 28 2021,925846
New York City,Apr 21 2021,913290
New York City,Apr 14 2021,894959
New York City,Apr  7 2021,872195
New York City,Mar 31 2021,846792
New York City,Mar 24 2021,818046
New York City,Mar 17 2021,787901
New York City,Mar 10 2021,762049
New York City,Mar  3 2021,735307
New York City,Feb 24 2021,707478
New York City,Feb 17 2021,678098
New York City,Feb 10 2021,649590
New York City,Feb  3 2021,620880
New York City,Jan 27 2021,584353
New York City,Jan 20 2021,545908
New York City,Jan 13 2021,504561
New York City,Jan  6 2021,460727
New York City,Dec 30 2020,426018
New York City,Dec 23 2020,399751
New York City,Dec 16 2020,374539
New York City,Dec  9 2020,348868
New York City,Dec  2 2020,325077
New York City,Nov 25 2020,307561
New York City,Nov 18 2020,292761
New York City,Nov 11 2020,279802
New York City,Nov  4 2020,270468
New York City,Oct 28 2020,264559
New York City,Oct 21 2020,259422
New York City,Oct 14 2020,255053
New York City,Oct  7 2020,250939
New York City,Sep 30 2020,246929
New York City,Sep 23 2020,243494
New York City,Sep 16 2020,241156
New York City,Sep  9 2020,238902
New York City,Sep  2 2020,236993
New York City,Aug 26 2020,235080
New York City,Aug 19 2020,233253
New York City,Aug 12 2020,231344
New York City,Aug  5 2020,229515
New York City,Jul 29 2020,227615
New York City,Jul 22 2020,225512
New York City,Jul 15 2020,222810
New York City,Jul  8 2020,220162
New York City,Jul  1 2020,217852
New York City,Jun 24 2020,215566
New York City,Jun 17 2020,213183
New York City,Jun 10 2020,210680
New York City,Jun  3 2020,207463
New York City,May 27 2020,203285
New York City,May 20 2020,197232
New York City,May 13 2020,190463
New York City,May  6 2020,182430
New York City,Apr 29 2020,169082
New York City,Apr 22 2020,150296
New York City,Apr 15 2020,126465
New York City,Apr  8 2020,90927
New York City,Apr  1 2020,53868
New York City,Mar 25 2020,17856
New York City,Mar 18 2020,1340
New York City,Mar 11 2020,51
New York City,Mar  4 2020,0
New York City,Feb 26 2020,0
New York City,Feb 19 2020,0
New York City,Feb 12 2020,0
New York City,Feb  5 2020,0
New York City,Jan 29 2020,0
