Data Table for Total Cases - North Carolina
Date generated: Mon Dec 05 2022 12:58:32 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
North Carolina,Nov 30 2022,3275346
North Carolina,Nov 23 2022,3268501
North Carolina,Nov 16 2022,3262331
North Carolina,Nov  9 2022,3255540
North Carolina,Nov  2 2022,3246175
North Carolina,Oct 26 2022,3237440
North Carolina,Oct 19 2022,3231473
North Carolina,Oct 12 2022,3220859
North Carolina,Oct  5 2022,3210837
North Carolina,Sep 28 2022,3198867
North Carolina,Sep 21 2022,3182776
North Carolina,Sep 14 2022,3162492
North Carolina,Sep  7 2022,3141303
North Carolina,Aug 31 2022,3120822
North Carolina,Aug 24 2022,3098924
North Carolina,Aug 17 2022,3074965
North Carolina,Aug 10 2022,3047626
North Carolina,Aug  3 2022,3016396
North Carolina,Jul 27 2022,2983131
North Carolina,Jul 20 2022,2949199
North Carolina,Jul 13 2022,2919068
North Carolina,Jul  6 2022,2892681
North Carolina,Jun 29 2022,2867219
North Carolina,Jun 22 2022,2851087
North Carolina,Jun 15 2022,2830528
North Carolina,Jun  8 2022,2807274
North Carolina,Jun  1 2022,2780493
North Carolina,May 25 2022,2754991
North Carolina,May 18 2022,2726197
North Carolina,May 11 2022,2699666
North Carolina,May  4 2022,2679625
North Carolina,Apr 27 2022,2664524
North Carolina,Apr 20 2022,2652706
North Carolina,Apr 13 2022,2644133
North Carolina,Apr  6 2022,2637775
North Carolina,Mar 30 2022,2634008
North Carolina,Mar 23 2022,2630124
North Carolina,Mar 16 2022,2626575
North Carolina,Mar  9 2022,2622492
North Carolina,Mar  2 2022,2616375
North Carolina,Feb 23 2022,2605450
North Carolina,Feb 16 2022,2586915
North Carolina,Feb  9 2022,2554977
North Carolina,Feb  2 2022,2498968
North Carolina,Jan 26 2022,2401014
North Carolina,Jan 19 2022,2228669
North Carolina,Jan 12 2022,2015403
North Carolina,Jan  5 2022,1812736
North Carolina,Dec 29 2021,1674220
North Carolina,Dec 22 2021,1608657
North Carolina,Dec 15 2021,1578198
North Carolina,Dec  8 2021,1555558
North Carolina,Dec  1 2021,1533836
North Carolina,Nov 24 2021,1518363
North Carolina,Nov 17 2021,1504586
North Carolina,Nov 10 2021,1491774
North Carolina,Nov  3 2021,1480271
North Carolina,Oct 27 2021,1468881
North Carolina,Oct 20 2021,1455859
North Carolina,Oct 13 2021,1440158
North Carolina,Oct  6 2021,1419543
North Carolina,Sep 29 2021,1394982
North Carolina,Sep 22 2021,1363738
North Carolina,Sep 15 2021,1324684
North Carolina,Sep  8 2021,1276165
North Carolina,Sep  1 2021,1230956
North Carolina,Aug 25 2021,1180874
North Carolina,Aug 18 2021,1135417
North Carolina,Aug 11 2021,1096991
North Carolina,Aug  4 2021,1063887
North Carolina,Jul 28 2021,1039124
North Carolina,Jul 21 2021,1021924
North Carolina,Jul 14 2021,1012691
North Carolina,Jul  7 2021,1006930
North Carolina,Jun 30 2021,1003395
North Carolina,Jun 23 2021,1000586
North Carolina,Jun 16 2021,997911
North Carolina,Jun  9 2021,995173
North Carolina,Jun  2 2021,992066
North Carolina,May 26 2021,988460
North Carolina,May 19 2021,982872
North Carolina,May 12 2021,976311
North Carolina,May  5 2021,967954
North Carolina,Apr 28 2021,957286
North Carolina,Apr 21 2021,944941
North Carolina,Apr 14 2021,931930
North Carolina,Apr  7 2021,918205
North Carolina,Mar 31 2021,907327
North Carolina,Mar 24 2021,895342
North Carolina,Mar 17 2021,883859
North Carolina,Mar 10 2021,872573
North Carolina,Mar  3 2021,861388
North Carolina,Feb 24 2021,847814
North Carolina,Feb 17 2021,830411
North Carolina,Feb 10 2021,809807
North Carolina,Feb  3 2021,783567
North Carolina,Jan 27 2021,744761
North Carolina,Jan 20 2021,705683
North Carolina,Jan 13 2021,659822
North Carolina,Jan  6 2021,604078
North Carolina,Dec 30 2020,547822
North Carolina,Dec 23 2020,508122
North Carolina,Dec 16 2020,464314
North Carolina,Dec  9 2020,422209
North Carolina,Dec  2 2020,381213
North Carolina,Nov 25 2020,352968
North Carolina,Nov 18 2020,327101
North Carolina,Nov 11 2020,303166
North Carolina,Nov  4 2020,284934
North Carolina,Oct 28 2020,268765
North Carolina,Oct 21 2020,252972
North Carolina,Oct 14 2020,238559
North Carolina,Oct  7 2020,224897
North Carolina,Sep 30 2020,212628
North Carolina,Sep 23 2020,202192
North Carolina,Sep 16 2020,192906
North Carolina,Sep  9 2020,183479
North Carolina,Sep  2 2020,174988
North Carolina,Aug 26 2020,164014
North Carolina,Aug 19 2020,152479
North Carolina,Aug 12 2020,142398
North Carolina,Aug  5 2020,132196
North Carolina,Jul 29 2020,120831
North Carolina,Jul 22 2020,107213
North Carolina,Jul 15 2020,93694
North Carolina,Jul  8 2020,79676
North Carolina,Jul  1 2020,68417
North Carolina,Jun 24 2020,57535
North Carolina,Jun 17 2020,48413
North Carolina,Jun 10 2020,39697
North Carolina,Jun  3 2020,32122
North Carolina,May 27 2020,25582
North Carolina,May 20 2020,20986
North Carolina,May 13 2020,16712
North Carolina,May  6 2020,13543
North Carolina,Apr 29 2020,10705
North Carolina,Apr 22 2020,7726
North Carolina,Apr 15 2020,5483
North Carolina,Apr  8 2020,3698
North Carolina,Apr  1 2020,1855
North Carolina,Mar 25 2020,661
North Carolina,Mar 18 2020,104
North Carolina,Mar 11 2020,9
North Carolina,Mar  4 2020,1
North Carolina,Feb 26 2020,0
North Carolina,Feb 19 2020,0
North Carolina,Feb 12 2020,0
North Carolina,Feb  5 2020,0
North Carolina,Jan 29 2020,0
