Data Table for Total Cases - Oklahoma
Date generated: Mon Dec 05 2022 12:59:20 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Oklahoma,Nov 30 2022,1220720
Oklahoma,Nov 23 2022,1217812
Oklahoma,Nov 16 2022,1214594
Oklahoma,Nov  9 2022,1211207
Oklahoma,Nov  2 2022,1208312
Oklahoma,Oct 26 2022,1205511
Oklahoma,Oct 19 2022,1202398
Oklahoma,Oct 12 2022,1199679
Oklahoma,Oct  5 2022,1196529
Oklahoma,Sep 28 2022,1192429
Oklahoma,Sep 21 2022,1186764
Oklahoma,Sep 14 2022,1179931
Oklahoma,Sep  7 2022,1170185
Oklahoma,Aug 31 2022,1159474
Oklahoma,Aug 24 2022,1150203
Oklahoma,Aug 17 2022,1140485
Oklahoma,Aug 10 2022,1128298
Oklahoma,Aug  3 2022,1116446
Oklahoma,Jul 27 2022,1104118
Oklahoma,Jul 20 2022,1092706
Oklahoma,Jul 13 2022,1082397
Oklahoma,Jul  6 2022,1073197
Oklahoma,Jun 29 2022,1065714
Oklahoma,Jun 22 2022,1059864
Oklahoma,Jun 15 2022,1054953
Oklahoma,Jun  8 2022,1051069
Oklahoma,Jun  1 2022,1048013
Oklahoma,May 25 2022,1045565
Oklahoma,May 18 2022,1043528
Oklahoma,May 11 2022,1041391
Oklahoma,May  4 2022,1039943
Oklahoma,Apr 27 2022,1038196
Oklahoma,Apr 20 2022,1036438
Oklahoma,Apr 13 2022,1035250
Oklahoma,Apr  6 2022,1033195
Oklahoma,Mar 30 2022,1031368
Oklahoma,Mar 23 2022,1029562
Oklahoma,Mar 16 2022,1026604
Oklahoma,Mar  9 2022,1024449
Oklahoma,Mar  2 2022,1022744
Oklahoma,Feb 23 2022,1016939
Oklahoma,Feb 16 2022,1010536
Oklahoma,Feb  9 2022,1000480
Oklahoma,Feb  2 2022,983937
Oklahoma,Jan 26 2022,931033
Oklahoma,Jan 19 2022,852997
Oklahoma,Jan 12 2022,775169
Oklahoma,Jan  5 2022,724875
Oklahoma,Dec 29 2021,700798
Oklahoma,Dec 22 2021,691282
Oklahoma,Dec 15 2021,684579
Oklahoma,Dec  8 2021,676890
Oklahoma,Dec  1 2021,667512
Oklahoma,Nov 24 2021,662220
Oklahoma,Nov 17 2021,656574
Oklahoma,Nov 10 2021,650689
Oklahoma,Nov  3 2021,646763
Oklahoma,Oct 27 2021,642362
Oklahoma,Oct 20 2021,636760
Oklahoma,Oct 13 2021,629512
Oklahoma,Oct  6 2021,620834
Oklahoma,Sep 29 2021,611885
Oklahoma,Sep 22 2021,600800
Oklahoma,Sep 15 2021,587687
Oklahoma,Sep  8 2021,572223
Oklahoma,Sep  1 2021,554496
Oklahoma,Aug 25 2021,534922
Oklahoma,Aug 18 2021,519023
Oklahoma,Aug 11 2021,503552
Oklahoma,Aug  4 2021,489338
Oklahoma,Jul 28 2021,477052
Oklahoma,Jul 21 2021,468401
Oklahoma,Jul 14 2021,463152
Oklahoma,Jul  7 2021,459675
Oklahoma,Jun 30 2021,457850
Oklahoma,Jun 23 2021,456412
Oklahoma,Jun 16 2021,455143
Oklahoma,Jun  9 2021,454091
Oklahoma,Jun  2 2021,453281
Oklahoma,May 26 2021,452493
Oklahoma,May 19 2021,451469
Oklahoma,May 12 2021,450538
Oklahoma,May  5 2021,449260
Oklahoma,Apr 28 2021,447634
Oklahoma,Apr 21 2021,445958
Oklahoma,Apr 14 2021,444224
Oklahoma,Apr  7 2021,441905
Oklahoma,Mar 31 2021,439737
Oklahoma,Mar 24 2021,437439
Oklahoma,Mar 17 2021,434745
Oklahoma,Mar 10 2021,431397
Oklahoma,Mar  3 2021,426822
Oklahoma,Feb 24 2021,422039
Oklahoma,Feb 17 2021,416806
Oklahoma,Feb 10 2021,408592
Oklahoma,Feb  3 2021,395062
Oklahoma,Jan 27 2021,379789
Oklahoma,Jan 20 2021,360912
Oklahoma,Jan 13 2021,341821
Oklahoma,Jan  6 2021,311924
Oklahoma,Dec 30 2020,287294
Oklahoma,Dec 23 2020,269417
Oklahoma,Dec 16 2020,245272
Oklahoma,Dec  9 2020,222993
Oklahoma,Dec  2 2020,202345
Oklahoma,Nov 25 2020,184342
Oklahoma,Nov 18 2020,161425
Oklahoma,Nov 11 2020,142336
Oklahoma,Nov  4 2020,127773
Oklahoma,Oct 28 2020,119152
Oklahoma,Oct 21 2020,110856
Oklahoma,Oct 14 2020,102625
Oklahoma,Oct  7 2020,94357
Oklahoma,Sep 30 2020,87199
Oklahoma,Sep 23 2020,80165
Oklahoma,Sep 16 2020,72283
Oklahoma,Sep  9 2020,65929
Oklahoma,Sep  2 2020,60126
Oklahoma,Aug 26 2020,54839
Oklahoma,Aug 19 2020,49933
Oklahoma,Aug 12 2020,45401
Oklahoma,Aug  5 2020,40571
Oklahoma,Jul 29 2020,34627
Oklahoma,Jul 22 2020,27297
Oklahoma,Jul 15 2020,22812
Oklahoma,Jul  8 2020,17893
Oklahoma,Jul  1 2020,14119
Oklahoma,Jun 24 2020,11514
Oklahoma,Jun 17 2020,8910
Oklahoma,Jun 10 2020,7482
Oklahoma,Jun  3 2020,6805
Oklahoma,May 27 2020,6227
Oklahoma,May 20 2020,5532
Oklahoma,May 13 2020,4857
Oklahoma,May  6 2020,4202
Oklahoma,Apr 29 2020,3474
Oklahoma,Apr 22 2020,2894
Oklahoma,Apr 15 2020,2262
Oklahoma,Apr  8 2020,1527
Oklahoma,Apr  1 2020,721
Oklahoma,Mar 25 2020,164
Oklahoma,Mar 18 2020,17
Oklahoma,Mar 11 2020,2
Oklahoma,Mar  4 2020,0
Oklahoma,Feb 26 2020,0
Oklahoma,Feb 19 2020,0
Oklahoma,Feb 12 2020,0
Oklahoma,Feb  5 2020,0
Oklahoma,Jan 29 2020,0
