Data Table for Total Cases - Rhode Island
Date generated: Mon Dec 05 2022 13:00:09 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Rhode Island,Nov 30 2022,416919
Rhode Island,Nov 23 2022,415911
Rhode Island,Nov 16 2022,414854
Rhode Island,Nov  9 2022,413779
Rhode Island,Nov  2 2022,412537
Rhode Island,Oct 26 2022,411285
Rhode Island,Oct 19 2022,409904
Rhode Island,Oct 12 2022,408316
Rhode Island,Oct  5 2022,406739
Rhode Island,Sep 28 2022,405024
Rhode Island,Sep 21 2022,403187
Rhode Island,Sep 14 2022,401411
Rhode Island,Sep  7 2022,399913
Rhode Island,Aug 31 2022,398432
Rhode Island,Aug 24 2022,396691
Rhode Island,Aug 17 2022,395090
Rhode Island,Aug 10 2022,393399
Rhode Island,Aug  3 2022,391443
Rhode Island,Jul 27 2022,389517
Rhode Island,Jul 20 2022,387644
Rhode Island,Jul 13 2022,385749
Rhode Island,Jul  6 2022,384080
Rhode Island,Jun 29 2022,382331
Rhode Island,Jun 22 2022,380638
Rhode Island,Jun 15 2022,378752
Rhode Island,Jun  8 2022,376470
Rhode Island,Jun  1 2022,373517
Rhode Island,May 25 2022,369665
Rhode Island,May 18 2022,364583
Rhode Island,May 11 2022,359081
Rhode Island,May  4 2022,354570
Rhode Island,Apr 27 2022,351153
Rhode Island,Apr 20 2022,348776
Rhode Island,Apr 13 2022,346347
Rhode Island,Apr  6 2022,344290
Rhode Island,Mar 30 2022,342863
Rhode Island,Mar 23 2022,341691
Rhode Island,Mar 16 2022,340458
Rhode Island,Mar  9 2022,339397
Rhode Island,Mar  2 2022,338163
Rhode Island,Feb 23 2022,336940
Rhode Island,Feb 16 2022,335136
Rhode Island,Feb  9 2022,332000
Rhode Island,Feb  2 2022,326411
Rhode Island,Jan 26 2022,316468
Rhode Island,Jan 19 2022,297580
Rhode Island,Jan 12 2022,264519
Rhode Island,Jan  5 2022,229237
Rhode Island,Dec 29 2021,209202
Rhode Island,Dec 22 2021,201395
Rhode Island,Dec 15 2021,194195
Rhode Island,Dec  8 2021,187765
Rhode Island,Dec  1 2021,181893
Rhode Island,Nov 24 2021,178594
Rhode Island,Nov 17 2021,175384
Rhode Island,Nov 10 2021,173078
Rhode Island,Nov  3 2021,171357
Rhode Island,Oct 27 2021,169922
Rhode Island,Oct 20 2021,168517
Rhode Island,Oct 13 2021,166696
Rhode Island,Oct  6 2021,164864
Rhode Island,Sep 29 2021,162922
Rhode Island,Sep 22 2021,160768
Rhode Island,Sep 15 2021,158426
Rhode Island,Sep  8 2021,156225
Rhode Island,Sep  1 2021,154110
Rhode Island,Aug 25 2021,152112
Rhode Island,Aug 18 2021,150176
Rhode Island,Aug 11 2021,148436
Rhode Island,Aug  4 2021,146986
Rhode Island,Jul 28 2021,145966
Rhode Island,Jul 21 2021,145433
Rhode Island,Jul 14 2021,145155
Rhode Island,Jul  7 2021,145010
Rhode Island,Jun 30 2021,144887
Rhode Island,Jun 23 2021,144771
Rhode Island,Jun 16 2021,144642
Rhode Island,Jun  9 2021,144473
Rhode Island,Jun  2 2021,144273
Rhode Island,May 26 2021,143928
Rhode Island,May 19 2021,143352
Rhode Island,May 12 2021,142501
Rhode Island,May  5 2021,141339
Rhode Island,Apr 28 2021,139779
Rhode Island,Apr 21 2021,137825
Rhode Island,Apr 14 2021,135252
Rhode Island,Apr  7 2021,132468
Rhode Island,Mar 31 2021,129731
Rhode Island,Mar 24 2021,127048
Rhode Island,Mar 17 2021,124866
Rhode Island,Mar 10 2021,122639
Rhode Island,Mar  3 2021,120445
Rhode Island,Feb 24 2021,118033
Rhode Island,Feb 17 2021,115913
Rhode Island,Feb 10 2021,113493
Rhode Island,Feb  3 2021,110521
Rhode Island,Jan 27 2021,106591
Rhode Island,Jan 20 2021,101705
Rhode Island,Jan 13 2021,95999
Rhode Island,Jan  6 2021,88418
Rhode Island,Dec 30 2020,81722
Rhode Island,Dec 23 2020,76861
Rhode Island,Dec 16 2020,70875
Rhode Island,Dec  9 2020,62801
Rhode Island,Dec  2 2020,54053
Rhode Island,Nov 25 2020,48244
Rhode Island,Nov 18 2020,41798
Rhode Island,Nov 11 2020,36242
Rhode Island,Nov  4 2020,32476
Rhode Island,Oct 28 2020,29658
Rhode Island,Oct 21 2020,27172
Rhode Island,Oct 14 2020,25623
Rhode Island,Oct  7 2020,24419
Rhode Island,Sep 30 2020,23453
Rhode Island,Sep 23 2020,22732
Rhode Island,Sep 16 2020,22013
Rhode Island,Sep  9 2020,21461
Rhode Island,Sep  2 2020,20984
Rhode Island,Aug 26 2020,20452
Rhode Island,Aug 19 2020,19752
Rhode Island,Aug 12 2020,19147
Rhode Island,Aug  5 2020,18474
Rhode Island,Jul 29 2020,17811
Rhode Island,Jul 22 2020,17191
Rhode Island,Jul 15 2020,16711
Rhode Island,Jul  8 2020,16393
Rhode Island,Jul  1 2020,16118
Rhode Island,Jun 24 2020,15773
Rhode Island,Jun 17 2020,15421
Rhode Island,Jun 10 2020,14966
Rhode Island,Jun  3 2020,14360
Rhode Island,May 27 2020,13551
Rhode Island,May 20 2020,12483
Rhode Island,May 13 2020,11041
Rhode Island,May  6 2020,9274
Rhode Island,Apr 29 2020,7282
Rhode Island,Apr 22 2020,4788
Rhode Island,Apr 15 2020,2823
Rhode Island,Apr  8 2020,957
Rhode Island,Apr  1 2020,311
Rhode Island,Mar 25 2020,88
Rhode Island,Mar 18 2020,19
Rhode Island,Mar 11 2020,2
Rhode Island,Mar  4 2020,0
Rhode Island,Feb 26 2020,0
Rhode Island,Feb 19 2020,0
Rhode Island,Feb 12 2020,0
Rhode Island,Feb  5 2020,0
