Data Table for Total Cases - South Carolina
Date generated: Mon Dec 05 2022 13:00:49 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
South Carolina,Nov 30 2022,1738379
South Carolina,Nov 23 2022,1735351
South Carolina,Nov 16 2022,1732287
South Carolina,Nov  9 2022,1729333
South Carolina,Nov  2 2022,1725160
South Carolina,Oct 26 2022,1721693
South Carolina,Oct 19 2022,1718600
South Carolina,Oct 12 2022,1715434
South Carolina,Oct  5 2022,1712281
South Carolina,Sep 28 2022,1708074
South Carolina,Sep 21 2022,1703439
South Carolina,Sep 14 2022,1696746
South Carolina,Sep  7 2022,1687640
South Carolina,Aug 31 2022,1674281
South Carolina,Aug 24 2022,1661020
South Carolina,Aug 17 2022,1650748
South Carolina,Aug 10 2022,1637108
South Carolina,Aug  3 2022,1621121
South Carolina,Jul 27 2022,1605165
South Carolina,Jul 20 2022,1587503
South Carolina,Jul 13 2022,1573585
South Carolina,Jul  6 2022,1560139
South Carolina,Jun 29 2022,1546406
South Carolina,Jun 22 2022,1535392
South Carolina,Jun 15 2022,1524771
South Carolina,Jun  8 2022,1514423
South Carolina,Jun  1 2022,1504967
South Carolina,May 25 2022,1495762
South Carolina,May 18 2022,1487728
South Carolina,May 11 2022,1481975
South Carolina,May  4 2022,1477460
South Carolina,Apr 27 2022,1474274
South Carolina,Apr 20 2022,1472093
South Carolina,Apr 13 2022,1470597
South Carolina,Apr  6 2022,1469699
South Carolina,Mar 30 2022,1468134
South Carolina,Mar 23 2022,1467112
South Carolina,Mar 16 2022,1465736
South Carolina,Mar  9 2022,1464213
South Carolina,Mar  2 2022,1461791
South Carolina,Feb 23 2022,1456998
South Carolina,Feb 16 2022,1445383
South Carolina,Feb  9 2022,1427869
South Carolina,Feb  2 2022,1394651
South Carolina,Jan 26 2022,1328450
South Carolina,Jan 19 2022,1236732
South Carolina,Jan 12 2022,1114781
South Carolina,Jan  5 2022,1018435
South Carolina,Dec 29 2021,960195
South Carolina,Dec 22 2021,942360
South Carolina,Dec 15 2021,933754
South Carolina,Dec  8 2021,926455
South Carolina,Dec  1 2021,919186
South Carolina,Nov 24 2021,914966
South Carolina,Nov 17 2021,909906
South Carolina,Nov 10 2021,905179
South Carolina,Nov  3 2021,900468
South Carolina,Oct 27 2021,894924
South Carolina,Oct 20 2021,889100
South Carolina,Oct 13 2021,880984
South Carolina,Oct  6 2021,869838
South Carolina,Sep 29 2021,854875
South Carolina,Sep 22 2021,834880
South Carolina,Sep 15 2021,809780
South Carolina,Sep  8 2021,776342
South Carolina,Sep  1 2021,740634
South Carolina,Aug 25 2021,702894
South Carolina,Aug 18 2021,673172
South Carolina,Aug 11 2021,648508
South Carolina,Aug  4 2021,628203
South Carolina,Jul 28 2021,613033
South Carolina,Jul 21 2021,604653
South Carolina,Jul 14 2021,600606
South Carolina,Jul  7 2021,598227
South Carolina,Jun 30 2021,596813
South Carolina,Jun 23 2021,595843
South Carolina,Jun 16 2021,595217
South Carolina,Jun  9 2021,594444
South Carolina,Jun  2 2021,593384
South Carolina,May 26 2021,591834
South Carolina,May 19 2021,589471
South Carolina,May 12 2021,585600
South Carolina,May  5 2021,581839
South Carolina,Apr 28 2021,576640
South Carolina,Apr 21 2021,571369
South Carolina,Apr 14 2021,564933
South Carolina,Apr  7 2021,558631
South Carolina,Mar 31 2021,551631
South Carolina,Mar 24 2021,543932
South Carolina,Mar 17 2021,536100
South Carolina,Mar 10 2021,528473
South Carolina,Mar  3 2021,519996
South Carolina,Feb 24 2021,509044
South Carolina,Feb 17 2021,492369
South Carolina,Feb 10 2021,473140
South Carolina,Feb  3 2021,450794
South Carolina,Jan 27 2021,427231
South Carolina,Jan 20 2021,399843
South Carolina,Jan 13 2021,365378
South Carolina,Jan  6 2021,333235
South Carolina,Dec 30 2020,303475
South Carolina,Dec 23 2020,282230
South Carolina,Dec 16 2020,260120
South Carolina,Dec  9 2020,239444
South Carolina,Dec  2 2020,220835
South Carolina,Nov 25 2020,210905
South Carolina,Nov 18 2020,199446
South Carolina,Nov 11 2020,188996
South Carolina,Nov  4 2020,180869
South Carolina,Oct 28 2020,173481
South Carolina,Oct 21 2020,166360
South Carolina,Oct 14 2020,159808
South Carolina,Oct  7 2020,153706
South Carolina,Sep 30 2020,147957
South Carolina,Sep 23 2020,141688
South Carolina,Sep 16 2020,134122
South Carolina,Sep  9 2020,126213
South Carolina,Sep  2 2020,120507
South Carolina,Aug 26 2020,114094
South Carolina,Aug 19 2020,108413
South Carolina,Aug 12 2020,102979
South Carolina,Aug  5 2020,95472
South Carolina,Jul 29 2020,85847
South Carolina,Jul 22 2020,75042
South Carolina,Jul 15 2020,62245
South Carolina,Jul  8 2020,48909
South Carolina,Jul  1 2020,37919
South Carolina,Jun 24 2020,27898
South Carolina,Jun 17 2020,20556
South Carolina,Jun 10 2020,15768
South Carolina,Jun  3 2020,12470
South Carolina,May 27 2020,10624
South Carolina,May 20 2020,9177
South Carolina,May 13 2020,8038
South Carolina,May  6 2020,6939
South Carolina,Apr 29 2020,5883
South Carolina,Apr 22 2020,4761
South Carolina,Apr 15 2020,3658
South Carolina,Apr  8 2020,2419
South Carolina,Apr  1 2020,1293
South Carolina,Mar 25 2020,426
South Carolina,Mar 18 2020,60
South Carolina,Mar 11 2020,10
South Carolina,Mar  4 2020,0
South Carolina,Feb 26 2020,0
South Carolina,Feb 19 2020,0
South Carolina,Feb 12 2020,0
South Carolina,Feb  5 2020,0
South Carolina,Jan 29 2020,0
