Data Table for Total Cases - Texas
Date generated: Mon Dec 05 2022 13:01:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Texas,Nov 30 2022,8064877
Texas,Nov 23 2022,8047555
Texas,Nov 16 2022,8031887
Texas,Nov  9 2022,8018724
Texas,Nov  2 2022,8006420
Texas,Oct 26 2022,7994709
Texas,Oct 19 2022,7983954
Texas,Oct 12 2022,7971420
Texas,Oct  5 2022,7957866
Texas,Sep 28 2022,7939128
Texas,Sep 21 2022,7919523
Texas,Sep 14 2022,7890432
Texas,Sep  7 2022,7851326
Texas,Aug 31 2022,7801636
Texas,Aug 24 2022,7745930
Texas,Aug 17 2022,7691347
Texas,Aug 10 2022,7628011
Texas,Aug  3 2022,7557446
Texas,Jul 27 2022,7476723
Texas,Jul 20 2022,7394801
Texas,Jul 13 2022,7307661
Texas,Jul  6 2022,7222267
Texas,Jun 29 2022,7148516
Texas,Jun 22 2022,7075809
Texas,Jun 15 2022,7022932
Texas,Jun  8 2022,6973413
Texas,Jun  1 2022,6926590
Texas,May 25 2022,6890202
Texas,May 18 2022,6859162
Texas,May 11 2022,6833471
Texas,May  4 2022,6812452
Texas,Apr 27 2022,6794893
Texas,Apr 20 2022,6778080
Texas,Apr 13 2022,6762313
Texas,Apr  6 2022,6741250
Texas,Mar 30 2022,6724894
Texas,Mar 23 2022,6700546
Texas,Mar 16 2022,6669171
Texas,Mar  9 2022,6642706
Texas,Mar  2 2022,6615847
Texas,Feb 23 2022,6583640
Texas,Feb 16 2022,6535159
Texas,Feb  9 2022,6456236
Texas,Feb  2 2022,6318714
Texas,Jan 26 2022,6072846
Texas,Jan 19 2022,5721649
Texas,Jan 12 2022,5185256
Texas,Jan  5 2022,4806196
Texas,Dec 29 2021,4524112
Texas,Dec 22 2021,4429776
Texas,Dec 15 2021,4372464
Texas,Dec  8 2021,4337408
Texas,Dec  1 2021,4307322
Texas,Nov 24 2021,4288826
Texas,Nov 17 2021,4264787
Texas,Nov 10 2021,4243476
Texas,Nov  3 2021,4220604
Texas,Oct 27 2021,4194663
Texas,Oct 20 2021,4166207
Texas,Oct 13 2021,4132020
Texas,Oct  6 2021,4086362
Texas,Sep 29 2021,4028665
Texas,Sep 22 2021,3950426
Texas,Sep 15 2021,3861314
Texas,Sep  8 2021,3734797
Texas,Sep  1 2021,3611777
Texas,Aug 25 2021,3493159
Texas,Aug 18 2021,3374695
Texas,Aug 11 2021,3266778
Texas,Aug  4 2021,3160826
Texas,Jul 28 2021,3079289
Texas,Jul 21 2021,3032803
Texas,Jul 14 2021,3005195
Texas,Jul  7 2021,2986300
Texas,Jun 30 2021,2975912
Texas,Jun 23 2021,2965142
Texas,Jun 16 2021,2955839
Texas,Jun  9 2021,2947155
Texas,Jun  2 2021,2931268
Texas,May 26 2021,2923895
Texas,May 19 2021,2911612
Texas,May 12 2021,2897443
Texas,May  5 2021,2881311
Texas,Apr 28 2021,2861645
Texas,Apr 21 2021,2839555
Texas,Apr 14 2021,2816030
Texas,Apr  7 2021,2790291
Texas,Mar 31 2021,2767180
Texas,Mar 24 2021,2741537
Texas,Mar 17 2021,2717531
Texas,Mar 10 2021,2684974
Texas,Mar  3 2021,2650213
Texas,Feb 24 2021,2598302
Texas,Feb 17 2021,2554588
Texas,Feb 10 2021,2504367
Texas,Feb  3 2021,2422873
Texas,Jan 27 2021,2282921
Texas,Jan 20 2021,2157245
Texas,Jan 13 2021,2009887
Texas,Jan  6 2021,1858391
Texas,Dec 30 2020,1717241
Texas,Dec 23 2020,1615402
Texas,Dec 16 2020,1502035
Texas,Dec  9 2020,1397546
Texas,Dec  2 2020,1298523
Texas,Nov 25 2020,1217424
Texas,Nov 18 2020,1123084
Texas,Nov 11 2020,1049847
Texas,Nov  4 2020,985617
Texas,Oct 28 2020,907684
Texas,Oct 21 2020,866317
Texas,Oct 14 2020,831418
Texas,Oct  7 2020,803594
Texas,Sep 30 2020,773663
Texas,Sep 23 2020,744339
Texas,Sep 16 2020,697053
Texas,Sep  9 2020,667200
Texas,Sep  2 2020,642349
Texas,Aug 26 2020,611190
Texas,Aug 19 2020,573923
Texas,Aug 12 2020,524014
Texas,Aug  5 2020,469870
Texas,Jul 29 2020,411174
Texas,Jul 22 2020,356170
Texas,Jul 15 2020,285849
Texas,Jul  8 2020,220417
Texas,Jul  1 2020,170290
Texas,Jun 24 2020,121616
Texas,Jun 17 2020,91816
Texas,Jun 10 2020,74979
Texas,Jun  3 2020,60466
Texas,May 27 2020,51781
Texas,May 20 2020,46201
Texas,May 13 2020,38289
Texas,May  6 2020,31119
Texas,Apr 29 2020,24353
Texas,Apr 22 2020,18374
Texas,Apr 15 2020,13562
Texas,Apr  8 2020,8330
Texas,Apr  1 2020,3624
Texas,Mar 25 2020,1016
Texas,Mar 18 2020,197
Texas,Mar 11 2020,22
Texas,Mar  4 2020,0
Texas,Feb 26 2020,0
Texas,Feb 19 2020,0
Texas,Feb 12 2020,0
Texas,Feb  5 2020,0
Texas,Jan 29 2020,0
