Data Table for Total Cases - Vermont
Date generated: Mon Dec 05 2022 13:02:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Vermont,Nov 30 2022,146777
Vermont,Nov 23 2022,146442
Vermont,Nov 16 2022,146143
Vermont,Nov  9 2022,145838
Vermont,Nov  2 2022,145409
Vermont,Oct 26 2022,144895
Vermont,Oct 19 2022,144346
Vermont,Oct 12 2022,143683
Vermont,Oct  5 2022,142996
Vermont,Sep 28 2022,142443
Vermont,Sep 21 2022,141840
Vermont,Sep 14 2022,141282
Vermont,Sep  7 2022,140740
Vermont,Aug 31 2022,140308
Vermont,Aug 24 2022,139769
Vermont,Aug 17 2022,139226
Vermont,Aug 10 2022,138779
Vermont,Aug  3 2022,138145
Vermont,Jul 27 2022,137649
Vermont,Jul 20 2022,137264
Vermont,Jul 13 2022,136695
Vermont,Jul  6 2022,136145
Vermont,Jun 29 2022,135668
Vermont,Jun 22 2022,135030
Vermont,Jun 15 2022,134415
Vermont,Jun  8 2022,133669
Vermont,Jun  1 2022,132676
Vermont,May 25 2022,131460
Vermont,May 18 2022,129854
Vermont,May 11 2022,127457
Vermont,May  4 2022,125347
Vermont,Apr 27 2022,123061
Vermont,Apr 20 2022,121167
Vermont,Apr 13 2022,119313
Vermont,Apr  6 2022,117744
Vermont,Mar 30 2022,116629
Vermont,Mar 23 2022,115691
Vermont,Mar 16 2022,114737
Vermont,Mar  9 2022,113791
Vermont,Mar  2 2022,113135
Vermont,Feb 23 2022,113135
Vermont,Feb 16 2022,113135
Vermont,Feb  9 2022,113135
Vermont,Feb  2 2022,113135
Vermont,Jan 26 2022,113135
Vermont,Jan 19 2022,105594
Vermont,Jan 12 2022,91334
Vermont,Jan  5 2022,73507
Vermont,Dec 29 2021,65009
Vermont,Dec 22 2021,60652
Vermont,Dec 15 2021,57470
Vermont,Dec  8 2021,54473
Vermont,Dec  1 2021,51220
Vermont,Nov 24 2021,48754
Vermont,Nov 17 2021,46038
Vermont,Nov 10 2021,43577
Vermont,Nov  3 2021,41339
Vermont,Oct 27 2021,39606
Vermont,Oct 20 2021,38100
Vermont,Oct 13 2021,36576
Vermont,Oct  6 2021,34928
Vermont,Sep 29 2021,33658
Vermont,Sep 22 2021,32373
Vermont,Sep 15 2021,30941
Vermont,Sep  8 2021,29600
Vermont,Sep  1 2021,28619
Vermont,Aug 25 2021,27494
Vermont,Aug 18 2021,26663
Vermont,Aug 11 2021,25934
Vermont,Aug  4 2021,25241
Vermont,Jul 28 2021,24848
Vermont,Jul 21 2021,24665
Vermont,Jul 14 2021,24544
Vermont,Jul  7 2021,24464
Vermont,Jun 30 2021,24433
Vermont,Jun 23 2021,24403
Vermont,Jun 16 2021,24373
Vermont,Jun  9 2021,24334
Vermont,Jun  2 2021,24260
Vermont,May 26 2021,24198
Vermont,May 19 2021,24046
Vermont,May 12 2021,23747
Vermont,May  5 2021,23334
Vermont,Apr 28 2021,22848
Vermont,Apr 21 2021,22350
Vermont,Apr 14 2021,21686
Vermont,Apr  7 2021,20691
Vermont,Mar 31 2021,19575
Vermont,Mar 24 2021,18264
Vermont,Mar 17 2021,17273
Vermont,Mar 10 2021,16514
Vermont,Mar  3 2021,15704
Vermont,Feb 24 2021,14851
Vermont,Feb 17 2021,14159
Vermont,Feb 10 2021,13324
Vermont,Feb  3 2021,12526
Vermont,Jan 27 2021,11576
Vermont,Jan 20 2021,10665
Vermont,Jan 13 2021,9652
Vermont,Jan  6 2021,8462
Vermont,Dec 30 2020,7496
Vermont,Dec 23 2020,6827
Vermont,Dec 16 2020,6190
Vermont,Dec  9 2020,5438
Vermont,Dec  2 2020,4707
Vermont,Nov 25 2020,4026
Vermont,Nov 18 2020,3416
Vermont,Nov 11 2020,2736
Vermont,Nov  4 2020,2336
Vermont,Oct 28 2020,2163
Vermont,Oct 21 2020,2008
Vermont,Oct 14 2020,1919
Vermont,Oct  7 2020,1851
Vermont,Sep 30 2020,1767
Vermont,Sep 23 2020,1735
Vermont,Sep 16 2020,1715
Vermont,Sep  9 2020,1668
Vermont,Sep  2 2020,1638
Vermont,Aug 26 2020,1593
Vermont,Aug 19 2020,1544
Vermont,Aug 12 2020,1492
Vermont,Aug  5 2020,1454
Vermont,Jul 29 2020,1415
Vermont,Jul 22 2020,1386
Vermont,Jul 15 2020,1332
Vermont,Jul  8 2020,1277
Vermont,Jul  1 2020,1235
Vermont,Jun 24 2020,1196
Vermont,Jun 17 2020,1139
Vermont,Jun 10 2020,1112
Vermont,Jun  3 2020,1029
Vermont,May 27 2020,979
Vermont,May 20 2020,956
Vermont,May 13 2020,933
Vermont,May  6 2020,917
Vermont,Apr 29 2020,868
Vermont,Apr 22 2020,833
Vermont,Apr 15 2020,808
Vermont,Apr  8 2020,663
Vermont,Apr  1 2020,373
Vermont,Mar 25 2020,162
Vermont,Mar 18 2020,21
Vermont,Mar 11 2020,2
Vermont,Mar  4 2020,0
Vermont,Feb 26 2020,0
Vermont,Feb 19 2020,0
Vermont,Feb 12 2020,0
Vermont,Feb  5 2020,0
Vermont,Jan 29 2020,0
