Data Table for Total Cases - Virginia
Date generated: Mon Dec 05 2022 13:02:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Virginia,Nov 30 2022,2149515
Virginia,Nov 23 2022,2141888
Virginia,Nov 16 2022,2135699
Virginia,Nov  9 2022,2129174
Virginia,Nov  2 2022,2121644
Virginia,Oct 26 2022,2113282
Virginia,Oct 19 2022,2106081
Virginia,Oct 12 2022,2098288
Virginia,Oct  5 2022,2090271
Virginia,Sep 28 2022,2083101
Virginia,Sep 21 2022,2074577
Virginia,Sep 14 2022,2064814
Virginia,Sep  7 2022,2052693
Virginia,Aug 31 2022,2038886
Virginia,Aug 24 2022,2021539
Virginia,Aug 17 2022,2002771
Virginia,Aug 10 2022,1985009
Virginia,Aug  3 2022,1965859
Virginia,Jul 27 2022,1945465
Virginia,Jul 20 2022,1923918
Virginia,Jul 13 2022,1903713
Virginia,Jul  6 2022,1882691
Virginia,Jun 29 2022,1864527
Virginia,Jun 22 2022,1845652
Virginia,Jun 15 2022,1829020
Virginia,Jun  8 2022,1810425
Virginia,Jun  1 2022,1789861
Virginia,May 25 2022,1769771
Virginia,May 18 2022,1746783
Virginia,May 11 2022,1726049
Virginia,May  4 2022,1709651
Virginia,Apr 27 2022,1696869
Virginia,Apr 20 2022,1686600
Virginia,Apr 13 2022,1678772
Virginia,Apr  6 2022,1670794
Virginia,Mar 30 2022,1664702
Virginia,Mar 23 2022,1659447
Virginia,Mar 16 2022,1653999
Virginia,Mar  9 2022,1646918
Virginia,Mar  2 2022,1639686
Virginia,Feb 23 2022,1629235
Virginia,Feb 16 2022,1613908
Virginia,Feb  9 2022,1591560
Virginia,Feb  2 2022,1557148
Virginia,Jan 26 2022,1502671
Virginia,Jan 19 2022,1419848
Virginia,Jan 12 2022,1315256
Virginia,Jan  5 2022,1186887
Virginia,Dec 29 2021,1087405
Virginia,Dec 22 2021,1034122
Virginia,Dec 15 2021,1006253
Virginia,Dec  8 2021,988149
Virginia,Dec  1 2021,971530
Virginia,Nov 24 2021,960708
Virginia,Nov 17 2021,949801
Virginia,Nov 10 2021,939690
Virginia,Nov  3 2021,930418
Virginia,Oct 27 2021,921354
Virginia,Oct 20 2021,911113
Virginia,Oct 13 2021,897761
Virginia,Oct  6 2021,882373
Virginia,Sep 29 2021,863668
Virginia,Sep 22 2021,843082
Virginia,Sep 15 2021,818803
Virginia,Sep  8 2021,793396
Virginia,Sep  1 2021,769842
Virginia,Aug 25 2021,747641
Virginia,Aug 18 2021,728524
Virginia,Aug 11 2021,713195
Virginia,Aug  4 2021,701052
Virginia,Jul 28 2021,692115
Virginia,Jul 21 2021,686771
Virginia,Jul 14 2021,683484
Virginia,Jul  7 2021,681359
Virginia,Jun 30 2021,679910
Virginia,Jun 23 2021,678295
Virginia,Jun 16 2021,677366
Virginia,Jun  9 2021,676373
Virginia,Jun  2 2021,675006
Virginia,May 26 2021,673310
Virginia,May 19 2021,670639
Virginia,May 12 2021,667615
Virginia,May  5 2021,663157
Virginia,Apr 28 2021,656879
Virginia,Apr 21 2021,649459
Virginia,Apr 14 2021,640031
Virginia,Apr  7 2021,628956
Virginia,Mar 31 2021,618792
Virginia,Mar 24 2021,608524
Virginia,Mar 17 2021,598290
Virginia,Mar 10 2021,588906
Virginia,Mar  3 2021,579787
Virginia,Feb 24 2021,568746
Virginia,Feb 17 2021,555271
Virginia,Feb 10 2021,537248
Virginia,Feb  3 2021,513299
Virginia,Jan 27 2021,488537
Virginia,Jan 20 2021,455600
Virginia,Jan 13 2021,412575
Virginia,Jan  6 2021,377309
Virginia,Dec 30 2020,344344
Virginia,Dec 23 2020,319134
Virginia,Dec 16 2020,292241
Virginia,Dec  9 2020,267113
Virginia,Dec  2 2020,242462
Virginia,Nov 25 2020,226287
Virginia,Nov 18 2020,208840
Virginia,Nov 11 2020,196510
Virginia,Nov  4 2020,185836
Virginia,Oct 28 2020,176757
Virginia,Oct 21 2020,168774
Virginia,Oct 14 2020,161607
Virginia,Oct  7 2020,153693
Virginia,Sep 30 2020,148270
Virginia,Sep 23 2020,142593
Virginia,Sep 16 2020,136364
Virginia,Sep  9 2020,129294
Virginia,Sep  2 2020,122517
Virginia,Aug 26 2020,115459
Virginia,Aug 19 2020,109025
Virginia,Aug 12 2020,102522
Virginia,Aug  5 2020,95051
Virginia,Jul 29 2020,87990
Virginia,Jul 22 2020,80389
Virginia,Jul 15 2020,73527
Virginia,Jul  8 2020,67374
Virginia,Jul  1 2020,63212
Virginia,Jun 24 2020,59504
Virginia,Jun 17 2020,55766
Virginia,Jun 10 2020,52168
Virginia,Jun  3 2020,46901
Virginia,May 27 2020,40246
Virginia,May 20 2020,32910
Virginia,May 13 2020,26744
Virginia,May  6 2020,20987
Virginia,Apr 29 2020,14961
Virginia,Apr 22 2020,10264
Virginia,Apr 15 2020,6495
Virginia,Apr  8 2020,3647
Virginia,Apr  1 2020,1483
Virginia,Mar 25 2020,395
Virginia,Mar 18 2020,78
Virginia,Mar 11 2020,7
Virginia,Mar  4 2020,0
Virginia,Feb 26 2020,0
Virginia,Feb 19 2020,0
Virginia,Feb 12 2020,0
Virginia,Feb  5 2020,0
Virginia,Jan 29 2020,0
