Data Table for Total Cases - West Virginia
Date generated: Mon Dec 05 2022 13:03:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
West Virginia,Nov 30 2022,614646
West Virginia,Nov 23 2022,613165
West Virginia,Nov 16 2022,611813
West Virginia,Nov  9 2022,610432
West Virginia,Nov  2 2022,608652
West Virginia,Oct 26 2022,606794
West Virginia,Oct 19 2022,605322
West Virginia,Oct 12 2022,603580
West Virginia,Oct  5 2022,601885
West Virginia,Sep 28 2022,599770
West Virginia,Sep 21 2022,597303
West Virginia,Sep 14 2022,593806
West Virginia,Sep  7 2022,588317
West Virginia,Aug 31 2022,582666
West Virginia,Aug 24 2022,576424
West Virginia,Aug 17 2022,571075
West Virginia,Aug 10 2022,565397
West Virginia,Aug  3 2022,559295
West Virginia,Jul 27 2022,553019
West Virginia,Jul 20 2022,546773
West Virginia,Jul 13 2022,541062
West Virginia,Jul  6 2022,535776
West Virginia,Jun 29 2022,531844
West Virginia,Jun 22 2022,528049
West Virginia,Jun 15 2022,524431
West Virginia,Jun  8 2022,520896
West Virginia,Jun  1 2022,516554
West Virginia,May 25 2022,512572
West Virginia,May 18 2022,507682
West Virginia,May 11 2022,504510
West Virginia,May  4 2022,502192
West Virginia,Apr 27 2022,500696
West Virginia,Apr 20 2022,499444
West Virginia,Apr 13 2022,498656
West Virginia,Apr  6 2022,498219
West Virginia,Mar 30 2022,497670
West Virginia,Mar 23 2022,496980
West Virginia,Mar 16 2022,495907
West Virginia,Mar  9 2022,494031
West Virginia,Mar  2 2022,491052
West Virginia,Feb 23 2022,486242
West Virginia,Feb 16 2022,479154
West Virginia,Feb  9 2022,468380
West Virginia,Feb  2 2022,451910
West Virginia,Jan 26 2022,429016
West Virginia,Jan 19 2022,396343
West Virginia,Jan 12 2022,367217
West Virginia,Jan  5 2022,342607
West Virginia,Dec 29 2021,325514
West Virginia,Dec 22 2021,317539
West Virginia,Dec 15 2021,310245
West Virginia,Dec  8 2021,303174
West Virginia,Dec  1 2021,295949
West Virginia,Nov 24 2021,290909
West Virginia,Nov 17 2021,285136
West Virginia,Nov 10 2021,279694
West Virginia,Nov  3 2021,274510
West Virginia,Oct 27 2021,269131
West Virginia,Oct 20 2021,262902
West Virginia,Oct 13 2021,255778
West Virginia,Oct  6 2021,247806
West Virginia,Sep 29 2021,238498
West Virginia,Sep 22 2021,227507
West Virginia,Sep 15 2021,214984
West Virginia,Sep  8 2021,201660
West Virginia,Sep  1 2021,191156
West Virginia,Aug 25 2021,181906
West Virginia,Aug 18 2021,175639
West Virginia,Aug 11 2021,171196
West Virginia,Aug  4 2021,168333
West Virginia,Jul 28 2021,166494
West Virginia,Jul 21 2021,165397
West Virginia,Jul 14 2021,164759
West Virginia,Jul  7 2021,164335
West Virginia,Jun 30 2021,164043
West Virginia,Jun 23 2021,163688
West Virginia,Jun 16 2021,163301
West Virginia,Jun  9 2021,162727
West Virginia,Jun  2 2021,161942
West Virginia,May 26 2021,160783
West Virginia,May 19 2021,159155
West Virginia,May 12 2021,157213
West Virginia,May  5 2021,154962
West Virginia,Apr 28 2021,152300
West Virginia,Apr 21 2021,149766
West Virginia,Apr 14 2021,147167
West Virginia,Apr  7 2021,144351
West Virginia,Mar 31 2021,141738
West Virginia,Mar 24 2021,138818
West Virginia,Mar 17 2021,136328
West Virginia,Mar 10 2021,134161
West Virginia,Mar  3 2021,132366
West Virginia,Feb 24 2021,130393
West Virginia,Feb 17 2021,128400
West Virginia,Feb 10 2021,125952
West Virginia,Feb  3 2021,122478
West Virginia,Jan 27 2021,117771
West Virginia,Jan 20 2021,111677
West Virginia,Jan 13 2021,104250
West Virginia,Jan  6 2021,94681
West Virginia,Dec 30 2020,84225
West Virginia,Dec 23 2020,75936
West Virginia,Dec 16 2020,66850
West Virginia,Dec  9 2020,58462
West Virginia,Dec  2 2020,49905
West Virginia,Nov 25 2020,43052
West Virginia,Nov 18 2020,36267
West Virginia,Nov 11 2020,30203
West Virginia,Nov  4 2020,25988
West Virginia,Oct 28 2020,23067
West Virginia,Oct 21 2020,20734
West Virginia,Oct 14 2020,18823
West Virginia,Oct  7 2020,17150
West Virginia,Sep 30 2020,15850
West Virginia,Sep 23 2020,14515
West Virginia,Sep 16 2020,13202
West Virginia,Sep  9 2020,11814
West Virginia,Sep  2 2020,10657
West Virginia,Aug 26 2020,9538
West Virginia,Aug 19 2020,8800
West Virginia,Aug 12 2020,8017
West Virginia,Aug  5 2020,7155
West Virginia,Jul 29 2020,6278
West Virginia,Jul 22 2020,5211
West Virginia,Jul 15 2020,4558
West Virginia,Jul  8 2020,3707
West Virginia,Jul  1 2020,2978
West Virginia,Jun 24 2020,2631
West Virginia,Jun 17 2020,2374
West Virginia,Jun 10 2020,2195
West Virginia,Jun  3 2020,2076
West Virginia,May 27 2020,1888
West Virginia,May 20 2020,1565
West Virginia,May 13 2020,1397
West Virginia,May  6 2020,1240
West Virginia,Apr 29 2020,1110
West Virginia,Apr 22 2020,942
West Virginia,Apr 15 2020,703
West Virginia,Apr  8 2020,483
West Virginia,Apr  1 2020,191
West Virginia,Mar 25 2020,39
West Virginia,Mar 18 2020,1
West Virginia,Mar 11 2020,0
West Virginia,Mar  4 2020,0
West Virginia,Feb 26 2020,0
West Virginia,Feb 19 2020,0
West Virginia,Feb 12 2020,0
West Virginia,Feb  5 2020,0
West Virginia,Jan 29 2020,0
