Data Table for Total Cases - Wisconsin
Date generated: Mon Dec 05 2022 13:03:27 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Wisconsin,Nov 30 2022,1926437
Wisconsin,Nov 23 2022,1919235
Wisconsin,Nov 16 2022,1913308
Wisconsin,Nov  9 2022,1907232
Wisconsin,Nov  2 2022,1900036
Wisconsin,Oct 26 2022,1893055
Wisconsin,Oct 19 2022,1885519
Wisconsin,Oct 12 2022,1878404
Wisconsin,Oct  5 2022,1871358
Wisconsin,Sep 28 2022,1864411
Wisconsin,Sep 21 2022,1857337
Wisconsin,Sep 14 2022,1848929
Wisconsin,Sep  7 2022,1840060
Wisconsin,Aug 31 2022,1832392
Wisconsin,Aug 24 2022,1822216
Wisconsin,Aug 17 2022,1810752
Wisconsin,Aug 10 2022,1799141
Wisconsin,Aug  3 2022,1786635
Wisconsin,Jul 27 2022,1773092
Wisconsin,Jul 20 2022,1759023
Wisconsin,Jul 13 2022,1746344
Wisconsin,Jul  6 2022,1734113
Wisconsin,Jun 29 2022,1724777
Wisconsin,Jun 22 2022,1714060
Wisconsin,Jun 15 2022,1703197
Wisconsin,Jun  8 2022,1691976
Wisconsin,Jun  1 2022,1677361
Wisconsin,May 25 2022,1664367
Wisconsin,May 18 2022,1649615
Wisconsin,May 11 2022,1633342
Wisconsin,May  4 2022,1618023
Wisconsin,Apr 27 2022,1607202
Wisconsin,Apr 20 2022,1598776
Wisconsin,Apr 13 2022,1593166
Wisconsin,Apr  6 2022,1587991
Wisconsin,Mar 30 2022,1584730
Wisconsin,Mar 23 2022,1581942
Wisconsin,Mar 16 2022,1579359
Wisconsin,Mar  9 2022,1576636
Wisconsin,Mar  2 2022,1573435
Wisconsin,Feb 23 2022,1568800
Wisconsin,Feb 16 2022,1561035
Wisconsin,Feb  9 2022,1548286
Wisconsin,Feb  2 2022,1526108
Wisconsin,Jan 26 2022,1486054
Wisconsin,Jan 19 2022,1415098
Wisconsin,Jan 12 2022,1252891
Wisconsin,Jan  5 2022,1156050
Wisconsin,Dec 29 2021,1103754
Wisconsin,Dec 22 2021,1072270
Wisconsin,Dec 15 2021,1043693
Wisconsin,Dec  8 2021,1012189
Wisconsin,Dec  1 2021,986229
Wisconsin,Nov 24 2021,963229
Wisconsin,Nov 17 2021,937212
Wisconsin,Nov 10 2021,913237
Wisconsin,Nov  3 2021,893028
Wisconsin,Oct 27 2021,877220
Wisconsin,Oct 20 2021,862503
Wisconsin,Oct 13 2021,847006
Wisconsin,Oct  6 2021,828280
Wisconsin,Sep 29 2021,807455
Wisconsin,Sep 22 2021,787097
Wisconsin,Sep 15 2021,764338
Wisconsin,Sep  8 2021,749099
Wisconsin,Sep  1 2021,736263
Wisconsin,Aug 25 2021,722453
Wisconsin,Aug 18 2021,710973
Wisconsin,Aug 11 2021,701109
Wisconsin,Aug  4 2021,692190
Wisconsin,Jul 28 2021,685018
Wisconsin,Jul 21 2021,681170
Wisconsin,Jul 14 2021,679378
Wisconsin,Jul  7 2021,678215
Wisconsin,Jun 30 2021,677612
Wisconsin,Jun 23 2021,677027
Wisconsin,Jun 16 2021,676408
Wisconsin,Jun  9 2021,675729
Wisconsin,Jun  2 2021,674666
Wisconsin,May 26 2021,673306
Wisconsin,May 19 2021,670789
Wisconsin,May 12 2021,667602
Wisconsin,May  5 2021,663668
Wisconsin,Apr 28 2021,658699
Wisconsin,Apr 21 2021,653670
Wisconsin,Apr 14 2021,648099
Wisconsin,Apr  7 2021,641641
Wisconsin,Mar 31 2021,636041
Wisconsin,Mar 24 2021,631304
Wisconsin,Mar 17 2021,627062
Wisconsin,Mar 10 2021,623152
Wisconsin,Mar  3 2021,619088
Wisconsin,Feb 24 2021,614260
Wisconsin,Feb 17 2021,609194
Wisconsin,Feb 10 2021,603257
Wisconsin,Feb  3 2021,595757
Wisconsin,Jan 27 2021,585603
Wisconsin,Jan 20 2021,573121
Wisconsin,Jan 13 2021,558020
Wisconsin,Jan  6 2021,535999
Wisconsin,Dec 30 2020,516226
Wisconsin,Dec 23 2020,500444
Wisconsin,Dec 16 2020,478162
Wisconsin,Dec  9 2020,452180
Wisconsin,Dec  2 2020,420930
Wisconsin,Nov 25 2020,392442
Wisconsin,Nov 18 2020,350665
Wisconsin,Nov 11 2020,301349
Wisconsin,Nov  4 2020,257287
Wisconsin,Oct 28 2020,221560
Wisconsin,Oct 21 2020,192217
Wisconsin,Oct 14 2020,158580
Wisconsin,Oct  7 2020,138700
Wisconsin,Sep 30 2020,122275
Wisconsin,Sep 23 2020,105932
Wisconsin,Sep 16 2020,92715
Wisconsin,Sep  9 2020,83341
Wisconsin,Sep  2 2020,77133
Wisconsin,Aug 26 2020,72262
Wisconsin,Aug 19 2020,67494
Wisconsin,Aug 12 2020,62270
Wisconsin,Aug  5 2020,56941
Wisconsin,Jul 29 2020,51051
Wisconsin,Jul 22 2020,44849
Wisconsin,Jul 15 2020,38727
Wisconsin,Jul  8 2020,33153
Wisconsin,Jul  1 2020,29201
Wisconsin,Jun 24 2020,25763
Wisconsin,Jun 17 2020,23454
Wisconsin,Jun 10 2020,21593
Wisconsin,Jun  3 2020,19399
Wisconsin,May 27 2020,16464
Wisconsin,May 20 2020,13411
Wisconsin,May 13 2020,10903
Wisconsin,May  6 2020,8900
Wisconsin,Apr 29 2020,6520
Wisconsin,Apr 22 2020,4845
Wisconsin,Apr 15 2020,3721
Wisconsin,Apr  8 2020,2710
Wisconsin,Apr  1 2020,1556
Wisconsin,Mar 25 2020,621
Wisconsin,Mar 18 2020,111
Wisconsin,Mar 11 2020,3
Wisconsin,Mar  4 2020,0
Wisconsin,Feb 26 2020,0
Wisconsin,Feb 19 2020,0
Wisconsin,Feb 12 2020,0
Wisconsin,Feb  5 2020,0
Wisconsin,Jan 29 2020,0
