Data Table for Total Cases - Wyoming
Date generated: Mon Dec 05 2022 13:03:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Cases
Wyoming,Nov 30 2022,180925
Wyoming,Nov 23 2022,180426
Wyoming,Nov 16 2022,179838
Wyoming,Nov  9 2022,179349
Wyoming,Nov  2 2022,178857
Wyoming,Oct 26 2022,178436
Wyoming,Oct 19 2022,178025
Wyoming,Oct 12 2022,177630
Wyoming,Oct  5 2022,177164
Wyoming,Sep 28 2022,176728
Wyoming,Sep 21 2022,176256
Wyoming,Sep 14 2022,175746
Wyoming,Sep  7 2022,175290
Wyoming,Aug 31 2022,174828
Wyoming,Aug 24 2022,174213
Wyoming,Aug 17 2022,173487
Wyoming,Aug 10 2022,172473
Wyoming,Aug  3 2022,171322
Wyoming,Jul 27 2022,170031
Wyoming,Jul 20 2022,168678
Wyoming,Jul 13 2022,167200
Wyoming,Jul  6 2022,165496
Wyoming,Jun 29 2022,164357
Wyoming,Jun 22 2022,163263
Wyoming,Jun 15 2022,162119
Wyoming,Jun  8 2022,159907
Wyoming,Jun  1 2022,158472
Wyoming,May 25 2022,157861
Wyoming,May 18 2022,157409
Wyoming,May 11 2022,157031
Wyoming,May  4 2022,156742
Wyoming,Apr 27 2022,156549
Wyoming,Apr 20 2022,156391
Wyoming,Apr 13 2022,156258
Wyoming,Apr  6 2022,156206
Wyoming,Mar 30 2022,156083
Wyoming,Mar 23 2022,155971
Wyoming,Mar 16 2022,155800
Wyoming,Mar  9 2022,155624
Wyoming,Mar  2 2022,155277
Wyoming,Feb 23 2022,154666
Wyoming,Feb 16 2022,153665
Wyoming,Feb  9 2022,151803
Wyoming,Feb  2 2022,148382
Wyoming,Jan 26 2022,141090
Wyoming,Jan 19 2022,132145
Wyoming,Jan 12 2022,123743
Wyoming,Jan  5 2022,118098
Wyoming,Dec 29 2021,115242
Wyoming,Dec 22 2021,114062
Wyoming,Dec 15 2021,113359
Wyoming,Dec  8 2021,112547
Wyoming,Dec  1 2021,111266
Wyoming,Nov 24 2021,110264
Wyoming,Nov 17 2021,108658
Wyoming,Nov 10 2021,106698
Wyoming,Nov  3 2021,104403
Wyoming,Oct 27 2021,101912
Wyoming,Oct 20 2021,99007
Wyoming,Oct 13 2021,96059
Wyoming,Oct  6 2021,93083
Wyoming,Sep 29 2021,89965
Wyoming,Sep 22 2021,86594
Wyoming,Sep 15 2021,82897
Wyoming,Sep  8 2021,79297
Wyoming,Sep  1 2021,76007
Wyoming,Aug 25 2021,72528
Wyoming,Aug 18 2021,69844
Wyoming,Aug 11 2021,67583
Wyoming,Aug  4 2021,65953
Wyoming,Jul 28 2021,64623
Wyoming,Jul 21 2021,63988
Wyoming,Jul 14 2021,63331
Wyoming,Jul  7 2021,62736
Wyoming,Jun 30 2021,62289
Wyoming,Jun 23 2021,61776
Wyoming,Jun 16 2021,61353
Wyoming,Jun  9 2021,60941
Wyoming,Jun  2 2021,60444
Wyoming,May 26 2021,59961
Wyoming,May 19 2021,59374
Wyoming,May 12 2021,58895
Wyoming,May  5 2021,58438
Wyoming,Apr 28 2021,57999
Wyoming,Apr 21 2021,57524
Wyoming,Apr 14 2021,57127
Wyoming,Apr  7 2021,56701
Wyoming,Mar 31 2021,56310
Wyoming,Mar 24 2021,55886
Wyoming,Mar 17 2021,55449
Wyoming,Mar 10 2021,55015
Wyoming,Mar  3 2021,54619
Wyoming,Feb 24 2021,53989
Wyoming,Feb 17 2021,53450
Wyoming,Feb 10 2021,52888
Wyoming,Feb  3 2021,52286
Wyoming,Jan 27 2021,51368
Wyoming,Jan 20 2021,50124
Wyoming,Jan 13 2021,48289
Wyoming,Jan  6 2021,45890
Wyoming,Dec 30 2020,44125
Wyoming,Dec 23 2020,42664
Wyoming,Dec 16 2020,40311
Wyoming,Dec  9 2020,37885
Wyoming,Dec  2 2020,34491
Wyoming,Nov 25 2020,30761
Wyoming,Nov 18 2020,25275
Wyoming,Nov 11 2020,19377
Wyoming,Nov  4 2020,15044
Wyoming,Oct 28 2020,12146
Wyoming,Oct 21 2020,9849
Wyoming,Oct 14 2020,8177
Wyoming,Oct  7 2020,6901
Wyoming,Sep 30 2020,5948
Wyoming,Sep 23 2020,5170
Wyoming,Sep 16 2020,4566
Wyoming,Sep  9 2020,4152
Wyoming,Sep  2 2020,3911
Wyoming,Aug 26 2020,3634
Wyoming,Aug 19 2020,3406
Wyoming,Aug 12 2020,3078
Wyoming,Aug  5 2020,2914
Wyoming,Jul 29 2020,2622
Wyoming,Jul 22 2020,2284
Wyoming,Jul 15 2020,1982
Wyoming,Jul  8 2020,1739
Wyoming,Jul  1 2020,1513
Wyoming,Jun 24 2020,1281
Wyoming,Jun 17 2020,1114
Wyoming,Jun 10 2020,980
Wyoming,Jun  3 2020,914
Wyoming,May 27 2020,859
Wyoming,May 20 2020,788
Wyoming,May 13 2020,688
Wyoming,May  6 2020,631
Wyoming,Apr 29 2020,544
Wyoming,Apr 22 2020,448
Wyoming,Apr 15 2020,287
Wyoming,Apr  8 2020,221
Wyoming,Apr  1 2020,130
Wyoming,Mar 25 2020,44
Wyoming,Mar 18 2020,16
Wyoming,Mar 11 2020,0
Wyoming,Mar  4 2020,0
Wyoming,Feb 26 2020,0
Wyoming,Feb 19 2020,0
Wyoming,Feb 12 2020,0
Wyoming,Feb  5 2020,0
Wyoming,Jan 29 2020,0
