Data Table for Total Deaths - Arizona
Date generated: Mon Dec 05 2022 12:35:58 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Arizona,Nov 30 2022,31751
Arizona,Nov 23 2022,31709
Arizona,Nov 16 2022,31646
Arizona,Nov  9 2022,31613
Arizona,Nov  2 2022,31573
Arizona,Oct 26 2022,31548
Arizona,Oct 19 2022,31514
Arizona,Oct 12 2022,31454
Arizona,Oct  5 2022,31405
Arizona,Sep 28 2022,31369
Arizona,Sep 21 2022,31325
Arizona,Sep 14 2022,31243
Arizona,Sep  7 2022,31162
Arizona,Aug 31 2022,31114
Arizona,Aug 24 2022,31047
Arizona,Aug 17 2022,30982
Arizona,Aug 10 2022,30901
Arizona,Aug  3 2022,30842
Arizona,Jul 27 2022,30768
Arizona,Jul 20 2022,30698
Arizona,Jul 13 2022,30632
Arizona,Jul  6 2022,30572
Arizona,Jun 29 2022,30515
Arizona,Jun 22 2022,30451
Arizona,Jun 15 2022,30399
Arizona,Jun  8 2022,30371
Arizona,Jun  1 2022,30332
Arizona,May 25 2022,30299
Arizona,May 18 2022,30259
Arizona,May 11 2022,30230
Arizona,May  4 2022,30189
Arizona,Apr 27 2022,29951
Arizona,Apr 20 2022,29852
Arizona,Apr 13 2022,29822
Arizona,Apr  6 2022,29681
Arizona,Mar 30 2022,29268
Arizona,Mar 23 2022,28882
Arizona,Mar 16 2022,28546
Arizona,Mar  9 2022,28090
Arizona,Mar  2 2022,27707
Arizona,Feb 23 2022,27705
Arizona,Feb 16 2022,27190
Arizona,Feb  9 2022,26856
Arizona,Feb  2 2022,26369
Arizona,Jan 26 2022,25899
Arizona,Jan 19 2022,25416
Arizona,Jan 12 2022,24993
Arizona,Jan  5 2022,24570
Arizona,Dec 29 2021,24171
Arizona,Dec 22 2021,23816
Arizona,Dec 15 2021,23324
Arizona,Dec  8 2021,22779
Arizona,Dec  1 2021,22350
Arizona,Nov 24 2021,22098
Arizona,Nov 17 2021,21754
Arizona,Nov 10 2021,21527
Arizona,Nov  3 2021,21273
Arizona,Oct 27 2021,21045
Arizona,Oct 20 2021,20727
Arizona,Oct 13 2021,20438
Arizona,Oct  6 2021,20218
Arizona,Sep 29 2021,19941
Arizona,Sep 22 2021,19650
Arizona,Sep 15 2021,19330
Arizona,Sep  8 2021,19076
Arizona,Sep  1 2021,18853
Arizona,Aug 25 2021,18638
Arizona,Aug 18 2021,18504
Arizona,Aug 11 2021,18406
Arizona,Aug  4 2021,18290
Arizona,Jul 28 2021,18186
Arizona,Jul 21 2021,18126
Arizona,Jul 14 2021,18075
Arizona,Jul  7 2021,18004
Arizona,Jun 30 2021,17936
Arizona,Jun 23 2021,17868
Arizona,Jun 16 2021,17782
Arizona,Jun  9 2021,17707
Arizona,Jun  2 2021,17642
Arizona,May 26 2021,17570
Arizona,May 19 2021,17490
Arizona,May 12 2021,17427
Arizona,May  5 2021,17357
Arizona,Apr 28 2021,17281
Arizona,Apr 21 2021,17196
Arizona,Apr 14 2021,17106
Arizona,Apr  7 2021,17024
Arizona,Mar 31 2021,16954
Arizona,Mar 24 2021,16842
Arizona,Mar 17 2021,16585
Arizona,Mar 10 2021,16405
Arizona,Mar  3 2021,16091
Arizona,Feb 24 2021,15693
Arizona,Feb 17 2021,15063
Arizona,Feb 10 2021,14462
Arizona,Feb  3 2021,13576
Arizona,Jan 27 2021,12643
Arizona,Jan 20 2021,11528
Arizona,Jan 13 2021,10673
Arizona,Jan  6 2021,9444
Arizona,Dec 30 2020,8718
Arizona,Dec 23 2020,8180
Arizona,Dec 16 2020,7530
Arizona,Dec  9 2020,7081
Arizona,Dec  2 2020,6739
Arizona,Nov 25 2020,6524
Arizona,Nov 18 2020,6365
Arizona,Nov 11 2020,6228
Arizona,Nov  4 2020,6059
Arizona,Oct 28 2020,5905
Arizona,Oct 21 2020,5854
Arizona,Oct 14 2020,5772
Arizona,Oct  7 2020,5733
Arizona,Sep 30 2020,5653
Arizona,Sep 23 2020,5527
Arizona,Sep 16 2020,5370
Arizona,Sep  9 2020,5251
Arizona,Sep  2 2020,5067
Arizona,Aug 26 2020,4895
Arizona,Aug 19 2020,4632
Arizona,Aug 12 2020,4346
Arizona,Aug  5 2020,3931
Arizona,Jul 29 2020,3453
Arizona,Jul 22 2020,2974
Arizona,Jul 15 2020,2433
Arizona,Jul  8 2020,1961
Arizona,Jul  1 2020,1724
Arizona,Jun 24 2020,1466
Arizona,Jun 17 2020,1248
Arizona,Jun 10 2020,1100
Arizona,Jun  3 2020,983
Arizona,May 27 2020,834
Arizona,May 20 2020,747
Arizona,May 13 2020,595
Arizona,May  6 2020,426
Arizona,Apr 29 2020,308
Arizona,Apr 22 2020,231
Arizona,Apr 15 2020,155
Arizona,Apr  8 2020,89
Arizona,Apr  1 2020,32
Arizona,Mar 25 2020,6
Arizona,Mar 18 2020,0
Arizona,Mar 11 2020,0
Arizona,Mar  4 2020,0
Arizona,Feb 26 2020,0
Arizona,Feb 19 2020,0
Arizona,Feb 12 2020,0
Arizona,Feb  5 2020,0
Arizona,Jan 29 2020,0
