Data Table for Total Deaths - Arkansas
Date generated: Mon Dec 05 2022 12:36:57 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Arkansas,Nov 30 2022,12564
Arkansas,Nov 23 2022,12545
Arkansas,Nov 16 2022,12528
Arkansas,Nov  9 2022,12523
Arkansas,Nov  2 2022,12506
Arkansas,Oct 26 2022,12452
Arkansas,Oct 19 2022,12396
Arkansas,Oct 12 2022,12334
Arkansas,Oct  5 2022,12235
Arkansas,Sep 28 2022,12131
Arkansas,Sep 21 2022,12028
Arkansas,Sep 14 2022,11969
Arkansas,Sep  7 2022,11943
Arkansas,Aug 31 2022,11917
Arkansas,Aug 24 2022,11878
Arkansas,Aug 17 2022,11831
Arkansas,Aug 10 2022,11787
Arkansas,Aug  3 2022,11732
Arkansas,Jul 27 2022,11687
Arkansas,Jul 20 2022,11651
Arkansas,Jul 13 2022,11616
Arkansas,Jul  6 2022,11593
Arkansas,Jun 29 2022,11578
Arkansas,Jun 22 2022,11550
Arkansas,Jun 15 2022,11526
Arkansas,Jun  8 2022,11508
Arkansas,Jun  1 2022,11485
Arkansas,May 25 2022,11445
Arkansas,May 18 2022,11398
Arkansas,May 11 2022,11383
Arkansas,May  4 2022,11378
Arkansas,Apr 27 2022,11360
Arkansas,Apr 20 2022,11347
Arkansas,Apr 13 2022,11317
Arkansas,Apr  6 2022,11290
Arkansas,Mar 30 2022,11215
Arkansas,Mar 23 2022,11148
Arkansas,Mar 16 2022,11112
Arkansas,Mar  9 2022,11061
Arkansas,Mar  2 2022,10993
Arkansas,Feb 23 2022,10929
Arkansas,Feb 16 2022,10890
Arkansas,Feb  9 2022,10810
Arkansas,Feb  2 2022,10674
Arkansas,Jan 26 2022,10450
Arkansas,Jan 19 2022,10174
Arkansas,Jan 12 2022,9856
Arkansas,Jan  5 2022,9638
Arkansas,Dec 29 2021,9435
Arkansas,Dec 22 2021,9276
Arkansas,Dec 15 2021,9184
Arkansas,Dec  8 2021,9074
Arkansas,Dec  1 2021,8960
Arkansas,Nov 24 2021,8870
Arkansas,Nov 17 2021,8796
Arkansas,Nov 10 2021,8736
Arkansas,Nov  3 2021,8670
Arkansas,Oct 27 2021,8624
Arkansas,Oct 20 2021,8592
Arkansas,Oct 13 2021,8547
Arkansas,Oct  6 2021,8357
Arkansas,Sep 29 2021,8284
Arkansas,Sep 22 2021,8233
Arkansas,Sep 15 2021,8121
Arkansas,Sep  8 2021,7981
Arkansas,Sep  1 2021,7857
Arkansas,Aug 25 2021,7713
Arkansas,Aug 18 2021,7509
Arkansas,Aug 11 2021,7270
Arkansas,Aug  4 2021,7058
Arkansas,Jul 28 2021,6837
Arkansas,Jul 21 2021,6655
Arkansas,Jul 14 2021,6495
Arkansas,Jul  7 2021,6379
Arkansas,Jun 30 2021,6281
Arkansas,Jun 23 2021,6232
Arkansas,Jun 16 2021,6201
Arkansas,Jun  9 2021,6170
Arkansas,Jun  2 2021,6143
Arkansas,May 26 2021,6126
Arkansas,May 19 2021,6111
Arkansas,May 12 2021,6092
Arkansas,May  5 2021,6067
Arkansas,Apr 28 2021,6050
Arkansas,Apr 21 2021,6035
Arkansas,Apr 14 2021,6015
Arkansas,Apr  7 2021,5988
Arkansas,Mar 31 2021,5973
Arkansas,Mar 24 2021,5941
Arkansas,Mar 17 2021,5920
Arkansas,Mar 10 2021,5875
Arkansas,Mar  3 2021,5835
Arkansas,Feb 24 2021,5778
Arkansas,Feb 17 2021,5739
Arkansas,Feb 10 2021,5690
Arkansas,Feb  3 2021,5629
Arkansas,Jan 27 2021,5509
Arkansas,Jan 20 2021,5326
Arkansas,Jan 13 2021,5165
Arkansas,Jan  6 2021,4971
Arkansas,Dec 30 2020,4654
Arkansas,Dec 23 2020,4352
Arkansas,Dec 16 2020,4057
Arkansas,Dec  9 2020,3823
Arkansas,Dec  2 2020,3591
Arkansas,Nov 25 2020,3325
Arkansas,Nov 18 2020,3106
Arkansas,Nov 11 2020,2879
Arkansas,Nov  4 2020,2628
Arkansas,Oct 28 2020,2459
Arkansas,Oct 21 2020,2273
Arkansas,Oct 14 2020,2137
Arkansas,Oct  7 2020,1981
Arkansas,Sep 30 2020,1830
Arkansas,Sep 23 2020,1700
Arkansas,Sep 16 2020,1571
Arkansas,Sep  9 2020,1370
Arkansas,Sep  2 2020,1271
Arkansas,Aug 26 2020,1197
Arkansas,Aug 19 2020,1106
Arkansas,Aug 12 2020,1018
Arkansas,Aug  5 2020,931
Arkansas,Jul 29 2020,833
Arkansas,Jul 22 2020,711
Arkansas,Jul 15 2020,621
Arkansas,Jul  8 2020,544
Arkansas,Jul  1 2020,476
Arkansas,Jun 24 2020,424
Arkansas,Jun 17 2020,348
Arkansas,Jun 10 2020,300
Arkansas,Jun  3 2020,242
Arkansas,May 27 2020,195
Arkansas,May 20 2020,168
Arkansas,May 13 2020,151
Arkansas,May  6 2020,129
Arkansas,Apr 29 2020,117
Arkansas,Apr 22 2020,100
Arkansas,Apr 15 2020,66
Arkansas,Apr  8 2020,50
Arkansas,Apr  1 2020,31
Arkansas,Mar 25 2020,19
Arkansas,Mar 18 2020,3
Arkansas,Mar 11 2020,0
Arkansas,Mar  4 2020,0
Arkansas,Feb 26 2020,0
Arkansas,Feb 19 2020,0
Arkansas,Feb 12 2020,0
Arkansas,Feb  5 2020,0
Arkansas,Jan 29 2020,0
