Data Table for Total Deaths - California
Date generated: Mon Dec 05 2022 12:37:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
California,Nov 30 2022,96795
California,Nov 23 2022,96701
California,Nov 16 2022,96490
California,Nov  9 2022,96330
California,Nov  2 2022,96183
California,Oct 26 2022,96049
California,Oct 19 2022,95723
California,Oct 12 2022,95573
California,Oct  5 2022,95401
California,Sep 28 2022,95154
California,Sep 21 2022,94934
California,Sep 14 2022,94676
California,Sep  7 2022,94296
California,Aug 31 2022,94055
California,Aug 24 2022,93792
California,Aug 17 2022,93490
California,Aug 10 2022,93175
California,Aug  3 2022,92883
California,Jul 27 2022,92591
California,Jul 20 2022,92290
California,Jul 13 2022,92053
California,Jul  6 2022,91785
California,Jun 29 2022,91514
California,Jun 22 2022,91309
California,Jun 15 2022,91104
California,Jun  8 2022,90891
California,Jun  1 2022,90719
California,May 25 2022,90486
California,May 18 2022,90216
California,May 11 2022,89945
California,May  4 2022,89691
California,Apr 27 2022,89383
California,Apr 20 2022,89051
California,Apr 13 2022,88551
California,Apr  6 2022,88348
California,Mar 30 2022,88045
California,Mar 23 2022,87584
California,Mar 16 2022,86924
California,Mar  9 2022,86176
California,Mar  2 2022,84921
California,Feb 23 2022,83575
California,Feb 16 2022,82380
California,Feb  9 2022,80910
California,Feb  2 2022,79598
California,Jan 26 2022,78315
California,Jan 19 2022,77357
California,Jan 12 2022,76683
California,Jan  5 2022,76053
California,Dec 29 2021,75628
California,Dec 22 2021,75281
California,Dec 15 2021,74794
California,Dec  8 2021,74349
California,Dec  1 2021,73822
California,Nov 24 2021,73365
California,Nov 17 2021,72708
California,Nov 10 2021,72130
California,Nov  3 2021,71601
California,Oct 27 2021,71159
California,Oct 20 2021,70588
California,Oct 13 2021,69872
California,Oct  6 2021,69190
California,Sep 29 2021,68516
California,Sep 22 2021,67775
California,Sep 15 2021,67000
California,Sep  8 2021,66056
California,Sep  1 2021,65431
California,Aug 25 2021,64801
California,Aug 18 2021,64290
California,Aug 11 2021,63975
California,Aug  4 2021,63729
California,Jul 28 2021,63516
California,Jul 21 2021,63339
California,Jul 14 2021,63168
California,Jul  7 2021,62917
California,Jun 30 2021,62685
California,Jun 23 2021,62384
California,Jun 16 2021,62169
California,Jun  9 2021,62039
California,Jun  2 2021,61730
California,May 26 2021,61494
California,May 19 2021,61273
California,May 12 2021,60995
California,May  5 2021,60595
California,Apr 28 2021,60046
California,Apr 21 2021,59704
California,Apr 14 2021,59210
California,Apr  7 2021,58521
California,Mar 31 2021,57823
California,Mar 24 2021,56749
California,Mar 17 2021,55536
California,Mar 10 2021,54217
California,Mar  3 2021,52324
California,Feb 24 2021,49366
California,Feb 17 2021,46996
California,Feb 10 2021,44372
California,Feb  3 2021,40982
California,Jan 27 2021,37317
California,Jan 20 2021,33690
California,Jan 13 2021,30641
California,Jan  6 2021,27223
California,Dec 30 2020,24738
California,Dec 23 2020,23096
California,Dec 16 2020,21409
California,Dec  9 2020,20253
California,Dec  2 2020,19368
California,Nov 25 2020,18915
California,Nov 18 2020,18386
California,Nov 11 2020,18093
California,Nov  4 2020,17772
California,Oct 28 2020,17427
California,Oct 21 2020,16987
California,Oct 14 2020,16520
California,Oct  7 2020,16127
California,Sep 30 2020,15654
California,Sep 23 2020,15035
California,Sep 16 2020,14407
California,Sep  9 2020,13724
California,Sep  2 2020,12953
California,Aug 26 2020,12154
California,Aug 19 2020,11301
California,Aug 12 2020,10489
California,Aug  5 2020,9519
California,Jul 29 2020,8593
California,Jul 22 2020,7792
California,Jul 15 2020,7164
California,Jul  8 2020,6475
California,Jul  1 2020,5978
California,Jun 24 2020,5499
California,Jun 17 2020,5064
California,Jun 10 2020,4667
California,Jun  3 2020,4231
California,May 27 2020,3706
California,May 20 2020,3364
California,May 13 2020,2828
California,May  6 2020,2327
California,Apr 29 2020,1811
California,Apr 22 2020,1295
California,Apr 15 2020,788
California,Apr  8 2020,442
California,Apr  1 2020,172
California,Mar 25 2020,64
California,Mar 18 2020,15
California,Mar 11 2020,3
California,Mar  4 2020,1
California,Feb 26 2020,0
California,Feb 19 2020,0
California,Feb 12 2020,0
California,Feb  5 2020,0
California,Jan 29 2020,0
