Data Table for Total Deaths - Delaware
Date generated: Mon Dec 05 2022 12:37:59 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Delaware,Nov 30 2022,3172
Delaware,Nov 23 2022,3172
Delaware,Nov 16 2022,3172
Delaware,Nov  9 2022,3171
Delaware,Nov  2 2022,3169
Delaware,Oct 26 2022,3165
Delaware,Oct 19 2022,3163
Delaware,Oct 12 2022,3153
Delaware,Oct  5 2022,3149
Delaware,Sep 28 2022,3140
Delaware,Sep 21 2022,3132
Delaware,Sep 14 2022,3115
Delaware,Sep  7 2022,3111
Delaware,Aug 31 2022,3104
Delaware,Aug 24 2022,3097
Delaware,Aug 17 2022,3083
Delaware,Aug 10 2022,3081
Delaware,Aug  3 2022,3070
Delaware,Jul 27 2022,3056
Delaware,Jul 20 2022,3047
Delaware,Jul 13 2022,3036
Delaware,Jul  6 2022,3028
Delaware,Jun 29 2022,3019
Delaware,Jun 22 2022,3008
Delaware,Jun 15 2022,3000
Delaware,Jun  8 2022,2994
Delaware,Jun  1 2022,2986
Delaware,May 25 2022,2978
Delaware,May 18 2022,2968
Delaware,May 11 2022,2963
Delaware,May  4 2022,2957
Delaware,Apr 27 2022,2949
Delaware,Apr 20 2022,2942
Delaware,Apr 13 2022,2939
Delaware,Apr  6 2022,2935
Delaware,Mar 30 2022,2927
Delaware,Mar 23 2022,2916
Delaware,Mar 16 2022,2903
Delaware,Mar  9 2022,2893
Delaware,Mar  2 2022,2877
Delaware,Feb 23 2022,2854
Delaware,Feb 16 2022,2833
Delaware,Feb  9 2022,2804
Delaware,Feb  2 2022,2740
Delaware,Jan 26 2022,2671
Delaware,Jan 19 2022,2604
Delaware,Jan 12 2022,2516
Delaware,Jan  5 2022,2453
Delaware,Dec 29 2021,2384
Delaware,Dec 22 2021,2346
Delaware,Dec 15 2021,2309
Delaware,Dec  8 2021,2281
Delaware,Dec  1 2021,2252
Delaware,Nov 24 2021,2232
Delaware,Nov 17 2021,2205
Delaware,Nov 10 2021,2194
Delaware,Nov  3 2021,2171
Delaware,Oct 27 2021,2149
Delaware,Oct 20 2021,2129
Delaware,Oct 13 2021,2096
Delaware,Oct  6 2021,2072
Delaware,Sep 29 2021,2041
Delaware,Sep 22 2021,2011
Delaware,Sep 15 2021,1977
Delaware,Sep  8 2021,1946
Delaware,Sep  1 2021,1925
Delaware,Aug 25 2021,1913
Delaware,Aug 18 2021,1888
Delaware,Aug 11 2021,1879
Delaware,Aug  4 2021,1871
Delaware,Jul 28 2021,1865
Delaware,Jul 21 2021,1860
Delaware,Jul 14 2021,1858
Delaware,Jul  7 2021,1853
Delaware,Jun 30 2021,1851
Delaware,Jun 23 2021,1849
Delaware,Jun 16 2021,1843
Delaware,Jun  9 2021,1837
Delaware,Jun  2 2021,1831
Delaware,May 26 2021,1823
Delaware,May 19 2021,1814
Delaware,May 12 2021,1803
Delaware,May  5 2021,1796
Delaware,Apr 28 2021,1783
Delaware,Apr 21 2021,1763
Delaware,Apr 14 2021,1752
Delaware,Apr  7 2021,1726
Delaware,Mar 31 2021,1709
Delaware,Mar 24 2021,1698
Delaware,Mar 17 2021,1681
Delaware,Mar 10 2021,1665
Delaware,Mar  3 2021,1639
Delaware,Feb 24 2021,1614
Delaware,Feb 17 2021,1590
Delaware,Feb 10 2021,1543
Delaware,Feb  3 2021,1489
Delaware,Jan 27 2021,1425
Delaware,Jan 20 2021,1344
Delaware,Jan 13 2021,1262
Delaware,Jan  6 2021,1181
Delaware,Dec 30 2020,1118
Delaware,Dec 23 2020,1038
Delaware,Dec 16 2020,962
Delaware,Dec  9 2020,899
Delaware,Dec  2 2020,860
Delaware,Nov 25 2020,831
Delaware,Nov 18 2020,803
Delaware,Nov 11 2020,782
Delaware,Nov  4 2020,766
Delaware,Oct 28 2020,739
Delaware,Oct 21 2020,717
Delaware,Oct 14 2020,697
Delaware,Oct  7 2020,681
Delaware,Sep 30 2020,669
Delaware,Sep 23 2020,656
Delaware,Sep 16 2020,650
Delaware,Sep  9 2020,645
Delaware,Sep  2 2020,637
Delaware,Aug 26 2020,631
Delaware,Aug 19 2020,628
Delaware,Aug 12 2020,624
Delaware,Aug  5 2020,617
Delaware,Jul 29 2020,612
Delaware,Jul 22 2020,603
Delaware,Jul 15 2020,595
Delaware,Jul  8 2020,583
Delaware,Jul  1 2020,574
Delaware,Jun 24 2020,564
Delaware,Jun 17 2020,548
Delaware,Jun 10 2020,534
Delaware,Jun  3 2020,503
Delaware,May 27 2020,467
Delaware,May 20 2020,418
Delaware,May 13 2020,340
Delaware,May  6 2020,270
Delaware,Apr 29 2020,195
Delaware,Apr 22 2020,107
Delaware,Apr 15 2020,61
Delaware,Apr  8 2020,28
Delaware,Apr  1 2020,12
Delaware,Mar 25 2020,1
Delaware,Mar 18 2020,0
Delaware,Mar 11 2020,0
Delaware,Mar  4 2020,0
Delaware,Feb 26 2020,0
Delaware,Feb 19 2020,0
Delaware,Feb 12 2020,0
Delaware,Feb  5 2020,0
Delaware,Jan 29 2020,0
