Data Table for Total Deaths - District of Columbia
Date generated: Mon Dec 05 2022 12:38:05 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
District of Columbia,Nov 30 2022,1407
District of Columbia,Nov 23 2022,1403
District of Columbia,Nov 16 2022,1403
District of Columbia,Nov  9 2022,1402
District of Columbia,Nov  2 2022,1397
District of Columbia,Oct 26 2022,1392
District of Columbia,Oct 19 2022,1392
District of Columbia,Oct 12 2022,1392
District of Columbia,Oct  5 2022,1392
District of Columbia,Sep 28 2022,1383
District of Columbia,Sep 21 2022,1383
District of Columbia,Sep 14 2022,1382
District of Columbia,Sep  7 2022,1382
District of Columbia,Aug 31 2022,1381
District of Columbia,Aug 24 2022,1376
District of Columbia,Aug 17 2022,1374
District of Columbia,Aug 10 2022,1369
District of Columbia,Aug  3 2022,1364
District of Columbia,Jul 27 2022,1363
District of Columbia,Jul 20 2022,1363
District of Columbia,Jul 13 2022,1354
District of Columbia,Jul  6 2022,1351
District of Columbia,Jun 29 2022,1349
District of Columbia,Jun 22 2022,1349
District of Columbia,Jun 15 2022,1348
District of Columbia,Jun  8 2022,1348
District of Columbia,Jun  1 2022,1343
District of Columbia,May 25 2022,1342
District of Columbia,May 18 2022,1342
District of Columbia,May 11 2022,1340
District of Columbia,May  4 2022,1340
District of Columbia,Apr 27 2022,1340
District of Columbia,Apr 20 2022,1333
District of Columbia,Apr 13 2022,1333
District of Columbia,Apr  6 2022,1332
District of Columbia,Mar 30 2022,1331
District of Columbia,Mar 23 2022,1329
District of Columbia,Mar 16 2022,1327
District of Columbia,Mar  9 2022,1324
District of Columbia,Mar  2 2022,1321
District of Columbia,Feb 23 2022,1317
District of Columbia,Feb 16 2022,1311
District of Columbia,Feb  9 2022,1305
District of Columbia,Feb  2 2022,1290
District of Columbia,Jan 26 2022,1282
District of Columbia,Jan 19 2022,1263
District of Columbia,Jan 12 2022,1240
District of Columbia,Jan  5 2022,1222
District of Columbia,Dec 29 2021,1210
District of Columbia,Dec 22 2021,1207
District of Columbia,Dec 15 2021,1203
District of Columbia,Dec  8 2021,1197
District of Columbia,Dec  1 2021,1196
District of Columbia,Nov 24 2021,1196
District of Columbia,Nov 17 2021,1195
District of Columbia,Nov 10 2021,1193
District of Columbia,Nov  3 2021,1193
District of Columbia,Oct 27 2021,1187
District of Columbia,Oct 20 2021,1185
District of Columbia,Oct 13 2021,1183
District of Columbia,Oct  6 2021,1180
District of Columbia,Sep 29 2021,1174
District of Columbia,Sep 22 2021,1171
District of Columbia,Sep 15 2021,1167
District of Columbia,Sep  8 2021,1163
District of Columbia,Sep  1 2021,1161
District of Columbia,Aug 25 2021,1155
District of Columbia,Aug 18 2021,1153
District of Columbia,Aug 11 2021,1149
District of Columbia,Aug  4 2021,1149
District of Columbia,Jul 28 2021,1148
District of Columbia,Jul 21 2021,1146
District of Columbia,Jul 14 2021,1145
District of Columbia,Jul  7 2021,1143
District of Columbia,Jun 30 2021,1141
District of Columbia,Jun 23 2021,1141
District of Columbia,Jun 16 2021,1139
District of Columbia,Jun  9 2021,1137
District of Columbia,Jun  2 2021,1135
District of Columbia,May 26 2021,1131
District of Columbia,May 19 2021,1124
District of Columbia,May 12 2021,1115
District of Columbia,May  5 2021,1109
District of Columbia,Apr 28 2021,1104
District of Columbia,Apr 21 2021,1097
District of Columbia,Apr 14 2021,1088
District of Columbia,Apr  7 2021,1076
District of Columbia,Mar 31 2021,1064
District of Columbia,Mar 24 2021,1053
District of Columbia,Mar 17 2021,1044
District of Columbia,Mar 10 2021,1037
District of Columbia,Mar  3 2021,1023
District of Columbia,Feb 24 2021,1001
District of Columbia,Feb 17 2021,985
District of Columbia,Feb 10 2021,965
District of Columbia,Feb  3 2021,926
District of Columbia,Jan 27 2021,895
District of Columbia,Jan 20 2021,863
District of Columbia,Jan 13 2021,831
District of Columbia,Jan  6 2021,806
District of Columbia,Dec 30 2020,780
District of Columbia,Dec 23 2020,751
District of Columbia,Dec 16 2020,720
District of Columbia,Dec  9 2020,704
District of Columbia,Dec  2 2020,690
District of Columbia,Nov 25 2020,677
District of Columbia,Nov 18 2020,665
District of Columbia,Nov 11 2020,657
District of Columbia,Nov  4 2020,647
District of Columbia,Oct 28 2020,644
District of Columbia,Oct 21 2020,642
District of Columbia,Oct 14 2020,638
District of Columbia,Oct  7 2020,632
District of Columbia,Sep 30 2020,627
District of Columbia,Sep 23 2020,621
District of Columbia,Sep 16 2020,617
District of Columbia,Sep  9 2020,615
District of Columbia,Sep  2 2020,608
District of Columbia,Aug 26 2020,605
District of Columbia,Aug 19 2020,600
District of Columbia,Aug 12 2020,593
District of Columbia,Aug  5 2020,587
District of Columbia,Jul 29 2020,584
District of Columbia,Jul 22 2020,580
District of Columbia,Jul 15 2020,571
District of Columbia,Jul  8 2020,564
District of Columbia,Jul  1 2020,553
District of Columbia,Jun 24 2020,541
District of Columbia,Jun 17 2020,523
District of Columbia,Jun 10 2020,499
District of Columbia,Jun  3 2020,473
District of Columbia,May 27 2020,445
District of Columbia,May 20 2020,407
District of Columbia,May 13 2020,350
District of Columbia,May  6 2020,277
District of Columbia,Apr 29 2020,205
District of Columbia,Apr 22 2020,127
District of Columbia,Apr 15 2020,72
District of Columbia,Apr  8 2020,27
District of Columbia,Apr  1 2020,11
District of Columbia,Mar 25 2020,3
District of Columbia,Mar 18 2020,0
District of Columbia,Mar 11 2020,0
District of Columbia,Mar  4 2020,0
District of Columbia,Feb 26 2020,0
District of Columbia,Feb 19 2020,0
District of Columbia,Feb 12 2020,0
District of Columbia,Feb  5 2020,0
District of Columbia,Jan 29 2020,0
