Data Table for Total Deaths - Georgia
Date generated: Mon Dec 05 2022 13:35:11 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Georgia,Nov 30 2022,41070
Georgia,Nov 23 2022,41024
Georgia,Nov 16 2022,40915
Georgia,Nov  9 2022,40801
Georgia,Nov  2 2022,40696
Georgia,Oct 26 2022,40626
Georgia,Oct 19 2022,40551
Georgia,Oct 12 2022,40447
Georgia,Oct  5 2022,40373
Georgia,Sep 28 2022,40280
Georgia,Sep 21 2022,40161
Georgia,Sep 14 2022,40011
Georgia,Sep  7 2022,39859
Georgia,Aug 31 2022,39740
Georgia,Aug 24 2022,39606
Georgia,Aug 17 2022,39455
Georgia,Aug 10 2022,39302
Georgia,Aug  3 2022,39158
Georgia,Jul 27 2022,39028
Georgia,Jul 20 2022,38917
Georgia,Jul 13 2022,38807
Georgia,Jul  6 2022,38673
Georgia,Jun 29 2022,38571
Georgia,Jun 22 2022,38439
Georgia,Jun 15 2022,38345
Georgia,Jun  8 2022,38278
Georgia,Jun  1 2022,38225
Georgia,May 25 2022,38181
Georgia,May 18 2022,38138
Georgia,May 11 2022,38067
Georgia,May  4 2022,37952
Georgia,Apr 27 2022,37789
Georgia,Apr 20 2022,37646
Georgia,Apr 13 2022,37409
Georgia,Apr  6 2022,37210
Georgia,Mar 30 2022,36916
Georgia,Mar 23 2022,36656
Georgia,Mar 16 2022,36360
Georgia,Mar  9 2022,36019
Georgia,Mar  2 2022,35596
Georgia,Feb 23 2022,35093
Georgia,Feb 16 2022,34463
Georgia,Feb  9 2022,33850
Georgia,Feb  2 2022,33162
Georgia,Jan 26 2022,32602
Georgia,Jan 19 2022,31743
Georgia,Jan 12 2022,31743
Georgia,Jan  5 2022,31520
Georgia,Dec 29 2021,31353
Georgia,Dec 22 2021,31120
Georgia,Dec 15 2021,30899
Georgia,Dec  8 2021,30751
Georgia,Dec  1 2021,30565
Georgia,Nov 24 2021,30353
Georgia,Nov 17 2021,30027
Georgia,Nov 10 2021,29746
Georgia,Nov  3 2021,29310
Georgia,Oct 27 2021,28851
Georgia,Oct 20 2021,28235
Georgia,Oct 13 2021,27429
Georgia,Oct  6 2021,26819
Georgia,Sep 29 2021,25927
Georgia,Sep 22 2021,25129
Georgia,Sep 15 2021,24263
Georgia,Sep  8 2021,23396
Georgia,Sep  1 2021,22869
Georgia,Aug 25 2021,22399
Georgia,Aug 18 2021,22101
Georgia,Aug 11 2021,21893
Georgia,Aug  4 2021,21733
Georgia,Jul 28 2021,21652
Georgia,Jul 21 2021,21588
Georgia,Jul 14 2021,21521
Georgia,Jul  7 2021,21456
Georgia,Jun 30 2021,21408
Georgia,Jun 23 2021,21334
Georgia,Jun 16 2021,21219
Georgia,Jun  9 2021,21029
Georgia,Jun  2 2021,20858
Georgia,May 26 2021,20705
Georgia,May 19 2021,20514
Georgia,May 12 2021,20385
Georgia,May  5 2021,20236
Georgia,Apr 28 2021,20071
Georgia,Apr 21 2021,19812
Georgia,Apr 14 2021,19589
Georgia,Apr  7 2021,19296
Georgia,Mar 31 2021,19051
Georgia,Mar 24 2021,18657
Georgia,Mar 17 2021,18352
Georgia,Mar 10 2021,18018
Georgia,Mar  3 2021,17616
Georgia,Feb 24 2021,17060
Georgia,Feb 17 2021,16272
Georgia,Feb 10 2021,15422
Georgia,Feb  3 2021,14587
Georgia,Jan 27 2021,13646
Georgia,Jan 20 2021,12779
Georgia,Jan 13 2021,11804
Georgia,Jan  6 2021,11165
Georgia,Dec 30 2020,10843
Georgia,Dec 23 2020,10519
Georgia,Dec 16 2020,10222
Georgia,Dec  9 2020,9920
Georgia,Dec  2 2020,9565
Georgia,Nov 25 2020,9296
Georgia,Nov 18 2020,9054
Georgia,Nov 11 2020,8800
Georgia,Nov  4 2020,8538
Georgia,Oct 28 2020,7873
Georgia,Oct 21 2020,7699
Georgia,Oct 14 2020,7467
Georgia,Oct  7 2020,7244
Georgia,Sep 30 2020,7016
Georgia,Sep 23 2020,6761
Georgia,Sep 16 2020,6416
Georgia,Sep  9 2020,6123
Georgia,Sep  2 2020,5791
Georgia,Aug 26 2020,5306
Georgia,Aug 19 2020,4849
Georgia,Aug 12 2020,4455
Georgia,Aug  5 2020,3985
Georgia,Jul 29 2020,3639
Georgia,Jul 22 2020,3337
Georgia,Jul 15 2020,3092
Georgia,Jul  8 2020,2922
Georgia,Jul  1 2020,2827
Georgia,Jun 24 2020,2702
Georgia,Jun 17 2020,2569
Georgia,Jun 10 2020,2328
Georgia,Jun  3 2020,2115
Georgia,May 27 2020,1925
Georgia,May 20 2020,1686
Georgia,May 13 2020,1505
Georgia,May  6 2020,1324
Georgia,Apr 29 2020,1097
Georgia,Apr 22 2020,846
Georgia,Apr 15 2020,552
Georgia,Apr  8 2020,363
Georgia,Apr  1 2020,140
Georgia,Mar 25 2020,40
Georgia,Mar 18 2020,3
Georgia,Mar 11 2020,0
Georgia,Mar  4 2020,0
Georgia,Feb 26 2020,0
Georgia,Feb 19 2020,0
Georgia,Feb 12 2020,0
Georgia,Feb  5 2020,0
Georgia,Jan 29 2020,0
