Data Table for Total Deaths - Illinois
Date generated: Mon Dec 05 2022 12:40:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Illinois,Nov 30 2022,40304
Illinois,Nov 23 2022,40247
Illinois,Nov 16 2022,40174
Illinois,Nov  9 2022,40083
Illinois,Nov  2 2022,40032
Illinois,Oct 26 2022,39947
Illinois,Oct 19 2022,39875
Illinois,Oct 12 2022,39802
Illinois,Oct  5 2022,39745
Illinois,Sep 28 2022,39665
Illinois,Sep 21 2022,39597
Illinois,Sep 14 2022,39496
Illinois,Sep  7 2022,39406
Illinois,Aug 31 2022,39328
Illinois,Aug 24 2022,39235
Illinois,Aug 17 2022,39145
Illinois,Aug 10 2022,39059
Illinois,Aug  3 2022,38923
Illinois,Jul 27 2022,38846
Illinois,Jul 20 2022,38785
Illinois,Jul 13 2022,38707
Illinois,Jul  6 2022,38633
Illinois,Jun 29 2022,38569
Illinois,Jun 22 2022,38462
Illinois,Jun 15 2022,38368
Illinois,Jun  8 2022,38270
Illinois,Jun  1 2022,38161
Illinois,May 25 2022,38114
Illinois,May 18 2022,38041
Illinois,May 11 2022,37994
Illinois,May  4 2022,37934
Illinois,Apr 27 2022,37881
Illinois,Apr 20 2022,37840
Illinois,Apr 13 2022,37800
Illinois,Apr  6 2022,37738
Illinois,Mar 30 2022,37644
Illinois,Mar 23 2022,37551
Illinois,Mar 16 2022,37415
Illinois,Mar  9 2022,37211
Illinois,Mar  2 2022,37006
Illinois,Feb 23 2022,36608
Illinois,Feb 16 2022,36194
Illinois,Feb  9 2022,35598
Illinois,Feb  2 2022,34965
Illinois,Jan 26 2022,34131
Illinois,Jan 19 2022,33052
Illinois,Jan 12 2022,32187
Illinois,Jan  5 2022,31416
Illinois,Dec 29 2021,30908
Illinois,Dec 22 2021,30482
Illinois,Dec 15 2021,30076
Illinois,Dec  8 2021,29734
Illinois,Dec  1 2021,29432
Illinois,Nov 24 2021,29258
Illinois,Nov 17 2021,29083
Illinois,Nov 10 2021,28929
Illinois,Nov  3 2021,28771
Illinois,Oct 27 2021,28550
Illinois,Oct 20 2021,28344
Illinois,Oct 13 2021,28089
Illinois,Oct  6 2021,27878
Illinois,Sep 29 2021,27620
Illinois,Sep 22 2021,27352
Illinois,Sep 15 2021,27062
Illinois,Sep  8 2021,26770
Illinois,Sep  1 2021,26536
Illinois,Aug 25 2021,26336
Illinois,Aug 18 2021,26183
Illinois,Aug 11 2021,26047
Illinois,Aug  4 2021,25959
Illinois,Jul 28 2021,25892
Illinois,Jul 21 2021,25853
Illinois,Jul 14 2021,25800
Illinois,Jul  7 2021,25733
Illinois,Jun 30 2021,25673
Illinois,Jun 23 2021,25606
Illinois,Jun 16 2021,25531
Illinois,Jun  9 2021,25412
Illinois,Jun  2 2021,25240
Illinois,May 26 2021,25056
Illinois,May 19 2021,24861
Illinois,May 12 2021,24636
Illinois,May  5 2021,24440
Illinois,Apr 28 2021,24209
Illinois,Apr 21 2021,24016
Illinois,Apr 14 2021,23864
Illinois,Apr  7 2021,23700
Illinois,Mar 31 2021,23576
Illinois,Mar 24 2021,23408
Illinois,Mar 17 2021,23255
Illinois,Mar 10 2021,23069
Illinois,Mar  3 2021,22852
Illinois,Feb 24 2021,22575
Illinois,Feb 17 2021,22225
Illinois,Feb 10 2021,21866
Illinois,Feb  3 2021,21418
Illinois,Jan 27 2021,20950
Illinois,Jan 20 2021,20285
Illinois,Jan 13 2021,19618
Illinois,Jan  6 2021,18735
Illinois,Dec 30 2020,17810
Illinois,Dec 23 2020,16841
Illinois,Dec 16 2020,15777
Illinois,Dec  9 2020,14614
Illinois,Dec  2 2020,13397
Illinois,Nov 25 2020,12439
Illinois,Nov 18 2020,11470
Illinois,Nov 11 2020,10798
Illinois,Nov  4 2020,10217
Illinois,Oct 28 2020,9888
Illinois,Oct 21 2020,9603
Illinois,Oct 14 2020,9320
Illinois,Oct  7 2020,9126
Illinois,Sep 30 2020,8915
Illinois,Sep 23 2020,8744
Illinois,Sep 16 2020,8599
Illinois,Sep  9 2020,8433
Illinois,Sep  2 2020,8300
Illinois,Aug 26 2020,8163
Illinois,Aug 19 2020,8017
Illinois,Aug 12 2020,7880
Illinois,Aug  5 2020,7770
Illinois,Jul 29 2020,7654
Illinois,Jul 22 2020,7539
Illinois,Jul 15 2020,7425
Illinois,Jul  8 2020,7306
Illinois,Jul  1 2020,6949
Illinois,Jun 24 2020,6767
Illinois,Jun 17 2020,6484
Illinois,Jun 10 2020,6094
Illinois,Jun  3 2020,5620
Illinois,May 27 2020,5082
Illinois,May 20 2020,4524
Illinois,May 13 2020,3791
Illinois,May  6 2020,2974
Illinois,Apr 29 2020,2214
Illinois,Apr 22 2020,1565
Illinois,Apr 15 2020,949
Illinois,Apr  8 2020,462
Illinois,Apr  1 2020,141
Illinois,Mar 25 2020,19
Illinois,Mar 18 2020,1
Illinois,Mar 11 2020,0
Illinois,Mar  4 2020,0
Illinois,Feb 26 2020,0
Illinois,Feb 19 2020,0
Illinois,Feb 12 2020,0
Illinois,Feb  5 2020,0
Illinois,Jan 29 2020,0
