Data Table for Total Deaths - Indiana
Date generated: Mon Dec 05 2022 12:40:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Indiana,Nov 30 2022,25164
Indiana,Nov 23 2022,25138
Indiana,Nov 16 2022,25079
Indiana,Nov  9 2022,25013
Indiana,Nov  2 2022,24950
Indiana,Oct 26 2022,24900
Indiana,Oct 19 2022,24862
Indiana,Oct 12 2022,24746
Indiana,Oct  5 2022,24746
Indiana,Sep 28 2022,24707
Indiana,Sep 21 2022,24640
Indiana,Sep 14 2022,24580
Indiana,Sep  7 2022,24504
Indiana,Aug 31 2022,24452
Indiana,Aug 24 2022,24377
Indiana,Aug 17 2022,24311
Indiana,Aug 10 2022,24222
Indiana,Aug  3 2022,24153
Indiana,Jul 27 2022,24085
Indiana,Jul 20 2022,24028
Indiana,Jul 13 2022,23981
Indiana,Jul  6 2022,23899
Indiana,Jun 29 2022,23877
Indiana,Jun 22 2022,23841
Indiana,Jun 15 2022,23802
Indiana,Jun  8 2022,23767
Indiana,Jun  1 2022,23710
Indiana,May 25 2022,23688
Indiana,May 18 2022,23658
Indiana,May 11 2022,23628
Indiana,May  4 2022,23587
Indiana,Apr 27 2022,23565
Indiana,Apr 20 2022,23532
Indiana,Apr 13 2022,23507
Indiana,Apr  6 2022,23458
Indiana,Mar 30 2022,23374
Indiana,Mar 23 2022,23334
Indiana,Mar 16 2022,23229
Indiana,Mar  9 2022,23115
Indiana,Mar  2 2022,22928
Indiana,Feb 23 2022,22693
Indiana,Feb 16 2022,22377
Indiana,Feb  9 2022,21911
Indiana,Feb  2 2022,21598
Indiana,Jan 26 2022,21056
Indiana,Jan 19 2022,20503
Indiana,Jan 12 2022,20035
Indiana,Jan  5 2022,19296
Indiana,Dec 29 2021,18988
Indiana,Dec 22 2021,18696
Indiana,Dec 15 2021,18272
Indiana,Dec  8 2021,17909
Indiana,Dec  1 2021,17621
Indiana,Nov 24 2021,17386
Indiana,Nov 17 2021,17191
Indiana,Nov 10 2021,16994
Indiana,Nov  3 2021,16838
Indiana,Oct 27 2021,16638
Indiana,Oct 20 2021,16422
Indiana,Oct 13 2021,16140
Indiana,Oct  6 2021,15918
Indiana,Sep 29 2021,15624
Indiana,Sep 22 2021,15316
Indiana,Sep 15 2021,15011
Indiana,Sep  8 2021,14709
Indiana,Sep  1 2021,14520
Indiana,Aug 25 2021,14340
Indiana,Aug 18 2021,14198
Indiana,Aug 11 2021,14110
Indiana,Aug  4 2021,14039
Indiana,Jul 28 2021,13993
Indiana,Jul 21 2021,13961
Indiana,Jul 14 2021,13937
Indiana,Jul  7 2021,13892
Indiana,Jun 30 2021,13848
Indiana,Jun 23 2021,13811
Indiana,Jun 16 2021,13761
Indiana,Jun  9 2021,13705
Indiana,Jun  2 2021,13636
Indiana,May 26 2021,13571
Indiana,May 19 2021,13518
Indiana,May 12 2021,13444
Indiana,May  5 2021,13373
Indiana,Apr 28 2021,13311
Indiana,Apr 21 2021,13246
Indiana,Apr 14 2021,13186
Indiana,Apr  7 2021,13098
Indiana,Mar 31 2021,13038
Indiana,Mar 24 2021,12973
Indiana,Mar 17 2021,12890
Indiana,Mar 10 2021,12777
Indiana,Mar  3 2021,12633
Indiana,Feb 24 2021,12467
Indiana,Feb 17 2021,12248
Indiana,Feb 10 2021,12000
Indiana,Feb  3 2021,11403
Indiana,Jan 27 2021,11137
Indiana,Jan 20 2021,10785
Indiana,Jan 13 2021,10334
Indiana,Jan  6 2021,9883
Indiana,Dec 30 2020,9314
Indiana,Dec 23 2020,8658
Indiana,Dec 16 2020,7980
Indiana,Dec  9 2020,7289
Indiana,Dec  2 2020,6617
Indiana,Nov 25 2020,6021
Indiana,Nov 18 2020,5480
Indiana,Nov 11 2020,5051
Indiana,Nov  4 2020,4680
Indiana,Oct 28 2020,4382
Indiana,Oct 21 2020,4143
Indiana,Oct 14 2020,3923
Indiana,Oct  7 2020,3764
Indiana,Sep 30 2020,3643
Indiana,Sep 23 2020,3531
Indiana,Sep 16 2020,3441
Indiana,Sep  9 2020,3362
Indiana,Sep  2 2020,3278
Indiana,Aug 26 2020,3202
Indiana,Aug 19 2020,3124
Indiana,Aug 12 2020,3021
Indiana,Aug  5 2020,2929
Indiana,Jul 29 2020,2864
Indiana,Jul 22 2020,2793
Indiana,Jul 15 2020,2720
Indiana,Jul  8 2020,2652
Indiana,Jul  1 2020,2581
Indiana,Jun 24 2020,2504
Indiana,Jun 17 2020,2418
Indiana,Jun 10 2020,2307
Indiana,Jun  3 2020,2177
Indiana,May 27 2020,2033
Indiana,May 20 2020,1878
Indiana,May 13 2020,1637
Indiana,May  6 2020,1421
Indiana,Apr 29 2020,1115
Indiana,Apr 22 2020,837
Indiana,Apr 15 2020,567
Indiana,Apr  8 2020,338
Indiana,Apr  1 2020,134
Indiana,Mar 25 2020,34
Indiana,Mar 18 2020,4
Indiana,Mar 11 2020,0
Indiana,Mar  4 2020,0
Indiana,Feb 26 2020,0
Indiana,Feb 19 2020,0
Indiana,Feb 12 2020,0
Indiana,Feb  5 2020,0
Indiana,Jan 29 2020,0
