Data Table for Total Deaths - Kentucky
Date generated: Mon Dec 05 2022 12:41:19 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Kentucky,Nov 30 2022,17502
Kentucky,Nov 23 2022,17459
Kentucky,Nov 16 2022,17410
Kentucky,Nov  9 2022,17361
Kentucky,Nov  2 2022,17321
Kentucky,Oct 26 2022,17261
Kentucky,Oct 19 2022,17191
Kentucky,Oct 12 2022,17111
Kentucky,Oct  5 2022,17030
Kentucky,Sep 28 2022,16969
Kentucky,Sep 21 2022,16902
Kentucky,Sep 14 2022,16822
Kentucky,Sep  7 2022,16757
Kentucky,Aug 31 2022,16679
Kentucky,Aug 24 2022,16603
Kentucky,Aug 17 2022,16540
Kentucky,Aug 10 2022,16464
Kentucky,Aug  3 2022,16396
Kentucky,Jul 27 2022,16351
Kentucky,Jul 20 2022,16292
Kentucky,Jul 13 2022,16243
Kentucky,Jul  6 2022,16182
Kentucky,Jun 29 2022,16144
Kentucky,Jun 22 2022,16114
Kentucky,Jun 15 2022,16063
Kentucky,Jun  8 2022,16004
Kentucky,Jun  1 2022,15941
Kentucky,May 25 2022,15904
Kentucky,May 18 2022,15826
Kentucky,May 11 2022,15733
Kentucky,May  4 2022,15568
Kentucky,Apr 27 2022,15413
Kentucky,Apr 20 2022,15028
Kentucky,Apr 13 2022,15028
Kentucky,Apr  6 2022,15028
Kentucky,Mar 30 2022,14895
Kentucky,Mar 23 2022,14659
Kentucky,Mar 16 2022,14380
Kentucky,Mar  9 2022,14097
Kentucky,Mar  2 2022,13900
Kentucky,Feb 23 2022,13664
Kentucky,Feb 16 2022,13449
Kentucky,Feb  9 2022,13182
Kentucky,Feb  2 2022,12974
Kentucky,Jan 26 2022,12786
Kentucky,Jan 19 2022,12614
Kentucky,Jan 12 2022,12434
Kentucky,Jan  5 2022,12255
Kentucky,Dec 29 2021,12097
Kentucky,Dec 22 2021,11883
Kentucky,Dec 15 2021,11676
Kentucky,Dec  8 2021,11347
Kentucky,Dec  1 2021,10943
Kentucky,Nov 24 2021,10760
Kentucky,Nov 17 2021,10318
Kentucky,Nov 10 2021,10062
Kentucky,Nov  3 2021,9833
Kentucky,Oct 27 2021,9665
Kentucky,Oct 20 2021,9425
Kentucky,Oct 13 2021,9182
Kentucky,Oct  6 2021,8919
Kentucky,Sep 29 2021,8633
Kentucky,Sep 22 2021,8368
Kentucky,Sep 15 2021,8092
Kentucky,Sep  8 2021,7900
Kentucky,Sep  1 2021,7761
Kentucky,Aug 25 2021,7573
Kentucky,Aug 18 2021,7457
Kentucky,Aug 11 2021,7391
Kentucky,Aug  4 2021,7348
Kentucky,Jul 28 2021,7320
Kentucky,Jul 21 2021,7301
Kentucky,Jul 14 2021,7267
Kentucky,Jul  7 2021,7242
Kentucky,Jun 30 2021,7213
Kentucky,Jun 23 2021,7189
Kentucky,Jun 16 2021,7166
Kentucky,Jun  9 2021,7104
Kentucky,Jun  2 2021,7059
Kentucky,May 26 2021,6721
Kentucky,May 19 2021,6668
Kentucky,May 12 2021,6615
Kentucky,May  5 2021,6528
Kentucky,Apr 28 2021,6473
Kentucky,Apr 21 2021,6360
Kentucky,Apr 14 2021,6259
Kentucky,Apr  7 2021,6181
Kentucky,Mar 31 2021,6064
Kentucky,Mar 24 2021,5814
Kentucky,Mar 17 2021,5029
Kentucky,Mar 10 2021,4850
Kentucky,Mar  3 2021,4671
Kentucky,Feb 24 2021,4476
Kentucky,Feb 17 2021,4318
Kentucky,Feb 10 2021,4126
Kentucky,Feb  3 2021,3812
Kentucky,Jan 27 2021,3495
Kentucky,Jan 20 2021,3194
Kentucky,Jan 13 2021,2945
Kentucky,Jan  6 2021,2771
Kentucky,Dec 30 2020,2621
Kentucky,Dec 23 2020,2464
Kentucky,Dec 16 2020,2262
Kentucky,Dec  9 2020,2118
Kentucky,Dec  2 2020,1944
Kentucky,Nov 25 2020,1835
Kentucky,Nov 18 2020,1712
Kentucky,Nov 11 2020,1604
Kentucky,Nov  4 2020,1513
Kentucky,Oct 28 2020,1441
Kentucky,Oct 21 2020,1362
Kentucky,Oct 14 2020,1275
Kentucky,Oct  7 2020,1222
Kentucky,Sep 30 2020,1173
Kentucky,Sep 23 2020,1123
Kentucky,Sep 16 2020,1081
Kentucky,Sep  9 2020,1013
Kentucky,Sep  2 2020,966
Kentucky,Aug 26 2020,901
Kentucky,Aug 19 2020,841
Kentucky,Aug 12 2020,789
Kentucky,Aug  5 2020,748
Kentucky,Jul 29 2020,720
Kentucky,Jul 22 2020,673
Kentucky,Jul 15 2020,642
Kentucky,Jul  8 2020,605
Kentucky,Jul  1 2020,570
Kentucky,Jun 24 2020,536
Kentucky,Jun 17 2020,515
Kentucky,Jun 10 2020,483
Kentucky,Jun  3 2020,450
Kentucky,May 27 2020,400
Kentucky,May 20 2020,376
Kentucky,May 13 2020,321
Kentucky,May  6 2020,283
Kentucky,Apr 29 2020,234
Kentucky,Apr 22 2020,185
Kentucky,Apr 15 2020,115
Kentucky,Apr  8 2020,63
Kentucky,Apr  1 2020,18
Kentucky,Mar 25 2020,5
Kentucky,Mar 18 2020,1
Kentucky,Mar 11 2020,0
Kentucky,Mar  4 2020,0
Kentucky,Feb 26 2020,0
Kentucky,Feb 19 2020,0
Kentucky,Feb 12 2020,0
Kentucky,Feb  5 2020,0
Kentucky,Jan 29 2020,0
