Data Table for Total Deaths - Michigan
Date generated: Mon Dec 05 2022 12:42:29 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Michigan,Nov 30 2022,40085
Michigan,Nov 23 2022,39972
Michigan,Nov 16 2022,39697
Michigan,Nov  9 2022,39574
Michigan,Nov  2 2022,39406
Michigan,Oct 26 2022,39249
Michigan,Oct 19 2022,39092
Michigan,Oct 12 2022,38919
Michigan,Oct  5 2022,38767
Michigan,Sep 28 2022,38623
Michigan,Sep 21 2022,38464
Michigan,Sep 14 2022,38317
Michigan,Sep  7 2022,38121
Michigan,Aug 31 2022,38038
Michigan,Aug 24 2022,37907
Michigan,Aug 17 2022,37774
Michigan,Aug 10 2022,37670
Michigan,Aug  3 2022,37533
Michigan,Jul 27 2022,37426
Michigan,Jul 20 2022,37290
Michigan,Jul 13 2022,37137
Michigan,Jul  6 2022,36980
Michigan,Jun 29 2022,36913
Michigan,Jun 22 2022,36744
Michigan,Jun 15 2022,36670
Michigan,Jun  8 2022,36536
Michigan,Jun  1 2022,36404
Michigan,May 25 2022,36351
Michigan,May 18 2022,36215
Michigan,May 11 2022,36137
Michigan,May  4 2022,36056
Michigan,Apr 27 2022,35996
Michigan,Apr 20 2022,35920
Michigan,Apr 13 2022,35842
Michigan,Apr  6 2022,35761
Michigan,Mar 30 2022,35652
Michigan,Mar 23 2022,35525
Michigan,Mar 16 2022,35347
Michigan,Mar  9 2022,35129
Michigan,Mar  2 2022,34765
Michigan,Feb 23 2022,34369
Michigan,Feb 16 2022,33870
Michigan,Feb  9 2022,33286
Michigan,Feb  2 2022,32636
Michigan,Jan 26 2022,31985
Michigan,Jan 19 2022,31274
Michigan,Jan 12 2022,30411
Michigan,Jan  5 2022,29659
Michigan,Dec 29 2021,29020
Michigan,Dec 22 2021,28345
Michigan,Dec 15 2021,27459
Michigan,Dec  8 2021,26648
Michigan,Dec  1 2021,25795
Michigan,Nov 24 2021,25243
Michigan,Nov 17 2021,24684
Michigan,Nov 10 2021,24218
Michigan,Nov  3 2021,23878
Michigan,Oct 27 2021,23527
Michigan,Oct 20 2021,23168
Michigan,Oct 13 2021,22863
Michigan,Oct  6 2021,22610
Michigan,Sep 29 2021,22356
Michigan,Sep 22 2021,22129
Michigan,Sep 15 2021,21918
Michigan,Sep  8 2021,21747
Michigan,Sep  1 2021,21613
Michigan,Aug 25 2021,21445
Michigan,Aug 18 2021,21350
Michigan,Aug 11 2021,21251
Michigan,Aug  4 2021,21206
Michigan,Jul 28 2021,21157
Michigan,Jul 21 2021,21115
Michigan,Jul 14 2021,21085
Michigan,Jul  7 2021,21023
Michigan,Jun 30 2021,20989
Michigan,Jun 23 2021,20911
Michigan,Jun 16 2021,20820
Michigan,Jun  9 2021,20668
Michigan,Jun  2 2021,20416
Michigan,May 26 2021,20241
Michigan,May 19 2021,19930
Michigan,May 12 2021,19535
Michigan,May  5 2021,19099
Michigan,Apr 28 2021,18601
Michigan,Apr 21 2021,18130
Michigan,Apr 14 2021,17694
Michigan,Apr  7 2021,17372
Michigan,Mar 31 2021,17120
Michigan,Mar 24 2021,16947
Michigan,Mar 17 2021,16810
Michigan,Mar 10 2021,16698
Michigan,Mar  3 2021,16552
Michigan,Feb 24 2021,16389
Michigan,Feb 17 2021,16160
Michigan,Feb 10 2021,15939
Michigan,Feb  3 2021,15645
Michigan,Jan 27 2021,15317
Michigan,Jan 20 2021,14765
Michigan,Jan 13 2021,14332
Michigan,Jan  6 2021,13664
Michigan,Dec 30 2020,13014
Michigan,Dec 23 2020,12413
Michigan,Dec 16 2020,11588
Michigan,Dec  9 2020,10706
Michigan,Dec  2 2020,9849
Michigan,Nov 25 2020,9170
Michigan,Nov 18 2020,8572
Michigan,Nov 11 2020,8137
Michigan,Nov  4 2020,7783
Michigan,Oct 28 2020,7602
Michigan,Oct 21 2020,7416
Michigan,Oct 14 2020,7269
Michigan,Oct  7 2020,7167
Michigan,Sep 30 2020,7078
Michigan,Sep 23 2020,7009
Michigan,Sep 16 2020,6938
Michigan,Sep  9 2020,6868
Michigan,Sep  2 2020,6780
Michigan,Aug 26 2020,6688
Michigan,Aug 19 2020,6616
Michigan,Aug 12 2020,6538
Michigan,Aug  5 2020,6473
Michigan,Jul 29 2020,6419
Michigan,Jul 22 2020,6380
Michigan,Jul 15 2020,6326
Michigan,Jul  8 2020,6261
Michigan,Jul  1 2020,6197
Michigan,Jun 24 2020,6114
Michigan,Jun 17 2020,6035
Michigan,Jun 10 2020,5950
Michigan,Jun  3 2020,5812
Michigan,May 27 2020,5573
Michigan,May 20 2020,5295
Michigan,May 13 2020,4944
Michigan,May  6 2020,4464
Michigan,Apr 29 2020,3869
Michigan,Apr 22 2020,2987
Michigan,Apr 15 2020,2055
Michigan,Apr  8 2020,1037
Michigan,Apr  1 2020,370
Michigan,Mar 25 2020,51
Michigan,Mar 18 2020,2
Michigan,Mar 11 2020,0
Michigan,Mar  4 2020,0
Michigan,Feb 26 2020,0
Michigan,Feb 19 2020,0
Michigan,Feb 12 2020,0
Michigan,Feb  5 2020,0
Michigan,Jan 29 2020,0
