Data Table for Total Deaths - Mississippi
Date generated: Mon Dec 05 2022 13:35:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Mississippi,Nov 30 2022,13036
Mississippi,Nov 23 2022,13034
Mississippi,Nov 16 2022,13017
Mississippi,Nov  9 2022,13005
Mississippi,Nov  2 2022,12992
Mississippi,Oct 26 2022,12968
Mississippi,Oct 19 2022,12965
Mississippi,Oct 12 2022,12945
Mississippi,Oct  5 2022,12928
Mississippi,Sep 28 2022,12912
Mississippi,Sep 21 2022,12879
Mississippi,Sep 14 2022,12853
Mississippi,Sep  7 2022,12821
Mississippi,Aug 31 2022,12794
Mississippi,Aug 24 2022,12766
Mississippi,Aug 17 2022,12750
Mississippi,Aug 10 2022,12714
Mississippi,Aug  3 2022,12675
Mississippi,Jul 27 2022,12629
Mississippi,Jul 20 2022,12589
Mississippi,Jul 13 2022,12560
Mississippi,Jul  6 2022,12527
Mississippi,Jun 29 2022,12516
Mississippi,Jun 22 2022,12502
Mississippi,Jun 15 2022,12489
Mississippi,Jun  8 2022,12479
Mississippi,Jun  1 2022,12467
Mississippi,May 25 2022,12466
Mississippi,May 18 2022,12461
Mississippi,May 11 2022,12456
Mississippi,May  4 2022,12450
Mississippi,Apr 27 2022,12439
Mississippi,Apr 20 2022,12432
Mississippi,Apr 13 2022,12420
Mississippi,Apr  6 2022,12410
Mississippi,Mar 30 2022,12396
Mississippi,Mar 23 2022,12369
Mississippi,Mar 16 2022,12308
Mississippi,Mar  9 2022,12228
Mississippi,Mar  2 2022,12115
Mississippi,Feb 23 2022,11953
Mississippi,Feb 16 2022,11772
Mississippi,Feb  9 2022,11455
Mississippi,Feb  2 2022,11169
Mississippi,Jan 26 2022,10774
Mississippi,Jan 19 2022,10690
Mississippi,Jan 12 2022,10562
Mississippi,Jan  5 2022,10503
Mississippi,Dec 29 2021,10439
Mississippi,Dec 22 2021,10393
Mississippi,Dec 15 2021,10347
Mississippi,Dec  8 2021,10311
Mississippi,Dec  1 2021,10286
Mississippi,Nov 24 2021,10261
Mississippi,Nov 17 2021,10216
Mississippi,Nov 10 2021,10182
Mississippi,Nov  3 2021,10134
Mississippi,Oct 27 2021,10059
Mississippi,Oct 20 2021,9968
Mississippi,Oct 13 2021,9899
Mississippi,Oct  6 2021,9768
Mississippi,Sep 29 2021,9588
Mississippi,Sep 22 2021,9353
Mississippi,Sep 15 2021,9100
Mississippi,Sep  8 2021,8787
Mississippi,Sep  1 2021,8489
Mississippi,Aug 25 2021,8180
Mississippi,Aug 18 2021,7916
Mississippi,Aug 11 2021,7710
Mississippi,Aug  4 2021,7597
Mississippi,Jul 28 2021,7529
Mississippi,Jul 21 2021,7485
Mississippi,Jul 14 2021,7456
Mississippi,Jul  7 2021,7436
Mississippi,Jun 30 2021,7412
Mississippi,Jun 23 2021,7390
Mississippi,Jun 16 2021,7368
Mississippi,Jun  9 2021,7347
Mississippi,Jun  2 2021,7322
Mississippi,May 26 2021,7301
Mississippi,May 19 2021,7267
Mississippi,May 12 2021,7243
Mississippi,May  5 2021,7223
Mississippi,Apr 28 2021,7193
Mississippi,Apr 21 2021,7163
Mississippi,Apr 14 2021,7122
Mississippi,Apr  7 2021,7077
Mississippi,Mar 31 2021,7032
Mississippi,Mar 24 2021,6981
Mississippi,Mar 17 2021,6936
Mississippi,Mar 10 2021,6844
Mississippi,Mar  3 2021,6742
Mississippi,Feb 24 2021,6605
Mississippi,Feb 17 2021,6524
Mississippi,Feb 10 2021,6367
Mississippi,Feb  3 2021,6158
Mississippi,Jan 27 2021,5917
Mississippi,Jan 20 2021,5638
Mississippi,Jan 13 2021,5315
Mississippi,Jan  6 2021,5013
Mississippi,Dec 30 2020,4747
Mississippi,Dec 23 2020,4532
Mississippi,Dec 16 2020,4294
Mississippi,Dec  9 2020,4041
Mississippi,Dec  2 2020,3851
Mississippi,Nov 25 2020,3745
Mississippi,Nov 18 2020,3600
Mississippi,Nov 11 2020,3496
Mississippi,Nov  4 2020,3396
Mississippi,Oct 28 2020,3302
Mississippi,Oct 21 2020,3223
Mississippi,Oct 14 2020,3140
Mississippi,Oct  7 2020,3050
Mississippi,Sep 30 2020,2968
Mississippi,Sep 23 2020,2870
Mississippi,Sep 16 2020,2756
Mississippi,Sep  9 2020,2623
Mississippi,Sep  2 2020,2525
Mississippi,Aug 26 2020,2371
Mississippi,Aug 19 2020,2164
Mississippi,Aug 12 2020,1989
Mississippi,Aug  5 2020,1803
Mississippi,Jul 29 2020,1561
Mississippi,Jul 22 2020,1422
Mississippi,Jul 15 2020,1287
Mississippi,Jul  8 2020,1187
Mississippi,Jul  1 2020,1082
Mississippi,Jun 24 2020,1011
Mississippi,Jun 17 2020,938
Mississippi,Jun 10 2020,868
Mississippi,Jun  3 2020,782
Mississippi,May 27 2020,670
Mississippi,May 20 2020,570
Mississippi,May 13 2020,464
Mississippi,May  6 2020,374
Mississippi,Apr 29 2020,250
Mississippi,Apr 22 2020,192
Mississippi,Apr 15 2020,121
Mississippi,Apr  8 2020,66
Mississippi,Apr  1 2020,20
Mississippi,Mar 25 2020,3
Mississippi,Mar 18 2020,0
Mississippi,Mar 11 2020,0
Mississippi,Mar  4 2020,0
Mississippi,Feb 26 2020,0
Mississippi,Feb 19 2020,0
Mississippi,Feb 12 2020,0
Mississippi,Feb  5 2020,0
Mississippi,Jan 29 2020,0
