Data Table for Total Deaths - Montana
Date generated: Mon Dec 05 2022 12:46:35 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Montana,Nov 30 2022,3600
Montana,Nov 23 2022,3597
Montana,Nov 16 2022,3587
Montana,Nov  9 2022,3581
Montana,Nov  2 2022,3577
Montana,Oct 26 2022,3574
Montana,Oct 19 2022,3569
Montana,Oct 12 2022,3566
Montana,Oct  5 2022,3555
Montana,Sep 28 2022,3520
Montana,Sep 21 2022,3518
Montana,Sep 14 2022,3512
Montana,Sep  7 2022,3509
Montana,Aug 31 2022,3502
Montana,Aug 24 2022,3501
Montana,Aug 17 2022,3489
Montana,Aug 10 2022,3480
Montana,Aug  3 2022,3478
Montana,Jul 27 2022,3469
Montana,Jul 20 2022,3465
Montana,Jul 13 2022,3454
Montana,Jul  6 2022,3448
Montana,Jun 29 2022,3445
Montana,Jun 22 2022,3444
Montana,Jun 15 2022,3439
Montana,Jun  8 2022,3432
Montana,Jun  1 2022,3421
Montana,May 25 2022,3400
Montana,May 18 2022,3385
Montana,May 11 2022,3381
Montana,May  4 2022,3374
Montana,Apr 27 2022,3353
Montana,Apr 20 2022,3262
Montana,Apr 13 2022,3259
Montana,Apr  6 2022,3248
Montana,Mar 30 2022,3246
Montana,Mar 23 2022,3238
Montana,Mar 16 2022,3229
Montana,Mar  9 2022,3212
Montana,Mar  2 2022,3189
Montana,Feb 23 2022,3153
Montana,Feb 16 2022,3090
Montana,Feb  9 2022,3048
Montana,Feb  2 2022,3024
Montana,Jan 26 2022,2988
Montana,Jan 19 2022,2964
Montana,Jan 12 2022,2932
Montana,Jan  5 2022,2911
Montana,Dec 29 2021,2904
Montana,Dec 22 2021,2888
Montana,Dec 15 2021,2866
Montana,Dec  8 2021,2780
Montana,Dec  1 2021,2721
Montana,Nov 24 2021,2611
Montana,Nov 17 2021,2522
Montana,Nov 10 2021,2451
Montana,Nov  3 2021,2396
Montana,Oct 27 2021,2321
Montana,Oct 20 2021,2224
Montana,Oct 13 2021,2109
Montana,Oct  6 2021,2061
Montana,Sep 29 2021,2001
Montana,Sep 22 2021,1914
Montana,Sep 15 2021,1858
Montana,Sep  8 2021,1828
Montana,Sep  1 2021,1803
Montana,Aug 25 2021,1773
Montana,Aug 18 2021,1749
Montana,Aug 11 2021,1725
Montana,Aug  4 2021,1717
Montana,Jul 28 2021,1704
Montana,Jul 21 2021,1694
Montana,Jul 14 2021,1683
Montana,Jul  7 2021,1671
Montana,Jun 30 2021,1664
Montana,Jun 23 2021,1656
Montana,Jun 16 2021,1648
Montana,Jun  9 2021,1635
Montana,Jun  2 2021,1619
Montana,May 26 2021,1605
Montana,May 19 2021,1600
Montana,May 12 2021,1593
Montana,May  5 2021,1576
Montana,Apr 28 2021,1564
Montana,Apr 21 2021,1555
Montana,Apr 14 2021,1524
Montana,Apr  7 2021,1487
Montana,Mar 31 2021,1434
Montana,Mar 24 2021,1428
Montana,Mar 17 2021,1394
Montana,Mar 10 2021,1385
Montana,Mar  3 2021,1371
Montana,Feb 24 2021,1347
Montana,Feb 17 2021,1332
Montana,Feb 10 2021,1318
Montana,Feb  3 2021,1298
Montana,Jan 27 2021,1197
Montana,Jan 20 2021,1093
Montana,Jan 13 2021,1068
Montana,Jan  6 2021,1015
Montana,Dec 30 2020,947
Montana,Dec 23 2020,911
Montana,Dec 16 2020,834
Montana,Dec  9 2020,770
Montana,Dec  2 2020,712
Montana,Nov 25 2020,650
Montana,Nov 18 2020,559
Montana,Nov 11 2020,469
Montana,Nov  4 2020,404
Montana,Oct 28 2020,325
Montana,Oct 21 2020,275
Montana,Oct 14 2020,225
Montana,Oct  7 2020,193
Montana,Sep 30 2020,180
Montana,Sep 23 2020,165
Montana,Sep 16 2020,141
Montana,Sep  9 2020,122
Montana,Sep  2 2020,109
Montana,Aug 26 2020,98
Montana,Aug 19 2020,84
Montana,Aug 12 2020,80
Montana,Aug  5 2020,65
Montana,Jul 29 2020,54
Montana,Jul 22 2020,42
Montana,Jul 15 2020,34
Montana,Jul  8 2020,23
Montana,Jul  1 2020,22
Montana,Jun 24 2020,21
Montana,Jun 17 2020,20
Montana,Jun 10 2020,18
Montana,Jun  3 2020,17
Montana,May 27 2020,17
Montana,May 20 2020,16
Montana,May 13 2020,16
Montana,May  6 2020,16
Montana,Apr 29 2020,16
Montana,Apr 22 2020,14
Montana,Apr 15 2020,7
Montana,Apr  8 2020,6
Montana,Apr  1 2020,5
Montana,Mar 25 2020,0
Montana,Mar 18 2020,0
Montana,Mar 11 2020,0
Montana,Mar  4 2020,0
Montana,Feb 26 2020,0
Montana,Feb 19 2020,0
Montana,Feb 12 2020,0
Montana,Feb  5 2020,0
Montana,Jan 29 2020,0
