Data Table for Total Deaths - Nebraska
Date generated: Mon Dec 05 2022 12:47:02 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Nebraska,Nov 30 2022,4663
Nebraska,Nov 23 2022,4653
Nebraska,Nov 16 2022,4622
Nebraska,Nov  9 2022,4606
Nebraska,Nov  2 2022,4562
Nebraska,Oct 26 2022,4550
Nebraska,Oct 19 2022,4546
Nebraska,Oct 12 2022,4539
Nebraska,Oct  5 2022,4536
Nebraska,Sep 28 2022,4524
Nebraska,Sep 21 2022,4480
Nebraska,Sep 14 2022,4393
Nebraska,Sep  7 2022,4392
Nebraska,Aug 31 2022,4392
Nebraska,Aug 24 2022,4391
Nebraska,Aug 17 2022,4389
Nebraska,Aug 10 2022,4385
Nebraska,Aug  3 2022,4383
Nebraska,Jul 27 2022,4377
Nebraska,Jul 20 2022,4371
Nebraska,Jul 13 2022,4364
Nebraska,Jul  6 2022,4360
Nebraska,Jun 29 2022,4353
Nebraska,Jun 22 2022,4343
Nebraska,Jun 15 2022,4340
Nebraska,Jun  8 2022,4336
Nebraska,Jun  1 2022,4331
Nebraska,May 25 2022,4327
Nebraska,May 18 2022,4323
Nebraska,May 11 2022,4322
Nebraska,May  4 2022,4318
Nebraska,Apr 27 2022,4317
Nebraska,Apr 20 2022,4311
Nebraska,Apr 13 2022,4308
Nebraska,Apr  6 2022,4307
Nebraska,Mar 30 2022,4306
Nebraska,Mar 23 2022,4303
Nebraska,Mar 16 2022,4300
Nebraska,Mar  9 2022,4294
Nebraska,Mar  2 2022,4291
Nebraska,Feb 23 2022,4286
Nebraska,Feb 16 2022,4269
Nebraska,Feb  9 2022,4249
Nebraska,Feb  2 2022,4221
Nebraska,Jan 26 2022,4160
Nebraska,Jan 19 2022,4084
Nebraska,Jan 12 2022,3995
Nebraska,Jan  5 2022,3926
Nebraska,Dec 29 2021,3857
Nebraska,Dec 22 2021,3810
Nebraska,Dec 15 2021,3760
Nebraska,Dec  8 2021,3699
Nebraska,Dec  1 2021,3618
Nebraska,Nov 24 2021,3554
Nebraska,Nov 17 2021,3477
Nebraska,Nov 10 2021,3416
Nebraska,Nov  3 2021,3359
Nebraska,Oct 27 2021,3309
Nebraska,Oct 20 2021,3264
Nebraska,Oct 13 2021,3230
Nebraska,Oct  6 2021,3195
Nebraska,Sep 29 2021,3145
Nebraska,Sep 22 2021,3093
Nebraska,Sep 15 2021,3038
Nebraska,Sep  8 2021,2997
Nebraska,Sep  1 2021,2959
Nebraska,Aug 25 2021,2923
Nebraska,Aug 18 2021,2888
Nebraska,Aug 11 2021,2852
Nebraska,Aug  4 2021,2826
Nebraska,Jul 28 2021,2801
Nebraska,Jul 21 2021,2781
Nebraska,Jul 14 2021,2766
Nebraska,Jul  7 2021,2756
Nebraska,Jun 30 2021,2746
Nebraska,Jun 23 2021,2738
Nebraska,Jun 16 2021,2736
Nebraska,Jun  9 2021,2734
Nebraska,Jun  2 2021,2732
Nebraska,May 26 2021,2729
Nebraska,May 19 2021,2710
Nebraska,May 12 2021,2706
Nebraska,May  5 2021,2692
Nebraska,Apr 28 2021,2683
Nebraska,Apr 21 2021,2673
Nebraska,Apr 14 2021,2655
Nebraska,Apr  7 2021,2642
Nebraska,Mar 31 2021,2626
Nebraska,Mar 24 2021,2617
Nebraska,Mar 17 2021,2599
Nebraska,Mar 10 2021,2590
Nebraska,Mar  3 2021,2579
Nebraska,Feb 24 2021,2562
Nebraska,Feb 17 2021,2543
Nebraska,Feb 10 2021,2526
Nebraska,Feb  3 2021,2519
Nebraska,Jan 27 2021,2489
Nebraska,Jan 20 2021,2444
Nebraska,Jan 13 2021,2389
Nebraska,Jan  6 2021,2320
Nebraska,Dec 30 2020,2247
Nebraska,Dec 23 2020,2172
Nebraska,Dec 16 2020,2102
Nebraska,Dec  9 2020,2014
Nebraska,Dec  2 2020,1875
Nebraska,Nov 25 2020,1741
Nebraska,Nov 18 2020,1556
Nebraska,Nov 11 2020,1348
Nebraska,Nov  4 2020,1161
Nebraska,Oct 28 2020,1021
Nebraska,Oct 21 2020,900
Nebraska,Oct 14 2020,803
Nebraska,Oct  7 2020,739
Nebraska,Sep 30 2020,684
Nebraska,Sep 23 2020,650
Nebraska,Sep 16 2020,610
Nebraska,Sep  9 2020,572
Nebraska,Sep  2 2020,556
Nebraska,Aug 26 2020,532
Nebraska,Aug 19 2020,509
Nebraska,Aug 12 2020,487
Nebraska,Aug  5 2020,464
Nebraska,Jul 29 2020,427
Nebraska,Jul 22 2020,413
Nebraska,Jul 15 2020,387
Nebraska,Jul  8 2020,376
Nebraska,Jul  1 2020,360
Nebraska,Jun 24 2020,348
Nebraska,Jun 17 2020,331
Nebraska,Jun 10 2020,302
Nebraska,Jun  3 2020,293
Nebraska,May 27 2020,274
Nebraska,May 20 2020,240
Nebraska,May 13 2020,196
Nebraska,May  6 2020,149
Nebraska,Apr 29 2020,118
Nebraska,Apr 22 2020,73
Nebraska,Apr 15 2020,53
Nebraska,Apr  8 2020,28
Nebraska,Apr  1 2020,12
Nebraska,Mar 25 2020,0
Nebraska,Mar 18 2020,0
Nebraska,Mar 11 2020,0
Nebraska,Mar  4 2020,0
Nebraska,Feb 26 2020,0
Nebraska,Feb 19 2020,0
Nebraska,Feb 12 2020,0
Nebraska,Feb  5 2020,0
Nebraska,Jan 29 2020,0
