Data Table for Total Deaths - New Hampshire
Date generated: Mon Dec 05 2022 12:47:30 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
New Hampshire,Nov 30 2022,2816
New Hampshire,Nov 23 2022,2806
New Hampshire,Nov 16 2022,2794
New Hampshire,Nov  9 2022,2782
New Hampshire,Nov  2 2022,2761
New Hampshire,Oct 26 2022,2737
New Hampshire,Oct 19 2022,2725
New Hampshire,Oct 12 2022,2713
New Hampshire,Oct  5 2022,2708
New Hampshire,Sep 28 2022,2703
New Hampshire,Sep 21 2022,2688
New Hampshire,Sep 14 2022,2676
New Hampshire,Sep  7 2022,2666
New Hampshire,Aug 31 2022,2662
New Hampshire,Aug 24 2022,2652
New Hampshire,Aug 17 2022,2646
New Hampshire,Aug 10 2022,2637
New Hampshire,Aug  3 2022,2631
New Hampshire,Jul 27 2022,2623
New Hampshire,Jul 20 2022,2615
New Hampshire,Jul 13 2022,2604
New Hampshire,Jul  6 2022,2594
New Hampshire,Jun 29 2022,2582
New Hampshire,Jun 22 2022,2572
New Hampshire,Jun 15 2022,2565
New Hampshire,Jun  8 2022,2555
New Hampshire,Jun  1 2022,2539
New Hampshire,May 25 2022,2528
New Hampshire,May 18 2022,2515
New Hampshire,May 11 2022,2493
New Hampshire,May  4 2022,2486
New Hampshire,Apr 27 2022,2477
New Hampshire,Apr 20 2022,2471
New Hampshire,Apr 13 2022,2461
New Hampshire,Apr  6 2022,2452
New Hampshire,Mar 30 2022,2452
New Hampshire,Mar 23 2022,2443
New Hampshire,Mar 16 2022,2428
New Hampshire,Mar  9 2022,2408
New Hampshire,Mar  2 2022,2394
New Hampshire,Feb 23 2022,2368
New Hampshire,Feb 16 2022,2326
New Hampshire,Feb  9 2022,2284
New Hampshire,Feb  2 2022,2232
New Hampshire,Jan 26 2022,2173
New Hampshire,Jan 19 2022,2109
New Hampshire,Jan 12 2022,2032
New Hampshire,Jan  5 2022,2013
New Hampshire,Dec 29 2021,1950
New Hampshire,Dec 22 2021,1875
New Hampshire,Dec 15 2021,1817
New Hampshire,Dec  8 2021,1768
New Hampshire,Dec  1 2021,1725
New Hampshire,Nov 24 2021,1683
New Hampshire,Nov 17 2021,1648
New Hampshire,Nov 10 2021,1617
New Hampshire,Nov  3 2021,1581
New Hampshire,Oct 27 2021,1544
New Hampshire,Oct 20 2021,1537
New Hampshire,Oct 13 2021,1511
New Hampshire,Oct  6 2021,1493
New Hampshire,Sep 29 2021,1479
New Hampshire,Sep 22 2021,1466
New Hampshire,Sep 15 2021,1453
New Hampshire,Sep  8 2021,1431
New Hampshire,Sep  1 2021,1420
New Hampshire,Aug 25 2021,1408
New Hampshire,Aug 18 2021,1396
New Hampshire,Aug 11 2021,1393
New Hampshire,Aug  4 2021,1389
New Hampshire,Jul 28 2021,1386
New Hampshire,Jul 21 2021,1384
New Hampshire,Jul 14 2021,1381
New Hampshire,Jul  7 2021,1374
New Hampshire,Jun 30 2021,1372
New Hampshire,Jun 23 2021,1369
New Hampshire,Jun 16 2021,1364
New Hampshire,Jun  9 2021,1357
New Hampshire,Jun  2 2021,1353
New Hampshire,May 26 2021,1346
New Hampshire,May 19 2021,1340
New Hampshire,May 12 2021,1322
New Hampshire,May  5 2021,1308
