Data Table for Total Deaths - New Jersey
Date generated: Mon Dec 05 2022 12:47:37 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
New Jersey,Nov 30 2022,35130
New Jersey,Nov 23 2022,35078
New Jersey,Nov 16 2022,35017
New Jersey,Nov  9 2022,34958
New Jersey,Nov  2 2022,34919
New Jersey,Oct 26 2022,34867
New Jersey,Oct 19 2022,34842
New Jersey,Oct 12 2022,34802
New Jersey,Oct  5 2022,34766
New Jersey,Sep 28 2022,34732
New Jersey,Sep 21 2022,34690
New Jersey,Sep 14 2022,34640
New Jersey,Sep  7 2022,34592
New Jersey,Aug 31 2022,34551
New Jersey,Aug 24 2022,34487
New Jersey,Aug 17 2022,34420
New Jersey,Aug 10 2022,34370
New Jersey,Aug  3 2022,34303
New Jersey,Jul 27 2022,34250
New Jersey,Jul 20 2022,34189
New Jersey,Jul 13 2022,34133
New Jersey,Jul  6 2022,34083
New Jersey,Jun 29 2022,34036
New Jersey,Jun 22 2022,33966
New Jersey,Jun 15 2022,33896
New Jersey,Jun  8 2022,33810
New Jersey,Jun  1 2022,33727
New Jersey,May 25 2022,33651
New Jersey,May 18 2022,33585
New Jersey,May 11 2022,33517
New Jersey,May  4 2022,33467
New Jersey,Apr 27 2022,33411
New Jersey,Apr 20 2022,33347
New Jersey,Apr 13 2022,33304
New Jersey,Apr  6 2022,33272
New Jersey,Mar 30 2022,33225
New Jersey,Mar 23 2022,33188
New Jersey,Mar 16 2022,33133
New Jersey,Mar  9 2022,33055
New Jersey,Mar  2 2022,32966
New Jersey,Feb 23 2022,32800
New Jersey,Feb 16 2022,32108
New Jersey,Feb  9 2022,31847
New Jersey,Feb  2 2022,31467
New Jersey,Jan 26 2022,31029
New Jersey,Jan 19 2022,30310
New Jersey,Jan 12 2022,29737
New Jersey,Jan  5 2022,29209
New Jersey,Dec 29 2021,28967
New Jersey,Dec 22 2021,28790
New Jersey,Dec 15 2021,28643
New Jersey,Dec  8 2021,28518
New Jersey,Dec  1 2021,28408
New Jersey,Nov 24 2021,28308
New Jersey,Nov 17 2021,28220
New Jersey,Nov 10 2021,28133
New Jersey,Nov  3 2021,28010
New Jersey,Oct 27 2021,27929
New Jersey,Oct 20 2021,27783
New Jersey,Oct 13 2021,27653
New Jersey,Oct  6 2021,27542
New Jersey,Sep 29 2021,27400
New Jersey,Sep 22 2021,27264
New Jersey,Sep 15 2021,27121
New Jersey,Sep  8 2021,27007
New Jersey,Sep  1 2021,26901
New Jersey,Aug 25 2021,26795
New Jersey,Aug 18 2021,26721
New Jersey,Aug 11 2021,26663
New Jersey,Aug  4 2021,26624
New Jersey,Jul 28 2021,26587
New Jersey,Jul 21 2021,26559
New Jersey,Jul 14 2021,26525
New Jersey,Jul  7 2021,26488
New Jersey,Jun 30 2021,26456
New Jersey,Jun 23 2021,26409
New Jersey,Jun 16 2021,26356
New Jersey,Jun  9 2021,26314
New Jersey,Jun  2 2021,26246
New Jersey,May 26 2021,26159
New Jersey,May 19 2021,26030
New Jersey,May 12 2021,25882
New Jersey,May  5 2021,25707
New Jersey,Apr 28 2021,25508
New Jersey,Apr 21 2021,25271
New Jersey,Apr 14 2021,25005
New Jersey,Apr  7 2021,24748
New Jersey,Mar 31 2021,24561
New Jersey,Mar 24 2021,24292
New Jersey,Mar 17 2021,24045
New Jersey,Mar 10 2021,23768
New Jersey,Mar  3 2021,23449
New Jersey,Feb 24 2021,23077
New Jersey,Feb 17 2021,22632
New Jersey,Feb 10 2021,22250
New Jersey,Feb  3 2021,21693
New Jersey,Jan 27 2021,21220
New Jersey,Jan 20 2021,20664
New Jersey,Jan 13 2021,20162
New Jersey,Jan  6 2021,19523
New Jersey,Dec 30 2020,18952
New Jersey,Dec 23 2020,18466
New Jersey,Dec 16 2020,18003
New Jersey,Dec  9 2020,17542
New Jersey,Dec  2 2020,17145
New Jersey,Nov 25 2020,16886
New Jersey,Nov 18 2020,16655
New Jersey,Nov 11 2020,16476
New Jersey,Nov  4 2020,16391
New Jersey,Oct 28 2020,16324
New Jersey,Oct 21 2020,16246
New Jersey,Oct 14 2020,16194
New Jersey,Oct  7 2020,16146
New Jersey,Sep 30 2020,16122
New Jersey,Sep 23 2020,16078
New Jersey,Sep 16 2020,16050
New Jersey,Sep  9 2020,16005
New Jersey,Sep  2 2020,15963
New Jersey,Aug 26 2020,15914
New Jersey,Aug 19 2020,15905
New Jersey,Aug 12 2020,15875
New Jersey,Aug  5 2020,15830
New Jersey,Jul 29 2020,15778
New Jersey,Jul 22 2020,15716
New Jersey,Jul 15 2020,15627
New Jersey,Jul  8 2020,15333
New Jersey,Jul  1 2020,15071
New Jersey,Jun 24 2020,14872
New Jersey,Jun 17 2020,14690
New Jersey,Jun 10 2020,14224
New Jersey,Jun  3 2020,13710
New Jersey,May 27 2020,13143
New Jersey,May 20 2020,12520
New Jersey,May 13 2020,11448
New Jersey,May  6 2020,10187
New Jersey,Apr 29 2020,8254
New Jersey,Apr 22 2020,6407
New Jersey,Apr 15 2020,4088
New Jersey,Apr  8 2020,1974
New Jersey,Apr  1 2020,476
New Jersey,Mar 25 2020,81
New Jersey,Mar 18 2020,7
New Jersey,Mar 11 2020,1
New Jersey,Mar  4 2020,0
New Jersey,Feb 26 2020,0
New Jersey,Feb 19 2020,0
New Jersey,Feb 12 2020,0
New Jersey,Feb  5 2020,0
New Jersey,Jan 29 2020,0
