Data Table for Total Deaths - New York (excludes NYC)*
Date generated: Mon Dec 05 2022 12:48:13 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
New York,Nov 30 2022,30482
New York,Nov 23 2022,30399
New York,Nov 16 2022,30317
New York,Nov  9 2022,30228
New York,Nov  2 2022,30113
New York,Oct 26 2022,29995
New York,Oct 19 2022,29890
New York,Oct 12 2022,29795
New York,Oct  5 2022,29696
New York,Sep 28 2022,29605
New York,Sep 21 2022,29542
New York,Sep 14 2022,29476
New York,Sep  7 2022,29400
New York,Aug 31 2022,29328
New York,Aug 24 2022,29268
New York,Aug 17 2022,29197
New York,Aug 10 2022,29127
New York,Aug  3 2022,29052
New York,Jul 27 2022,28971
New York,Jul 20 2022,28891
New York,Jul 13 2022,28816
New York,Jul  6 2022,28758
New York,Jun 29 2022,28708
New York,Jun 22 2022,28642
New York,Jun 15 2022,28583
New York,Jun  8 2022,28522
New York,Jun  1 2022,28424
New York,May 25 2022,28339
New York,May 18 2022,28224
New York,May 11 2022,28101
New York,May  4 2022,27987
New York,Apr 27 2022,27902
New York,Apr 20 2022,27827
New York,Apr 13 2022,27776
New York,Apr  6 2022,27732
New York,Mar 30 2022,27688
New York,Mar 23 2022,27651
New York,Mar 16 2022,27607
New York,Mar  9 2022,27537
New York,Mar  2 2022,27449
New York,Feb 23 2022,27315
New York,Feb 16 2022,27131
New York,Feb  9 2022,26876
New York,Feb  2 2022,26514
New York,Jan 26 2022,26014
New York,Jan 19 2022,25410
New York,Jan 12 2022,24818
New York,Jan  5 2022,24275
New York,Dec 29 2021,23892
New York,Dec 22 2021,23528
New York,Dec 15 2021,23205
New York,Dec  8 2021,22869
New York,Dec  1 2021,22601
New York,Nov 24 2021,22380
New York,Nov 17 2021,22202
New York,Nov 10 2021,22032
New York,Nov  3 2021,21858
New York,Oct 27 2021,21681
New York,Oct 20 2021,21486
New York,Oct 13 2021,21307
New York,Oct  6 2021,21126
New York,Sep 29 2021,20969
New York,Sep 22 2021,20812
New York,Sep 15 2021,20632
New York,Sep  8 2021,20480
New York,Sep  1 2021,20340
New York,Aug 25 2021,20231
New York,Aug 18 2021,20140
New York,Aug 11 2021,20059
New York,Aug  4 2021,20013
New York,Jul 28 2021,19995
New York,Jul 21 2021,19975
New York,Jul 14 2021,19965
New York,Jul  7 2021,19955
New York,Jun 30 2021,19947
New York,Jun 23 2021,19940
New York,Jun 16 2021,19901
New York,Jun  9 2021,19865
New York,Jun  2 2021,19822
New York,May 26 2021,19769
New York,May 19 2021,19712
New York,May 12 2021,19658
New York,May  5 2021,19577
New York,Apr 28 2021,19441
New York,Apr 21 2021,19311
New York,Apr 14 2021,19212
New York,Apr  7 2021,19058
New York,Mar 31 2021,18890
New York,Mar 24 2021,18729
New York,Mar 17 2021,18578
New York,Mar 10 2021,18416
New York,Mar  3 2021,18220
New York,Feb 24 2021,17986
New York,Feb 17 2021,17646
New York,Feb 10 2021,17241
New York,Feb  3 2021,16676
New York,Jan 27 2021,15972
New York,Jan 20 2021,15190
New York,Jan 13 2021,14271
New York,Jan  6 2021,13392
New York,Dec 30 2020,12568
New York,Dec 23 2020,11871
New York,Dec 16 2020,11139
New York,Dec  9 2020,10581
New York,Dec  2 2020,10195
New York,Nov 25 2020,9900
New York,Nov 18 2020,9778
New York,Nov 11 2020,9616
New York,Nov  4 2020,9511
New York,Oct 28 2020,9446
New York,Oct 21 2020,9396
New York,Oct 14 2020,9350
New York,Oct  7 2020,9305
New York,Sep 30 2020,9263
New York,Sep 23 2020,9237
New York,Sep 16 2020,9037
New York,Sep  9 2020,9038
New York,Sep  2 2020,9026
New York,Aug 26 2020,9012
New York,Aug 19 2020,8993
New York,Aug 12 2020,8971
New York,Aug  5 2020,8963
New York,Jul 29 2020,8923
New York,Jul 22 2020,8905
New York,Jul 15 2020,8857
New York,Jul  8 2020,8808
New York,Jul  1 2020,8740
New York,Jun 24 2020,8709
New York,Jun 17 2020,8599
New York,Jun 10 2020,8467
New York,Jun  3 2020,8325
New York,May 27 2020,8191
New York,May 20 2020,7902
New York,May 13 2020,11344
New York,May  6 2020,10516
New York,Apr 29 2020,9292
New York,Apr 22 2020,7942
New York,Apr 15 2020,6090
New York,Apr  8 2020,3342
New York,Apr  1 2020,733
New York,Mar 25 2020,116
New York,Mar 18 2020,14
New York,Mar 11 2020,0
New York,Mar  4 2020,0
New York,Feb 26 2020,0
New York,Feb 19 2020,0
New York,Feb 12 2020,0
New York,Feb  5 2020,0
New York,Jan 29 2020,0
