Data Table for Total Deaths - New York City*
Date generated: Mon Dec 05 2022 12:48:47 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
New York City,Nov 30 2022,43269
New York City,Nov 23 2022,43156
New York City,Nov 16 2022,43033
New York City,Nov  9 2022,42957
New York City,Nov  2 2022,42880
New York City,Oct 26 2022,42863
New York City,Oct 19 2022,42215
New York City,Oct 12 2022,42093
New York City,Oct  5 2022,42002
New York City,Sep 28 2022,41913
New York City,Sep 21 2022,41838
New York City,Sep 14 2022,41761
New York City,Sep  7 2022,41654
New York City,Aug 31 2022,41576
New York City,Aug 24 2022,41481
New York City,Aug 17 2022,41380
New York City,Aug 10 2022,41278
New York City,Aug  3 2022,41136
New York City,Jul 27 2022,41048
New York City,Jul 20 2022,40946
New York City,Jul 13 2022,40869
New York City,Jul  6 2022,40795
New York City,Jun 29 2022,40734
New York City,Jun 22 2022,40661
New York City,Jun 15 2022,40599
New York City,Jun  8 2022,40502
New York City,Jun  1 2022,40426
New York City,May 25 2022,40365
New York City,May 18 2022,40299
New York City,May 11 2022,40255
New York City,May  4 2022,40219
New York City,Apr 27 2022,40183
New York City,Apr 20 2022,40157
New York City,Apr 13 2022,40126
New York City,Apr  6 2022,40096
New York City,Mar 30 2022,40076
New York City,Mar 23 2022,40041
New York City,Mar 16 2022,39991
New York City,Mar  9 2022,39916
New York City,Mar  2 2022,39834
New York City,Feb 23 2022,39678
New York City,Feb 16 2022,39467
New York City,Feb  9 2022,39119
New York City,Feb  2 2022,38568
New York City,Jan 26 2022,37917
New York City,Jan 19 2022,37121
New York City,Jan 12 2022,36223
New York City,Jan  5 2022,35604
New York City,Dec 29 2021,35303
New York City,Dec 22 2021,35125
New York City,Dec 15 2021,35015
New York City,Dec  8 2021,34924
New York City,Dec  1 2021,34846
New York City,Nov 24 2021,34771
New York City,Nov 17 2021,34715
New York City,Nov 10 2021,34657
New York City,Nov  3 2021,34580
New York City,Oct 27 2021,34518
New York City,Oct 20 2021,34452
New York City,Oct 13 2021,34403
New York City,Oct  6 2021,34306
New York City,Sep 29 2021,34214
New York City,Sep 22 2021,34081
New York City,Sep 15 2021,33996
New York City,Sep  8 2021,33890
New York City,Sep  1 2021,33808
New York City,Aug 25 2021,33728
New York City,Aug 18 2021,33658
New York City,Aug 11 2021,33598
New York City,Aug  4 2021,33544
New York City,Jul 28 2021,33505
New York City,Jul 21 2021,33483
New York City,Jul 14 2021,33456
New York City,Jul  7 2021,33425
New York City,Jun 30 2021,33400
New York City,Jun 23 2021,33368
New York City,Jun 16 2021,33339
New York City,Jun  9 2021,33297
New York City,Jun  2 2021,33216
New York City,May 26 2021,33137
New York City,May 19 2021,33033
New York City,May 12 2021,32867
New York City,May  5 2021,32657
New York City,Apr 28 2021,32393
New York City,Apr 21 2021,32136
New York City,Apr 14 2021,31846
New York City,Apr  7 2021,31484
New York City,Mar 31 2021,31106
New York City,Mar 24 2021,30703
New York City,Mar 17 2021,30306
New York City,Mar 10 2021,29870
New York City,Mar  3 2021,29436
New York City,Feb 24 2021,28888
New York City,Feb 17 2021,28348
New York City,Feb 10 2021,27794
New York City,Feb  3 2021,27194
New York City,Jan 27 2021,26639
New York City,Jan 20 2021,26127
New York City,Jan 13 2021,25652
New York City,Jan  6 2021,25251
New York City,Dec 30 2020,25007
New York City,Dec 23 2020,24732
New York City,Dec 16 2020,24524
New York City,Dec  9 2020,24369
New York City,Dec  2 2020,24263
New York City,Nov 25 2020,24207
New York City,Nov 18 2020,24130
New York City,Nov 11 2020,24076
New York City,Nov  4 2020,24011
New York City,Oct 28 2020,23961
New York City,Oct 21 2020,23926
New York City,Oct 14 2020,23883
New York City,Oct  7 2020,23851
New York City,Sep 30 2020,23799
New York City,Sep 23 2020,23766
New York City,Sep 16 2020,23741
New York City,Sep  9 2020,23714
New York City,Sep  2 2020,23684
New York City,Aug 26 2020,23611
New York City,Aug 19 2020,23584
New York City,Aug 12 2020,23546
New York City,Aug  5 2020,23511
New York City,Jul 29 2020,23472
New York City,Jul 22 2020,23414
New York City,Jul 15 2020,23336
New York City,Jul  8 2020,23243
New York City,Jul  1 2020,23106
New York City,Jun 24 2020,23004
New York City,Jun 17 2020,22854
New York City,Jun 10 2020,22687
New York City,Jun  3 2020,22429
New York City,May 27 2020,22044
New York City,May 20 2020,21629
New York City,May 13 2020,16714
New York City,May  6 2020,15962
New York City,Apr 29 2020,14701
New York City,Apr 22 2020,12804
New York City,Apr 15 2020,10218
New York City,Apr  8 2020,6468
New York City,Apr  1 2020,2640
New York City,Mar 25 2020,510
New York City,Mar 18 2020,45
New York City,Mar 11 2020,1
New York City,Mar  4 2020,0
New York City,Feb 26 2020,0
New York City,Feb 19 2020,0
New York City,Feb 12 2020,0
New York City,Feb  5 2020,0
New York City,Jan 29 2020,0
