Data Table for Total Deaths - North Carolina
Date generated: Mon Dec 05 2022 13:34:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
North Carolina,Nov 30 2022,27375
North Carolina,Nov 23 2022,27348
North Carolina,Nov 16 2022,27303
North Carolina,Nov  9 2022,27260
North Carolina,Nov  2 2022,27228
North Carolina,Oct 26 2022,26953
North Carolina,Oct 19 2022,26926
North Carolina,Oct 12 2022,26885
North Carolina,Oct  5 2022,26851
North Carolina,Sep 28 2022,26525
North Carolina,Sep 21 2022,26456
North Carolina,Sep 14 2022,26409
North Carolina,Sep  7 2022,26355
North Carolina,Aug 31 2022,26324
North Carolina,Aug 24 2022,25845
North Carolina,Aug 17 2022,25763
North Carolina,Aug 10 2022,25726
North Carolina,Aug  3 2022,25684
North Carolina,Jul 27 2022,25486
North Carolina,Jul 20 2022,25437
North Carolina,Jul 13 2022,25397
North Carolina,Jul  6 2022,25262
North Carolina,Jun 29 2022,25209
North Carolina,Jun 22 2022,25160
North Carolina,Jun 15 2022,25150
North Carolina,Jun  8 2022,25121
North Carolina,Jun  1 2022,25094
North Carolina,May 25 2022,25061
North Carolina,May 18 2022,25031
North Carolina,May 11 2022,24999
North Carolina,May  4 2022,24965
North Carolina,Apr 27 2022,24927
North Carolina,Apr 20 2022,24889
North Carolina,Apr 13 2022,24858
North Carolina,Apr  6 2022,24814
North Carolina,Mar 30 2022,24774
North Carolina,Mar 23 2022,24706
North Carolina,Mar 16 2022,24597
North Carolina,Mar  9 2022,24463
North Carolina,Mar  2 2022,24240
North Carolina,Feb 23 2022,23985
North Carolina,Feb 16 2022,23593
North Carolina,Feb  9 2022,23071
North Carolina,Feb  2 2022,22405
North Carolina,Jan 26 2022,21761
North Carolina,Jan 19 2022,21080
North Carolina,Jan 12 2022,20526
North Carolina,Jan  5 2022,20072
North Carolina,Dec 29 2021,19776
North Carolina,Dec 22 2021,19578
North Carolina,Dec 15 2021,19391
North Carolina,Dec  8 2021,19227
North Carolina,Dec  1 2021,19086
North Carolina,Nov 24 2021,18959
North Carolina,Nov 17 2021,18828
North Carolina,Nov 10 2021,18711
North Carolina,Nov  3 2021,18578
North Carolina,Oct 27 2021,18402
North Carolina,Oct 20 2021,18184
North Carolina,Oct 13 2021,17892
North Carolina,Oct  6 2021,17573
North Carolina,Sep 29 2021,17183
North Carolina,Sep 22 2021,16719
North Carolina,Sep 15 2021,16261
North Carolina,Sep  8 2021,15726
North Carolina,Sep  1 2021,15222
North Carolina,Aug 25 2021,14747
North Carolina,Aug 18 2021,14382
North Carolina,Aug 11 2021,14102
North Carolina,Aug  4 2021,13938
North Carolina,Jul 28 2021,13832
North Carolina,Jul 21 2021,13749
North Carolina,Jul 14 2021,13707
North Carolina,Jul  7 2021,13677
North Carolina,Jun 30 2021,13647
North Carolina,Jun 23 2021,13612
North Carolina,Jun 16 2021,13586
North Carolina,Jun  9 2021,13546
North Carolina,Jun  2 2021,13502
North Carolina,May 26 2021,13441
North Carolina,May 19 2021,13370
North Carolina,May 12 2021,13271
North Carolina,May  5 2021,13191
North Carolina,Apr 28 2021,13101
North Carolina,Apr 21 2021,13017
North Carolina,Apr 14 2021,12930
North Carolina,Apr  7 2021,12859
North Carolina,Mar 31 2021,12786
North Carolina,Mar 24 2021,12707
North Carolina,Mar 17 2021,12614
North Carolina,Mar 10 2021,12528
North Carolina,Mar  3 2021,12405
North Carolina,Feb 24 2021,12241
North Carolina,Feb 17 2021,12011
North Carolina,Feb 10 2021,11695
North Carolina,Feb  3 2021,11267
North Carolina,Jan 27 2021,10718
North Carolina,Jan 20 2021,10071
North Carolina,Jan 13 2021,9307
North Carolina,Jan  6 2021,8613
North Carolina,Dec 30 2020,7925
North Carolina,Dec 23 2020,7343
North Carolina,Dec 16 2020,6853
North Carolina,Dec  9 2020,6349
North Carolina,Dec  2 2020,5980
North Carolina,Nov 25 2020,5693
North Carolina,Nov 18 2020,5415
North Carolina,Nov 11 2020,5157
North Carolina,Nov  4 2020,4914
North Carolina,Oct 28 2020,4659
North Carolina,Oct 21 2020,4431
North Carolina,Oct 14 2020,4213
North Carolina,Oct  7 2020,4025
North Carolina,Sep 30 2020,3854
North Carolina,Sep 23 2020,3657
North Carolina,Sep 16 2020,3467
North Carolina,Sep  9 2020,3259
North Carolina,Sep  2 2020,3076
North Carolina,Aug 26 2020,2865
North Carolina,Aug 19 2020,2690
North Carolina,Aug 12 2020,2494
North Carolina,Aug  5 2020,2279
North Carolina,Jul 29 2020,2069
North Carolina,Jul 22 2020,1890
North Carolina,Jul 15 2020,1725
North Carolina,Jul  8 2020,1591
North Carolina,Jul  1 2020,1481
North Carolina,Jun 24 2020,1375
North Carolina,Jun 17 2020,1271
North Carolina,Jun 10 2020,1173
North Carolina,Jun  3 2020,1066
North Carolina,May 27 2020,930
North Carolina,May 20 2020,766
North Carolina,May 13 2020,672
North Carolina,May  6 2020,551
North Carolina,Apr 29 2020,433
North Carolina,Apr 22 2020,306
North Carolina,Apr 15 2020,181
North Carolina,Apr  8 2020,81
North Carolina,Apr  1 2020,25
North Carolina,Mar 25 2020,4
North Carolina,Mar 18 2020,1
North Carolina,Mar 11 2020,0
North Carolina,Mar  4 2020,0
North Carolina,Feb 26 2020,0
North Carolina,Feb 19 2020,0
North Carolina,Feb 12 2020,0
North Carolina,Feb  5 2020,0
North Carolina,Jan 29 2020,0
