Data Table for Total Deaths - Oregon
Date generated: Mon Dec 05 2022 13:35:05 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Oregon,Nov 30 2022,8864
Oregon,Nov 23 2022,8824
Oregon,Nov 16 2022,8787
Oregon,Nov  9 2022,8743
Oregon,Nov  2 2022,8726
Oregon,Oct 26 2022,8680
Oregon,Oct 19 2022,8645
Oregon,Oct 12 2022,8621
Oregon,Oct  5 2022,8590
Oregon,Sep 28 2022,8561
Oregon,Sep 21 2022,8520
Oregon,Sep 14 2022,8492
Oregon,Sep  7 2022,8454
Oregon,Aug 31 2022,8412
Oregon,Aug 24 2022,8365
Oregon,Aug 17 2022,8325
Oregon,Aug 10 2022,8252
Oregon,Aug  3 2022,8175
Oregon,Jul 27 2022,8061
Oregon,Jul 20 2022,7983
Oregon,Jul 13 2022,7884
Oregon,Jul  6 2022,7836
Oregon,Jun 29 2022,7807
Oregon,Jun 22 2022,7744
Oregon,Jun 15 2022,7720
Oregon,Jun  8 2022,7682
Oregon,Jun  1 2022,7639
Oregon,May 25 2022,7607
Oregon,May 18 2022,7568
Oregon,May 11 2022,7547
Oregon,May  4 2022,7518
Oregon,Apr 27 2022,7498
Oregon,Apr 20 2022,7465
Oregon,Apr 13 2022,7402
Oregon,Apr  6 2022,7225
Oregon,Mar 30 2022,7139
Oregon,Mar 23 2022,7011
Oregon,Mar 16 2022,6934
Oregon,Mar  9 2022,6800
Oregon,Mar  2 2022,6652
Oregon,Feb 23 2022,6519
Oregon,Feb 16 2022,6416
Oregon,Feb  9 2022,6322
Oregon,Feb  2 2022,6163
Oregon,Jan 26 2022,6048
Oregon,Jan 19 2022,5908
Oregon,Jan 12 2022,5845
Oregon,Jan  5 2022,5719
Oregon,Dec 29 2021,5640
Oregon,Dec 22 2021,5590
Oregon,Dec 15 2021,5507
Oregon,Dec  8 2021,5318
Oregon,Dec  1 2021,5186
Oregon,Nov 24 2021,5116
Oregon,Nov 17 2021,4874
Oregon,Nov 10 2021,4730
Oregon,Nov  3 2021,4469
Oregon,Oct 27 2021,4334
Oregon,Oct 20 2021,4234
Oregon,Oct 13 2021,4117
Oregon,Oct  6 2021,3900
Oregon,Sep 29 2021,3771
Oregon,Sep 22 2021,3649
Oregon,Sep 15 2021,3534
Oregon,Sep  8 2021,3373
Oregon,Sep  1 2021,3221
Oregon,Aug 25 2021,3086
Oregon,Aug 18 2021,2972
Oregon,Aug 11 2021,2918
Oregon,Aug  4 2021,2876
Oregon,Jul 28 2021,2848
Oregon,Jul 21 2021,2832
Oregon,Jul 14 2021,2803
Oregon,Jul  7 2021,2788
Oregon,Jun 30 2021,2774
Oregon,Jun 23 2021,2759
Oregon,Jun 16 2021,2744
Oregon,Jun  9 2021,2716
Oregon,Jun  2 2021,2676
Oregon,May 26 2021,2639
Oregon,May 19 2021,2601
Oregon,May 12 2021,2560
Oregon,May  5 2021,2509
Oregon,Apr 28 2021,2490
Oregon,Apr 21 2021,2466
Oregon,Apr 14 2021,2448
Oregon,Apr  7 2021,2434
Oregon,Mar 31 2021,2383
Oregon,Mar 24 2021,2368
Oregon,Mar 17 2021,2349
Oregon,Mar 10 2021,2305
Oregon,Mar  3 2021,2252
Oregon,Feb 24 2021,2194
Oregon,Feb 17 2021,2143
Oregon,Feb 10 2021,2044
Oregon,Feb  3 2021,1991
Oregon,Jan 27 2021,1924
Oregon,Jan 20 2021,1832
Oregon,Jan 13 2021,1708
Oregon,Jan  6 2021,1558
Oregon,Dec 30 2020,1468
Oregon,Dec 23 2020,1403
Oregon,Dec 16 2020,1262
Oregon,Dec  9 2020,1110
Oregon,Dec  2 2020,953
Oregon,Nov 25 2020,867
Oregon,Nov 18 2020,788
Oregon,Nov 11 2020,742
Oregon,Nov  4 2020,705
Oregon,Oct 28 2020,671
Oregon,Oct 21 2020,635
Oregon,Oct 14 2020,607
Oregon,Oct  7 2020,583
Oregon,Sep 30 2020,559
Oregon,Sep 23 2020,537
Oregon,Sep 16 2020,520
Oregon,Sep  9 2020,493
Oregon,Sep  2 2020,467
Oregon,Aug 26 2020,432
Oregon,Aug 19 2020,408
Oregon,Aug 12 2020,375
Oregon,Aug  5 2020,338
Oregon,Jul 29 2020,310
Oregon,Jul 22 2020,271
Oregon,Jul 15 2020,247
Oregon,Jul  8 2020,224
Oregon,Jul  1 2020,208
Oregon,Jun 24 2020,195
Oregon,Jun 17 2020,183
Oregon,Jun 10 2020,169
Oregon,Jun  3 2020,159
Oregon,May 27 2020,148
Oregon,May 20 2020,144
Oregon,May 13 2020,134
Oregon,May  6 2020,115
Oregon,Apr 29 2020,101
Oregon,Apr 22 2020,78
Oregon,Apr 15 2020,58
Oregon,Apr  8 2020,33
Oregon,Apr  1 2020,19
Oregon,Mar 25 2020,10
Oregon,Mar 18 2020,3
Oregon,Mar 11 2020,0
Oregon,Mar  4 2020,0
Oregon,Feb 26 2020,0
Oregon,Feb 19 2020,0
Oregon,Feb 12 2020,0
Oregon,Feb  5 2020,0
Oregon,Jan 29 2020,0
