Data Table for Total Deaths - Pennsylvania
Date generated: Mon Dec 05 2022 12:59:54 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Pennsylvania,Nov 30 2022,48387
Pennsylvania,Nov 23 2022,48271
Pennsylvania,Nov 16 2022,48126
Pennsylvania,Nov  9 2022,47932
Pennsylvania,Nov  2 2022,47782
Pennsylvania,Oct 26 2022,47634
Pennsylvania,Oct 19 2022,47496
Pennsylvania,Oct 12 2022,47366
Pennsylvania,Oct  5 2022,47257
Pennsylvania,Sep 28 2022,47139
Pennsylvania,Sep 21 2022,47022
Pennsylvania,Sep 14 2022,46893
Pennsylvania,Sep  7 2022,46762
Pennsylvania,Aug 31 2022,46608
Pennsylvania,Aug 24 2022,46501
Pennsylvania,Aug 17 2022,46403
Pennsylvania,Aug 10 2022,46286
Pennsylvania,Aug  3 2022,46163
Pennsylvania,Jul 27 2022,46073
Pennsylvania,Jul 20 2022,45936
Pennsylvania,Jul 13 2022,45847
Pennsylvania,Jul  6 2022,45718
Pennsylvania,Jun 29 2022,45610
Pennsylvania,Jun 22 2022,45547
Pennsylvania,Jun 15 2022,45447
Pennsylvania,Jun  8 2022,45302
Pennsylvania,Jun  1 2022,45154
Pennsylvania,May 25 2022,45050
Pennsylvania,May 18 2022,44814
Pennsylvania,May 11 2022,44735
Pennsylvania,May  4 2022,44657
Pennsylvania,Apr 27 2022,44564
Pennsylvania,Apr 20 2022,44487
Pennsylvania,Apr 13 2022,44381
Pennsylvania,Apr  6 2022,44312
Pennsylvania,Mar 30 2022,44208
Pennsylvania,Mar 23 2022,44077
Pennsylvania,Mar 16 2022,43928
Pennsylvania,Mar  9 2022,43707
Pennsylvania,Mar  2 2022,43409
Pennsylvania,Feb 23 2022,43018
Pennsylvania,Feb 16 2022,42577
Pennsylvania,Feb  9 2022,41957
Pennsylvania,Feb  2 2022,41136
Pennsylvania,Jan 26 2022,40100
Pennsylvania,Jan 19 2022,38945
Pennsylvania,Jan 12 2022,38254
Pennsylvania,Jan  5 2022,37223
Pennsylvania,Dec 29 2021,36565
Pennsylvania,Dec 22 2021,35828
Pennsylvania,Dec 15 2021,35041
Pennsylvania,Dec  8 2021,34235
Pennsylvania,Dec  1 2021,33564
Pennsylvania,Nov 24 2021,33126
Pennsylvania,Nov 17 2021,32654
Pennsylvania,Nov 10 2021,32212
Pennsylvania,Nov  3 2021,31740
Pennsylvania,Oct 27 2021,31226
Pennsylvania,Oct 20 2021,30752
Pennsylvania,Oct 13 2021,30265
Pennsylvania,Oct  6 2021,29759
Pennsylvania,Sep 29 2021,29359
Pennsylvania,Sep 22 2021,29039
Pennsylvania,Sep 15 2021,28740
Pennsylvania,Sep  8 2021,28486
Pennsylvania,Sep  1 2021,28280
Pennsylvania,Aug 25 2021,28167
Pennsylvania,Aug 18 2021,28050
Pennsylvania,Aug 11 2021,27961
Pennsylvania,Aug  4 2021,27915
Pennsylvania,Jul 28 2021,27870
Pennsylvania,Jul 21 2021,27843
Pennsylvania,Jul 14 2021,27800
Pennsylvania,Jul  7 2021,27754
Pennsylvania,Jun 30 2021,27711
Pennsylvania,Jun 23 2021,27650
Pennsylvania,Jun 16 2021,27574
Pennsylvania,Jun  9 2021,27470
Pennsylvania,Jun  2 2021,27324
Pennsylvania,May 26 2021,27194
Pennsylvania,May 19 2021,26999
Pennsylvania,May 12 2021,26750
Pennsylvania,May  5 2021,26501
Pennsylvania,Apr 28 2021,26221
Pennsylvania,Apr 21 2021,25925
Pennsylvania,Apr 14 2021,25616
Pennsylvania,Apr  7 2021,25364
Pennsylvania,Mar 31 2021,25161
Pennsylvania,Mar 24 2021,24945
Pennsylvania,Mar 17 2021,24746
Pennsylvania,Mar 10 2021,24512
Pennsylvania,Mar  3 2021,24239
Pennsylvania,Feb 24 2021,23869
Pennsylvania,Feb 17 2021,23422
Pennsylvania,Feb 10 2021,22860
Pennsylvania,Feb  3 2021,22083
Pennsylvania,Jan 27 2021,21243
Pennsylvania,Jan 20 2021,20027
Pennsylvania,Jan 13 2021,18628
Pennsylvania,Jan  6 2021,17165
Pennsylvania,Dec 30 2020,15926
Pennsylvania,Dec 23 2020,14663
Pennsylvania,Dec 16 2020,13333
Pennsylvania,Dec  9 2020,11919
Pennsylvania,Dec  2 2020,10881
Pennsylvania,Nov 25 2020,10189
Pennsylvania,Nov 18 2020,9544
Pennsylvania,Nov 11 2020,9197
Pennsylvania,Nov  4 2020,8926
Pennsylvania,Oct 28 2020,8755
Pennsylvania,Oct 21 2020,8598
Pennsylvania,Oct 14 2020,8446
Pennsylvania,Oct  7 2020,8311
Pennsylvania,Sep 30 2020,8181
Pennsylvania,Sep 23 2020,8103
Pennsylvania,Sep 16 2020,7954
Pennsylvania,Sep  9 2020,7859
Pennsylvania,Sep  2 2020,7763
Pennsylvania,Aug 26 2020,7670
Pennsylvania,Aug 19 2020,7571
Pennsylvania,Aug 12 2020,7452
Pennsylvania,Aug  5 2020,7312
Pennsylvania,Jul 29 2020,7228
Pennsylvania,Jul 22 2020,7131
Pennsylvania,Jul 15 2020,7025
Pennsylvania,Jul  8 2020,6887
Pennsylvania,Jul  1 2020,6760
Pennsylvania,Jun 24 2020,6603
Pennsylvania,Jun 17 2020,6427
Pennsylvania,Jun 10 2020,6189
Pennsylvania,Jun  3 2020,5918
Pennsylvania,May 27 2020,5479
Pennsylvania,May 20 2020,4997
Pennsylvania,May 13 2020,4348
Pennsylvania,May  6 2020,3652
Pennsylvania,Apr 29 2020,2757
Pennsylvania,Apr 22 2020,1917
Pennsylvania,Apr 15 2020,931
Pennsylvania,Apr  8 2020,424
Pennsylvania,Apr  1 2020,89
Pennsylvania,Mar 25 2020,16
Pennsylvania,Mar 18 2020,1
Pennsylvania,Mar 11 2020,0
Pennsylvania,Mar  4 2020,0
Pennsylvania,Feb 26 2020,0
Pennsylvania,Feb 19 2020,0
Pennsylvania,Feb 12 2020,0
Pennsylvania,Feb  5 2020,0
Pennsylvania,Jan 29 2020,0
