Data Table for Total Deaths - Rhode Island
Date generated: Mon Dec 05 2022 13:00:04 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Rhode Island,Nov 30 2022,3743
Rhode Island,Nov 23 2022,3743
Rhode Island,Nov 16 2022,3725
Rhode Island,Nov  9 2022,3705
Rhode Island,Nov  2 2022,3696
Rhode Island,Oct 26 2022,3686
Rhode Island,Oct 19 2022,3681
Rhode Island,Oct 12 2022,3674
Rhode Island,Oct  5 2022,3669
Rhode Island,Sep 28 2022,3667
Rhode Island,Sep 21 2022,3661
Rhode Island,Sep 14 2022,3652
Rhode Island,Sep  7 2022,3645
Rhode Island,Aug 31 2022,3643
Rhode Island,Aug 24 2022,3636
Rhode Island,Aug 17 2022,3632
Rhode Island,Aug 10 2022,3632
Rhode Island,Aug  3 2022,3630
Rhode Island,Jul 27 2022,3630
Rhode Island,Jul 20 2022,3624
Rhode Island,Jul 13 2022,3619
Rhode Island,Jul  6 2022,3613
Rhode Island,Jun 29 2022,3609
Rhode Island,Jun 22 2022,3603
Rhode Island,Jun 15 2022,3595
Rhode Island,Jun  8 2022,3584
Rhode Island,Jun  1 2022,3579
Rhode Island,May 25 2022,3565
Rhode Island,May 18 2022,3561
Rhode Island,May 11 2022,3541
Rhode Island,May  4 2022,3541
Rhode Island,Apr 27 2022,3532
Rhode Island,Apr 20 2022,3527
Rhode Island,Apr 13 2022,3525
Rhode Island,Apr  6 2022,3524
Rhode Island,Mar 30 2022,3522
Rhode Island,Mar 23 2022,3433
Rhode Island,Mar 16 2022,3427
Rhode Island,Mar  9 2022,3419
Rhode Island,Mar  2 2022,3413
Rhode Island,Feb 23 2022,3404
Rhode Island,Feb 16 2022,3394
Rhode Island,Feb  9 2022,3369
Rhode Island,Feb  2 2022,3334
Rhode Island,Jan 26 2022,3275
Rhode Island,Jan 19 2022,3215
Rhode Island,Jan 12 2022,3151
Rhode Island,Jan  5 2022,3107
Rhode Island,Dec 29 2021,3062
Rhode Island,Dec 22 2021,3015
Rhode Island,Dec 15 2021,2980
Rhode Island,Dec  8 2021,2949
Rhode Island,Dec  1 2021,2935
Rhode Island,Nov 24 2021,2915
Rhode Island,Nov 17 2021,2902
Rhode Island,Nov 10 2021,2887
Rhode Island,Nov  3 2021,2881
Rhode Island,Oct 27 2021,2877
Rhode Island,Oct 20 2021,2869
Rhode Island,Oct 13 2021,2857
Rhode Island,Oct  6 2021,2848
Rhode Island,Sep 29 2021,2836
Rhode Island,Sep 22 2021,2818
Rhode Island,Sep 15 2021,2809
Rhode Island,Sep  8 2021,2770
Rhode Island,Sep  1 2021,2762
Rhode Island,Aug 25 2021,2750
Rhode Island,Aug 18 2021,2738
Rhode Island,Aug 11 2021,2734
Rhode Island,Aug  4 2021,2733
Rhode Island,Jul 28 2021,2729
Rhode Island,Jul 21 2021,2728
Rhode Island,Jul 14 2021,2722
Rhode Island,Jul  7 2021,2720
Rhode Island,Jun 30 2021,2720
Rhode Island,Jun 23 2021,2717
Rhode Island,Jun 16 2021,2714
Rhode Island,Jun  9 2021,2713
Rhode Island,Jun  2 2021,2703
Rhode Island,May 26 2021,2699
Rhode Island,May 19 2021,2694
Rhode Island,May 12 2021,2687
Rhode Island,May  5 2021,2673
Rhode Island,Apr 28 2021,2660
Rhode Island,Apr 21 2021,2650
Rhode Island,Apr 14 2021,2633
Rhode Island,Apr  7 2021,2626
Rhode Island,Mar 31 2021,2611
Rhode Island,Mar 24 2021,2600
Rhode Island,Mar 17 2021,2582
Rhode Island,Mar 10 2021,2554
Rhode Island,Mar  3 2021,2531
Rhode Island,Feb 24 2021,2498
Rhode Island,Feb 17 2021,2474
Rhode Island,Feb 10 2021,2437
Rhode Island,Feb  3 2021,2380
Rhode Island,Jan 27 2021,2303
Rhode Island,Jan 20 2021,2223
Rhode Island,Jan 13 2021,2120
Rhode Island,Jan  6 2021,2024
Rhode Island,Dec 30 2020,1911
Rhode Island,Dec 23 2020,1807
Rhode Island,Dec 16 2020,1702
Rhode Island,Dec  9 2020,1557
Rhode Island,Dec  2 2020,1442
Rhode Island,Nov 25 2020,1374
Rhode Island,Nov 18 2020,1309
Rhode Island,Nov 11 2020,1266
Rhode Island,Nov  4 2020,1231
Rhode Island,Oct 28 2020,1204
Rhode Island,Oct 21 2020,1184
Rhode Island,Oct 14 2020,1168
Rhode Island,Oct  7 2020,1139
Rhode Island,Sep 30 2020,1125
Rhode Island,Sep 23 2020,1118
Rhode Island,Sep 16 2020,1105
Rhode Island,Sep  9 2020,1092
Rhode Island,Sep  2 2020,1082
Rhode Island,Aug 26 2020,1069
Rhode Island,Aug 19 2020,1059
Rhode Island,Aug 12 2020,1042
Rhode Island,Aug  5 2020,1034
Rhode Island,Jul 29 2020,1024
Rhode Island,Jul 22 2020,1018
Rhode Island,Jul 15 2020,1005
Rhode Island,Jul  8 2020,994
Rhode Island,Jul  1 2020,978
Rhode Island,Jun 24 2020,958
Rhode Island,Jun 17 2020,928
Rhode Island,Jun 10 2020,895
Rhode Island,Jun  3 2020,853
Rhode Island,May 27 2020,792
Rhode Island,May 20 2020,705
Rhode Island,May 13 2020,600
Rhode Island,May  6 2020,478
Rhode Island,Apr 29 2020,340
Rhode Island,Apr 22 2020,232
Rhode Island,Apr 15 2020,125
Rhode Island,Apr  8 2020,52
Rhode Island,Apr  1 2020,12
Rhode Island,Mar 25 2020,1
Rhode Island,Mar 18 2020,0
Rhode Island,Mar 11 2020,0
Rhode Island,Mar  4 2020,0
Rhode Island,Feb 26 2020,0
Rhode Island,Feb 19 2020,0
Rhode Island,Feb 12 2020,0
Rhode Island,Feb  5 2020,0
Rhode Island,Jan 29 2020,0
