Data Table for Total Deaths - South Carolina
Date generated: Mon Dec 05 2022 13:00:51 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
South Carolina,Nov 30 2022,18711
South Carolina,Nov 23 2022,18707
South Carolina,Nov 16 2022,18679
South Carolina,Nov  9 2022,18660
South Carolina,Nov  2 2022,18633
South Carolina,Oct 26 2022,18578
South Carolina,Oct 19 2022,18527
South Carolina,Oct 12 2022,18468
South Carolina,Oct  5 2022,18390
South Carolina,Sep 28 2022,18365
South Carolina,Sep 21 2022,18331
South Carolina,Sep 14 2022,18316
South Carolina,Sep  7 2022,18299
South Carolina,Aug 31 2022,18263
South Carolina,Aug 24 2022,18245
South Carolina,Aug 17 2022,18227
South Carolina,Aug 10 2022,18215
South Carolina,Aug  3 2022,18208
South Carolina,Jul 27 2022,18189
South Carolina,Jul 20 2022,18131
South Carolina,Jul 13 2022,18055
South Carolina,Jul  6 2022,18043
South Carolina,Jun 29 2022,18033
South Carolina,Jun 22 2022,18007
South Carolina,Jun 15 2022,17995
South Carolina,Jun  8 2022,17970
South Carolina,Jun  1 2022,17907
South Carolina,May 25 2022,17905
South Carolina,May 18 2022,17890
South Carolina,May 11 2022,17868
South Carolina,May  4 2022,17848
South Carolina,Apr 27 2022,17767
South Carolina,Apr 20 2022,17734
South Carolina,Apr 13 2022,17698
South Carolina,Apr  6 2022,17650
South Carolina,Mar 30 2022,17587
South Carolina,Mar 23 2022,17493
South Carolina,Mar 16 2022,17380
South Carolina,Mar  9 2022,17251
South Carolina,Mar  2 2022,16928
South Carolina,Feb 23 2022,16614
South Carolina,Feb 16 2022,16407
South Carolina,Feb  9 2022,16018
South Carolina,Feb  2 2022,15609
South Carolina,Jan 26 2022,15156
South Carolina,Jan 19 2022,15029
South Carolina,Jan 12 2022,14847
South Carolina,Jan  5 2022,14715
South Carolina,Dec 29 2021,14610
South Carolina,Dec 22 2021,14526
South Carolina,Dec 15 2021,14430
South Carolina,Dec  8 2021,14334
South Carolina,Dec  1 2021,14233
South Carolina,Nov 24 2021,14153
South Carolina,Nov 17 2021,14063
South Carolina,Nov 10 2021,13921
South Carolina,Nov  3 2021,13800
South Carolina,Oct 27 2021,13604
South Carolina,Oct 20 2021,13367
South Carolina,Oct 13 2021,13094
South Carolina,Oct  6 2021,12784
South Carolina,Sep 29 2021,12372
South Carolina,Sep 22 2021,11914
South Carolina,Sep 15 2021,11483
South Carolina,Sep  8 2021,10996
South Carolina,Sep  1 2021,10684
South Carolina,Aug 25 2021,10357
South Carolina,Aug 18 2021,10141
South Carolina,Aug 11 2021,10007
South Carolina,Aug  4 2021,9930
South Carolina,Jul 28 2021,9894
South Carolina,Jul 21 2021,9869
South Carolina,Jul 14 2021,9844
South Carolina,Jul  7 2021,9831
South Carolina,Jun 30 2021,9810
South Carolina,Jun 23 2021,9792
South Carolina,Jun 16 2021,9776
South Carolina,Jun  9 2021,9747
South Carolina,Jun  2 2021,9713
South Carolina,May 26 2021,9687
South Carolina,May 19 2021,9647
South Carolina,May 12 2021,9589
South Carolina,May  5 2021,9533
South Carolina,Apr 28 2021,9469
South Carolina,Apr 21 2021,9362
South Carolina,Apr 14 2021,9299
South Carolina,Apr  7 2021,9210
South Carolina,Mar 31 2021,9145
South Carolina,Mar 24 2021,9055
South Carolina,Mar 17 2021,8929
South Carolina,Mar 10 2021,8782
South Carolina,Mar  3 2021,8619
South Carolina,Feb 24 2021,8399
South Carolina,Feb 17 2021,8116
South Carolina,Feb 10 2021,7742
South Carolina,Feb  3 2021,7395
South Carolina,Jan 27 2021,6669
South Carolina,Jan 20 2021,6327
South Carolina,Jan 13 2021,5911
South Carolina,Jan  6 2021,5583
South Carolina,Dec 30 2020,5249
South Carolina,Dec 23 2020,5028
South Carolina,Dec 16 2020,4800
South Carolina,Dec  9 2020,4612
South Carolina,Dec  2 2020,4445
South Carolina,Nov 25 2020,4317
South Carolina,Nov 18 2020,4181
South Carolina,Nov 11 2020,4076
South Carolina,Nov  4 2020,3984
South Carolina,Oct 28 2020,3874
South Carolina,Oct 21 2020,3707
South Carolina,Oct 14 2020,3592
South Carolina,Oct  7 2020,3501
South Carolina,Sep 30 2020,3376
South Carolina,Sep 23 2020,3262
South Carolina,Sep 16 2020,3130
South Carolina,Sep  9 2020,2941
South Carolina,Sep  2 2020,2794
South Carolina,Aug 26 2020,2575
South Carolina,Aug 19 2020,2358
South Carolina,Aug 12 2020,2143
South Carolina,Aug  5 2020,1894
South Carolina,Jul 29 2020,1615
South Carolina,Jul 22 2020,1285
South Carolina,Jul 15 2020,999
South Carolina,Jul  8 2020,882
South Carolina,Jul  1 2020,765
South Carolina,Jun 24 2020,684
South Carolina,Jun 17 2020,618
South Carolina,Jun 10 2020,575
South Carolina,Jun  3 2020,518
South Carolina,May 27 2020,466
South Carolina,May 20 2020,407
South Carolina,May 13 2020,361
South Carolina,May  6 2020,304
South Carolina,Apr 29 2020,231
South Carolina,Apr 22 2020,140
South Carolina,Apr 15 2020,105
South Carolina,Apr  8 2020,51
South Carolina,Apr  1 2020,26
South Carolina,Mar 25 2020,7
South Carolina,Mar 18 2020,1
South Carolina,Mar 11 2020,0
South Carolina,Mar  4 2020,0
South Carolina,Feb 26 2020,0
South Carolina,Feb 19 2020,0
South Carolina,Feb 12 2020,0
South Carolina,Feb  5 2020,0
South Carolina,Jan 29 2020,0
