Data Table for Total Deaths - Texas
Date generated: Mon Dec 05 2022 13:34:49 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Texas,Nov 30 2022,91418
Texas,Nov 23 2022,91379
Texas,Nov 16 2022,91308
Texas,Nov  9 2022,91252
Texas,Nov  2 2022,91193
Texas,Oct 26 2022,91130
Texas,Oct 19 2022,91034
Texas,Oct 12 2022,90950
Texas,Oct  5 2022,90845
Texas,Sep 28 2022,90733
Texas,Sep 21 2022,90600
Texas,Sep 14 2022,90450
Texas,Sep  7 2022,90306
Texas,Aug 31 2022,90172
Texas,Aug 24 2022,89974
Texas,Aug 17 2022,89784
Texas,Aug 10 2022,89577
Texas,Aug  3 2022,89383
Texas,Jul 27 2022,89157
Texas,Jul 20 2022,88992
Texas,Jul 13 2022,88861
Texas,Jul  6 2022,88736
Texas,Jun 29 2022,88635
Texas,Jun 22 2022,88539
Texas,Jun 15 2022,88469
Texas,Jun  8 2022,88386
Texas,Jun  1 2022,88332
Texas,May 25 2022,88301
Texas,May 18 2022,88242
Texas,May 11 2022,88183
Texas,May  4 2022,88105
Texas,Apr 27 2022,88030
Texas,Apr 20 2022,87924
Texas,Apr 13 2022,87780
Texas,Apr  6 2022,87571
Texas,Mar 30 2022,87382
Texas,Mar 23 2022,86899
Texas,Mar 16 2022,86498
Texas,Mar  9 2022,85985
Texas,Mar  2 2022,85265
Texas,Feb 23 2022,84271
Texas,Feb 16 2022,83041
Texas,Feb  9 2022,81605
Texas,Feb  2 2022,80280
Texas,Jan 26 2022,78881
Texas,Jan 19 2022,77700
Texas,Jan 12 2022,76919
Texas,Jan  5 2022,76225
Texas,Dec 29 2021,75695
Texas,Dec 22 2021,75287
Texas,Dec 15 2021,74873
Texas,Dec  8 2021,74461
Texas,Dec  1 2021,74034
Texas,Nov 24 2021,73717
Texas,Nov 17 2021,73174
Texas,Nov 10 2021,72461
Texas,Nov  3 2021,71784
Texas,Oct 27 2021,71024
Texas,Oct 20 2021,69931
Texas,Oct 13 2021,68631
Texas,Oct  6 2021,67107
Texas,Sep 29 2021,65310
Texas,Sep 22 2021,63261
Texas,Sep 15 2021,61298
Texas,Sep  8 2021,59238
Texas,Sep  1 2021,57643
Texas,Aug 25 2021,56017
Texas,Aug 18 2021,54808
Texas,Aug 11 2021,54007
Texas,Aug  4 2021,53473
Texas,Jul 28 2021,53149
Texas,Jul 21 2021,52885
Texas,Jul 14 2021,52707
Texas,Jul  7 2021,52523
Texas,Jun 30 2021,52375
Texas,Jun 23 2021,52215
Texas,Jun 16 2021,52042
Texas,Jun  9 2021,51857
Texas,Jun  2 2021,51627
Texas,May 26 2021,51409
Texas,May 19 2021,51145
Texas,May 12 2021,50872
Texas,May  5 2021,50570
Texas,Apr 28 2021,50203
Texas,Apr 21 2021,49852
Texas,Apr 14 2021,49479
Texas,Apr  7 2021,49053
Texas,Mar 31 2021,48410
Texas,Mar 24 2021,47897
Texas,Mar 17 2021,47093
Texas,Mar 10 2021,46155
Texas,Mar  3 2021,44904
Texas,Feb 24 2021,43370
Texas,Feb 17 2021,42036
Texas,Feb 10 2021,40723
Texas,Feb  3 2021,38662
Texas,Jan 27 2021,36524
Texas,Jan 20 2021,34155
Texas,Jan 13 2021,31934
Texas,Jan  6 2021,29698
Texas,Dec 30 2020,28075
Texas,Dec 23 2020,26765
Texas,Dec 16 2020,25208
Texas,Dec  9 2020,23874
Texas,Dec  2 2020,22568
Texas,Nov 25 2020,21636
Texas,Nov 18 2020,20532
Texas,Nov 11 2020,19626
Texas,Nov  4 2020,18914
Texas,Oct 28 2020,18283
Texas,Oct 21 2020,17744
Texas,Oct 14 2020,17264
Texas,Oct  7 2020,16736
Texas,Sep 30 2020,16100
Texas,Sep 23 2020,15469
Texas,Sep 16 2020,14841
Texas,Sep  9 2020,14045
Texas,Sep  2 2020,13249
Texas,Aug 26 2020,12320
Texas,Aug 19 2020,11138
Texas,Aug 12 2020,9754
Texas,Aug  5 2020,8521
Texas,Jul 29 2020,7224
Texas,Jul 22 2020,5273
Texas,Jul 15 2020,4191
Texas,Jul  8 2020,3388
Texas,Jul  1 2020,2820
Texas,Jun 24 2020,2481
Texas,Jun 17 2020,2276
Texas,Jun 10 2020,2045
Texas,Jun  3 2020,1878
Texas,May 27 2020,1686
Texas,May 20 2020,1524
Texas,May 13 2020,1251
Texas,May  6 2020,1045
Texas,Apr 29 2020,854
Texas,Apr 22 2020,660
Texas,Apr 15 2020,451
Texas,Apr  8 2020,239
Texas,Apr  1 2020,94
Texas,Mar 25 2020,20
Texas,Mar 18 2020,5
Texas,Mar 11 2020,0
Texas,Mar  4 2020,0
Texas,Feb 26 2020,0
Texas,Feb 19 2020,0
Texas,Feb 12 2020,0
Texas,Feb  5 2020,0
Texas,Jan 29 2020,0
