Data Table for Total Deaths - The United States
Date generated: Mon Dec 05 2022 12:34:25 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
United States,Nov 30 2022,1077303
United States,Nov 23 2022,1075523
United States,Nov 16 2022,1072889
United States,Nov  9 2022,1070650
United States,Nov  2 2022,1068318
United States,Oct 26 2022,1065852
United States,Oct 19 2022,1062727
United States,Oct 12 2022,1060225
United States,Oct  5 2022,1057676
United States,Sep 28 2022,1054665
United States,Sep 21 2022,1051295
United States,Sep 14 2022,1048167
United States,Sep  7 2022,1044961
United States,Aug 31 2022,1042030
United States,Aug 24 2022,1038087
United States,Aug 17 2022,1034964
United States,Aug 10 2022,1031717
United States,Aug  3 2022,1028096
United States,Jul 27 2022,1024561
United States,Jul 20 2022,1021399
United States,Jul 13 2022,1018568
United States,Jul  6 2022,1015860
United States,Jun 29 2022,1013455
United States,Jun 22 2022,1010887
United States,Jun 15 2022,1008836
United States,Jun  8 2022,1006650
United States,Jun  1 2022,1004323
United States,May 25 2022,1002210
United States,May 18 2022,999555
United States,May 11 2022,997287
United States,May  4 2022,994913
United States,Apr 27 2022,992139
United States,Apr 20 2022,989208
United States,Apr 13 2022,986147
United States,Apr  6 2022,982391
United States,Mar 30 2022,978557
United States,Mar 23 2022,973533
United States,Mar 16 2022,967794
United States,Mar  9 2022,959729
United States,Mar  2 2022,950598
United States,Feb 23 2022,939940
United States,Feb 16 2022,927386
United States,Feb  9 2022,912497
United States,Feb  2 2022,896452
United States,Jan 26 2022,879192
United States,Jan 19 2022,862251
United States,Jan 12 2022,848023
United States,Jan  5 2022,834757
United States,Dec 29 2021,825141
United States,Dec 22 2021,815137
United States,Dec 15 2021,803489
United States,Dec  8 2021,793905
United States,Dec  1 2021,782655
United States,Nov 24 2021,775407
United States,Nov 17 2021,767349
United States,Nov 10 2021,759884
United States,Nov  3 2021,751611
United States,Oct 27 2021,743070
United States,Oct 20 2021,733452
United States,Oct 13 2021,721494
United States,Oct  6 2021,710314
United States,Sep 29 2021,697681
United States,Sep 22 2021,683692
United States,Sep 15 2021,669300
United States,Sep  8 2021,655439
United States,Sep  1 2021,644457
United States,Aug 25 2021,634247
United States,Aug 18 2021,626359
United States,Aug 11 2021,620220
United States,Aug  4 2021,615311
United States,Jul 28 2021,612262
United States,Jul 21 2021,609897
United States,Jul 14 2021,607920
United States,Jul  7 2021,606014
United States,Jun 30 2021,604335
United States,Jun 23 2021,602416
United States,Jun 16 2021,600392
United States,Jun  9 2021,598066
United States,Jun  2 2021,595322
United States,May 26 2021,591620
United States,May 19 2021,587657
United States,May 12 2021,583599
United States,May  5 2021,579236
United States,Apr 28 2021,574142
United States,Apr 21 2021,569093
United States,Apr 14 2021,564028
United States,Apr  7 2021,558717
United States,Mar 31 2021,551592
United States,Mar 24 2021,545263
United States,Mar 17 2021,537969
United States,Mar 10 2021,530455
United States,Mar  3 2021,520652
United States,Feb 24 2021,507019
United States,Feb 17 2021,493161
United States,Feb 10 2021,478824
United States,Feb  3 2021,459687
United States,Jan 27 2021,438503
United States,Jan 20 2021,416012
United States,Jan 13 2021,394450
United States,Jan  6 2021,371078
United States,Dec 30 2020,351751
United States,Dec 23 2020,334837
United States,Dec 16 2020,315523
United States,Dec  9 2020,296988
United States,Dec  2 2020,280416
United States,Nov 25 2020,267796
United States,Nov 18 2020,255101
United States,Nov 11 2020,245376
United States,Nov  4 2020,237016
United States,Oct 28 2020,229763
United States,Oct 21 2020,223492
United States,Oct 14 2020,217516
United States,Oct  7 2020,212206
United States,Sep 30 2020,207203
United States,Sep 23 2020,202045
United States,Sep 16 2020,196600
United States,Sep  9 2020,190826
United States,Sep  2 2020,185604
United States,Aug 26 2020,179499
United States,Aug 19 2020,172905
United States,Aug 12 2020,165889
United States,Aug  5 2020,158580
United States,Jul 29 2020,151206
United States,Jul 22 2020,143669
United States,Jul 15 2020,137556
United States,Jul  8 2020,132120
United States,Jul  1 2020,127649
United States,Jun 24 2020,123789
United States,Jun 17 2020,119706
United States,Jun 10 2020,115103
United States,Jun  3 2020,110018
United States,May 27 2020,103526
United States,May 20 2020,96731
United States,May 13 2020,87221
United States,May  6 2020,76840
United States,Apr 29 2020,64117
United States,Apr 22 2020,50292
United States,Apr 15 2020,34900
United States,Apr  8 2020,19373
United States,Apr  1 2020,6741
United States,Mar 25 2020,1304
United States,Mar 18 2020,150
United States,Mar 11 2020,15
United States,Mar  4 2020,6
United States,Feb 26 2020,0
United States,Feb 19 2020,0
United States,Feb 12 2020,0
United States,Feb  5 2020,0
United States,Jan 29 2020,0
