Data Table for Total Deaths - Utah
Date generated: Mon Dec 05 2022 13:02:09 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Utah,Nov 30 2022,5110
Utah,Nov 23 2022,5089
Utah,Nov 16 2022,5076
Utah,Nov  9 2022,5066
Utah,Nov  2 2022,5056
Utah,Oct 26 2022,5040
Utah,Oct 19 2022,5027
Utah,Oct 12 2022,5027
Utah,Oct  5 2022,5022
Utah,Sep 28 2022,5011
Utah,Sep 21 2022,5001
Utah,Sep 14 2022,4989
Utah,Sep  7 2022,4981
Utah,Aug 31 2022,4968
Utah,Aug 24 2022,4953
Utah,Aug 17 2022,4940
Utah,Aug 10 2022,4940
Utah,Aug  3 2022,4884
Utah,Jul 27 2022,4884
Utah,Jul 20 2022,4868
Utah,Jul 13 2022,4847
Utah,Jul  6 2022,4833
Utah,Jun 29 2022,4817
Utah,Jun 22 2022,4806
Utah,Jun 15 2022,4793
Utah,Jun  8 2022,4784
Utah,Jun  1 2022,4780
Utah,May 25 2022,4768
Utah,May 18 2022,4764
Utah,May 11 2022,4764
Utah,May  4 2022,4752
Utah,Apr 27 2022,4743
Utah,Apr 20 2022,4739
Utah,Apr 13 2022,4737
Utah,Apr  6 2022,4721
Utah,Mar 30 2022,4713
Utah,Mar 23 2022,4646
Utah,Mar 16 2022,4557
Utah,Mar  9 2022,4557
Utah,Mar  2 2022,4440
Utah,Feb 23 2022,4397
Utah,Feb 16 2022,4342
Utah,Feb  9 2022,4243
Utah,Feb  2 2022,4156
Utah,Jan 26 2022,4100
Utah,Jan 19 2022,4006
Utah,Jan 12 2022,3945
Utah,Jan  5 2022,3865
Utah,Dec 29 2021,3792
Utah,Dec 22 2021,3761
Utah,Dec 15 2021,3691
Utah,Dec  8 2021,3622
Utah,Dec  1 2021,3543
Utah,Nov 24 2021,3469
Utah,Nov 17 2021,3398
Utah,Nov 10 2021,3325
Utah,Nov  3 2021,3261
Utah,Oct 27 2021,3177
Utah,Oct 20 2021,3105
Utah,Oct 13 2021,3040
Utah,Oct  6 2021,2971
Utah,Sep 29 2021,2918
Utah,Sep 22 2021,2837
Utah,Sep 15 2021,2759
Utah,Sep  8 2021,2690
Utah,Sep  1 2021,2637
Utah,Aug 25 2021,2602
Utah,Aug 18 2021,2546
Utah,Aug 11 2021,2516
Utah,Aug  4 2021,2477
Utah,Jul 28 2021,2436
Utah,Jul 21 2021,2416
Utah,Jul 14 2021,2401
Utah,Jul  7 2021,2386
Utah,Jun 30 2021,2370
Utah,Jun 23 2021,2337
Utah,Jun 16 2021,2324
Utah,Jun  9 2021,2319
Utah,Jun  2 2021,2306
Utah,May 26 2021,2293
Utah,May 19 2021,2276
Utah,May 12 2021,2250
Utah,May  5 2021,2221
Utah,Apr 28 2021,2193
Utah,Apr 21 2021,2179
Utah,Apr 14 2021,2164
Utah,Apr  7 2021,2142
Utah,Mar 31 2021,2125
Utah,Mar 24 2021,2085
Utah,Mar 17 2021,2037
Utah,Mar 10 2021,1994
Utah,Mar  3 2021,1954
Utah,Feb 24 2021,1880
Utah,Feb 17 2021,1807
Utah,Feb 10 2021,1772
Utah,Feb  3 2021,1700
Utah,Jan 27 2021,1621
Utah,Jan 20 2021,1518
Utah,Jan 13 2021,1440
Utah,Jan  6 2021,1332
Utah,Dec 30 2020,1259
Utah,Dec 23 2020,1198
Utah,Dec 16 2020,1100
Utah,Dec  9 2020,995
Utah,Dec  2 2020,908
Utah,Nov 25 2020,837
Utah,Nov 18 2020,746
Utah,Nov 11 2020,684
Utah,Nov  4 2020,627
Utah,Oct 28 2020,581
Utah,Oct 21 2020,554
Utah,Oct 14 2020,526
Utah,Oct  7 2020,497
Utah,Sep 30 2020,457
Utah,Sep 23 2020,442
Utah,Sep 16 2020,435
Utah,Sep  9 2020,425
Utah,Sep  2 2020,408
Utah,Aug 26 2020,401
Utah,Aug 19 2020,377
Utah,Aug 12 2020,352
Utah,Aug  5 2020,316
Utah,Jul 29 2020,283
Utah,Jul 22 2020,250
Utah,Jul 15 2020,224
Utah,Jul  8 2020,194
Utah,Jul  1 2020,168
Utah,Jun 24 2020,158
Utah,Jun 17 2020,146
Utah,Jun 10 2020,126
Utah,Jun  3 2020,115
Utah,May 27 2020,102
Utah,May 20 2020,88
Utah,May 13 2020,74
Utah,May  6 2020,57
Utah,Apr 29 2020,45
Utah,Apr 22 2020,32
Utah,Apr 15 2020,20
Utah,Apr  8 2020,13
Utah,Apr  1 2020,5
Utah,Mar 25 2020,1
Utah,Mar 18 2020,0
Utah,Mar 11 2020,0
Utah,Mar  4 2020,0
Utah,Feb 26 2020,0
Utah,Feb 19 2020,0
Utah,Feb 12 2020,0
Utah,Feb  5 2020,0
Utah,Jan 29 2020,0
