Data Table for Total Deaths - Vermont
Date generated: Mon Dec 05 2022 13:02:14 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Vermont,Nov 30 2022,770
Vermont,Nov 23 2022,770
Vermont,Nov 16 2022,763
Vermont,Nov  9 2022,763
Vermont,Nov  2 2022,754
Vermont,Oct 26 2022,740
Vermont,Oct 19 2022,734
Vermont,Oct 12 2022,732
Vermont,Oct  5 2022,728
Vermont,Sep 28 2022,719
Vermont,Sep 21 2022,719
Vermont,Sep 14 2022,715
Vermont,Sep  7 2022,715
Vermont,Aug 31 2022,707
Vermont,Aug 24 2022,707
Vermont,Aug 17 2022,702
Vermont,Aug 10 2022,699
Vermont,Aug  3 2022,693
Vermont,Jul 27 2022,693
Vermont,Jul 20 2022,689
Vermont,Jul 13 2022,688
Vermont,Jul  6 2022,687
Vermont,Jun 29 2022,683
Vermont,Jun 22 2022,682
Vermont,Jun 15 2022,679
Vermont,Jun  8 2022,673
Vermont,Jun  1 2022,670
Vermont,May 25 2022,661
Vermont,May 18 2022,654
Vermont,May 11 2022,648
Vermont,May  4 2022,639
Vermont,Apr 27 2022,630
Vermont,Apr 20 2022,630
Vermont,Apr 13 2022,623
Vermont,Apr  6 2022,623
Vermont,Mar 30 2022,619
Vermont,Mar 23 2022,617
Vermont,Mar 16 2022,614
Vermont,Mar  9 2022,609
Vermont,Mar  2 2022,608
Vermont,Feb 23 2022,608
Vermont,Feb 16 2022,601
Vermont,Feb  9 2022,578
Vermont,Feb  2 2022,560
Vermont,Jan 26 2022,539
Vermont,Jan 19 2022,514
Vermont,Jan 12 2022,493
Vermont,Jan  5 2022,484
Vermont,Dec 29 2021,475
Vermont,Dec 22 2021,465
Vermont,Dec 15 2021,452
Vermont,Dec  8 2021,437
Vermont,Dec  1 2021,419
Vermont,Nov 24 2021,410
Vermont,Nov 17 2021,402
Vermont,Nov 10 2021,394
Vermont,Nov  3 2021,383
Vermont,Oct 27 2021,369
Vermont,Oct 20 2021,358
Vermont,Oct 13 2021,351
Vermont,Oct  6 2021,334
Vermont,Sep 29 2021,327
Vermont,Sep 22 2021,309
Vermont,Sep 15 2021,297
Vermont,Sep  8 2021,287
Vermont,Sep  1 2021,283
Vermont,Aug 25 2021,276
Vermont,Aug 18 2021,270
Vermont,Aug 11 2021,265
Vermont,Aug  4 2021,260
Vermont,Jul 28 2021,260
Vermont,Jul 21 2021,260
Vermont,Jul 14 2021,260
Vermont,Jul  7 2021,258
Vermont,Jun 30 2021,258
Vermont,Jun 23 2021,256
Vermont,Jun 16 2021,256
Vermont,Jun  9 2021,256
Vermont,Jun  2 2021,256
Vermont,May 26 2021,255
Vermont,May 19 2021,255
Vermont,May 12 2021,253
Vermont,May  5 2021,250
Vermont,Apr 28 2021,247
Vermont,Apr 21 2021,244
Vermont,Apr 14 2021,243
Vermont,Apr  7 2021,237
Vermont,Mar 31 2021,231
Vermont,Mar 24 2021,223
Vermont,Mar 17 2021,217
Vermont,Mar 10 2021,213
Vermont,Mar  3 2021,207
Vermont,Feb 24 2021,205
Vermont,Feb 17 2021,196
Vermont,Feb 10 2021,191
Vermont,Feb  3 2021,184
Vermont,Jan 27 2021,175
Vermont,Jan 20 2021,173
Vermont,Jan 13 2021,165
Vermont,Jan  6 2021,156
Vermont,Dec 30 2020,146
Vermont,Dec 23 2020,130
Vermont,Dec 16 2020,113
Vermont,Dec  9 2020,97
Vermont,Dec  2 2020,80
Vermont,Nov 25 2020,69
Vermont,Nov 18 2020,63
Vermont,Nov 11 2020,59
Vermont,Nov  4 2020,58
Vermont,Oct 28 2020,58
Vermont,Oct 21 2020,58
Vermont,Oct 14 2020,58
Vermont,Oct  7 2020,58
Vermont,Sep 30 2020,58
Vermont,Sep 23 2020,58
Vermont,Sep 16 2020,58
Vermont,Sep  9 2020,58
Vermont,Sep  2 2020,58
Vermont,Aug 26 2020,58
Vermont,Aug 19 2020,58
Vermont,Aug 12 2020,58
Vermont,Aug  5 2020,58
Vermont,Jul 29 2020,58
Vermont,Jul 22 2020,57
Vermont,Jul 15 2020,57
Vermont,Jul  8 2020,56
Vermont,Jul  1 2020,56
Vermont,Jun 24 2020,56
Vermont,Jun 17 2020,56
Vermont,Jun 10 2020,55
Vermont,Jun  3 2020,55
Vermont,May 27 2020,55
Vermont,May 20 2020,54
Vermont,May 13 2020,53
Vermont,May  6 2020,53
Vermont,Apr 29 2020,49
Vermont,Apr 22 2020,46
Vermont,Apr 15 2020,36
Vermont,Apr  8 2020,27
Vermont,Apr  1 2020,27
Vermont,Mar 25 2020,12
Vermont,Mar 18 2020,0
Vermont,Mar 11 2020,0
Vermont,Mar  4 2020,0
Vermont,Feb 26 2020,0
Vermont,Feb 19 2020,0
Vermont,Feb 12 2020,0
Vermont,Feb  5 2020,0
Vermont,Jan 29 2020,0
