Data Table for Total Deaths - Washington
Date generated: Mon Dec 05 2022 13:02:55 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Washington,Nov 30 2022,14743
Washington,Nov 23 2022,14743
Washington,Nov 16 2022,14702
Washington,Nov  9 2022,14650
Washington,Nov  2 2022,14594
Washington,Oct 26 2022,14545
Washington,Oct 19 2022,14487
Washington,Oct 12 2022,14428
Washington,Oct  5 2022,14366
Washington,Sep 28 2022,14306
Washington,Sep 21 2022,14192
Washington,Sep 14 2022,14103
Washington,Sep  7 2022,13990
Washington,Aug 31 2022,13911
Washington,Aug 24 2022,13720
Washington,Aug 17 2022,13603
Washington,Aug 10 2022,13510
Washington,Aug  3 2022,13182
Washington,Jul 27 2022,12891
Washington,Jul 20 2022,12714
Washington,Jul 13 2022,12655
Washington,Jul  6 2022,12610
Washington,Jun 29 2022,12562
Washington,Jun 22 2022,12510
Washington,Jun 15 2022,12432
Washington,Jun  8 2022,12330
Washington,Jun  1 2022,12179
Washington,May 25 2022,12024
Washington,May 18 2022,11831
Washington,May 11 2022,11614
Washington,May  4 2022,11316
Washington,Apr 27 2022,10966
Washington,Apr 20 2022,10699
Washington,Apr 13 2022,10404
Washington,Apr  6 2022,10196
Washington,Mar 30 2022,10004
Washington,Mar 23 2022,9853
Washington,Mar 16 2022,9783
Washington,Mar  9 2022,9674
Washington,Mar  2 2022,9554
Washington,Feb 23 2022,9413
Washington,Feb 16 2022,9207
Washington,Feb  9 2022,9110
Washington,Feb  2 2022,8933
Washington,Jan 26 2022,8796
Washington,Jan 19 2022,8626
Washington,Jan 12 2022,8450
Washington,Jan  5 2022,8232
Washington,Dec 29 2021,8022
Washington,Dec 22 2021,7765
Washington,Dec 15 2021,7494
Washington,Dec  8 2021,7201
Washington,Dec  1 2021,6915
Washington,Nov 24 2021,6691
Washington,Nov 17 2021,6507
Washington,Nov 10 2021,6356
Washington,Nov  3 2021,6239
Washington,Oct 27 2021,6168
Washington,Oct 20 2021,6122
Washington,Oct 13 2021,6078
Washington,Oct  6 2021,6039
Washington,Sep 29 2021,5996
Washington,Sep 22 2021,5938
Washington,Sep 15 2021,5900
Washington,Sep  8 2021,5819
Washington,Sep  1 2021,5773
Washington,Aug 25 2021,5721
Washington,Aug 18 2021,5673
Washington,Aug 11 2021,5632
Washington,Aug  4 2021,5567
Washington,Jul 28 2021,5523
Washington,Jul 21 2021,5473
Washington,Jul 14 2021,5421
Washington,Jul  7 2021,5376
Washington,Jun 30 2021,5319
Washington,Jun 23 2021,5275
Washington,Jun 16 2021,5216
Washington,Jun  9 2021,5173
Washington,Jun  2 2021,5122
Washington,May 26 2021,5037
Washington,May 19 2021,4951
Washington,May 12 2021,4821
Washington,May  5 2021,4674
Washington,Apr 28 2021,4449
Washington,Apr 21 2021,4285
Washington,Apr 14 2021,4111
Washington,Apr  7 2021,3898
Washington,Mar 31 2021,3696
Washington,Mar 24 2021,3460
Washington,Mar 17 2021,3184
Washington,Mar 10 2021,3104
Washington,Mar  3 2021,2941
Washington,Feb 24 2021,2883
Washington,Feb 17 2021,2731
Washington,Feb 10 2021,2612
Washington,Feb  3 2021,2505
Washington,Jan 27 2021,2422
Washington,Jan 20 2021,2353
Washington,Jan 13 2021,2285
Washington,Jan  6 2021,2221
Washington,Dec 30 2020,2171
Washington,Dec 23 2020,2127
Washington,Dec 16 2020,2106
Washington,Dec  9 2020,2034
Washington,Dec  2 2020,1983
Washington,Nov 25 2020,1948
Washington,Nov 18 2020,1904
Washington,Nov 11 2020,1849
Washington,Nov  4 2020,1802
Washington,Oct 28 2020,1722
Washington,Oct 21 2020,1628
Washington,Oct 14 2020,1537
Washington,Oct  7 2020,1457
Washington,Sep 30 2020,1405
Washington,Sep 23 2020,1342
Washington,Sep 16 2020,1292
Washington,Sep  9 2020,1248
Washington,Sep  2 2020,1209
Washington,Aug 26 2020,1170
Washington,Aug 19 2020,1123
Washington,Aug 12 2020,1084
Washington,Aug  5 2020,1035
Washington,Jul 29 2020,968
Washington,Jul 22 2020,874
Washington,Jul 15 2020,799
Washington,Jul  8 2020,690
Washington,Jul  1 2020,562
Washington,Jun 24 2020,426
Washington,Jun 17 2020,198
Washington,Jun 10 2020,95
Washington,Jun  3 2020,40
Washington,May 27 2020,18
Washington,May 20 2020,5
Washington,May 13 2020,5
Washington,May  6 2020,5
Washington,Apr 29 2020,5
Washington,Apr 22 2020,5
Washington,Apr 15 2020,5
Washington,Apr  8 2020,5
Washington,Apr  1 2020,5
Washington,Mar 25 2020,5
Washington,Mar 18 2020,5
Washington,Mar 11 2020,5
Washington,Mar  4 2020,5
Washington,Feb 26 2020,0
Washington,Feb 19 2020,0
Washington,Feb 12 2020,0
Washington,Feb  5 2020,0
Washington,Jan 29 2020,0
