Data Table for Total Deaths - Wisconsin
Date generated: Mon Dec 05 2022 13:03:22 GMT-0500 (Eastern Standard Time)
Geography,Date,Total Deaths
Wisconsin,Nov 30 2022,15609
Wisconsin,Nov 23 2022,15589
Wisconsin,Nov 16 2022,15555
Wisconsin,Nov  9 2022,15507
Wisconsin,Nov  2 2022,15479
Wisconsin,Oct 26 2022,15416
Wisconsin,Oct 19 2022,15377
Wisconsin,Oct 12 2022,15323
Wisconsin,Oct  5 2022,15281
Wisconsin,Sep 28 2022,15253
Wisconsin,Sep 21 2022,15214
Wisconsin,Sep 14 2022,15159
Wisconsin,Sep  7 2022,15103
Wisconsin,Aug 31 2022,15071
Wisconsin,Aug 24 2022,15026
Wisconsin,Aug 17 2022,14995
Wisconsin,Aug 10 2022,14964
Wisconsin,Aug  3 2022,14941
Wisconsin,Jul 27 2022,14910
Wisconsin,Jul 20 2022,14863
Wisconsin,Jul 13 2022,14844
Wisconsin,Jul  6 2022,14821
Wisconsin,Jun 29 2022,14788
Wisconsin,Jun 22 2022,14741
Wisconsin,Jun 15 2022,14707
Wisconsin,Jun  8 2022,14668
Wisconsin,Jun  1 2022,14614
Wisconsin,May 25 2022,14568
Wisconsin,May 18 2022,14511
Wisconsin,May 11 2022,14488
Wisconsin,May  4 2022,14440
Wisconsin,Apr 27 2022,14408
Wisconsin,Apr 20 2022,14397
Wisconsin,Apr 13 2022,14379
Wisconsin,Apr  6 2022,14334
Wisconsin,Mar 30 2022,14293
Wisconsin,Mar 23 2022,14102
Wisconsin,Mar 16 2022,13868
Wisconsin,Mar  9 2022,13616
Wisconsin,Mar  2 2022,13400
Wisconsin,Feb 23 2022,13155
Wisconsin,Feb 16 2022,12991
Wisconsin,Feb  9 2022,12784
Wisconsin,Feb  2 2022,12509
Wisconsin,Jan 26 2022,12154
Wisconsin,Jan 19 2022,11825
Wisconsin,Jan 12 2022,11558
Wisconsin,Jan  5 2022,11319
Wisconsin,Dec 29 2021,11118
Wisconsin,Dec 22 2021,10894
Wisconsin,Dec 15 2021,10544
Wisconsin,Dec  8 2021,10260
Wisconsin,Dec  1 2021,10047
Wisconsin,Nov 24 2021,9921
Wisconsin,Nov 17 2021,9776
Wisconsin,Nov 10 2021,9639
Wisconsin,Nov  3 2021,9495
Wisconsin,Oct 27 2021,9370
Wisconsin,Oct 20 2021,9207
Wisconsin,Oct 13 2021,9124
Wisconsin,Oct  6 2021,8970
