Data Table for Weekly Case Trends - Alabama
Date generated: Mon Dec 05 2022 12:34:59 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Alabama,Nov 30 2022,4186,0
Alabama,Nov 23 2022,2872,0
Alabama,Nov 16 2022,1898,0
Alabama,Nov  9 2022,6042,0
Alabama,Nov  2 2022,2982,0
Alabama,Oct 26 2022,2566,0
Alabama,Oct 19 2022,3015,0
Alabama,Oct 12 2022,3589,0
Alabama,Oct  5 2022,4231,0
Alabama,Sep 28 2022,5770,0
Alabama,Sep 21 2022,7954,0
Alabama,Sep 14 2022,9880,0
Alabama,Sep  7 2022,14695,0
Alabama,Aug 31 2022,15672,0
Alabama,Aug 24 2022,14121,0
Alabama,Aug 17 2022,13354,0
Alabama,Aug 10 2022,12047,0
Alabama,Aug  3 2022,5336,0
Alabama,Jul 27 2022,17182,0
Alabama,Jul 20 2022,17057,0
Alabama,Jul 13 2022,17266,0
Alabama,Jul  6 2022,12230,0
Alabama,Jun 29 2022,13190,0
Alabama,Jun 22 2022,10698,0
Alabama,Jun 15 2022,8495,0
Alabama,Jun  8 2022,7023,0
Alabama,Jun  1 2022,5413,0
Alabama,May 25 2022,3859,0
Alabama,May 18 2022,2835,0
Alabama,May 11 2022,2023,0
Alabama,May  4 2022,1530,0
Alabama,Apr 27 2022,1637,0
Alabama,Apr 20 2022,1245,0
Alabama,Apr 13 2022,1106,0
Alabama,Apr  6 2022,1271,0
Alabama,Mar 30 2022,3088,0
Alabama,Mar 23 2022,1789,0
Alabama,Mar 16 2022,2315,0
Alabama,Mar  9 2022,6217,0
Alabama,Mar  2 2022,6249,0
Alabama,Feb 23 2022,7449,0
Alabama,Feb 16 2022,13876,0
Alabama,Feb  9 2022,24732,0
Alabama,Feb  2 2022,67370,0
Alabama,Jan 26 2022,73560,0
Alabama,Jan 19 2022,83748,0
Alabama,Jan 12 2022,72372,0
Alabama,Jan  5 2022,51943,0
Alabama,Dec 29 2021,19197,0
Alabama,Dec 22 2021,6226,0
Alabama,Dec 15 2021,4786,0
Alabama,Dec  8 2021,3792,0
Alabama,Dec  1 2021,2100,0
Alabama,Nov 24 2021,3272,0
Alabama,Nov 17 2021,3595,0
Alabama,Nov 10 2021,3858,0
Alabama,Nov  3 2021,4838,0
Alabama,Oct 27 2021,12645,0
Alabama,Oct 20 2021,5498,0
Alabama,Oct 13 2021,6249,0
Alabama,Oct  6 2021,9478,0
Alabama,Sep 29 2021,16224,0
Alabama,Sep 22 2021,20656,0
Alabama,Sep 15 2021,25739,0
Alabama,Sep  8 2021,27734,0
Alabama,Sep  1 2021,38767,0
Alabama,Aug 25 2021,19802,0
Alabama,Aug 18 2021,26099,0
Alabama,Aug 11 2021,23936,0
Alabama,Aug  4 2021,18353,0
Alabama,Jul 28 2021,13519,0
Alabama,Jul 21 2021,7331,0
Alabama,Jul 14 2021,3702,0
Alabama,Jul  7 2021,1932,0
Alabama,Jun 30 2021,1583,0
Alabama,Jun 23 2021,1091,0
Alabama,Jun 16 2021,1476,0
Alabama,Jun  9 2021,2241,0
Alabama,Jun  2 2021,1760,0
Alabama,May 26 2021,1938,0
Alabama,May 19 2021,9142,0
Alabama,May 12 2021,2289,0
Alabama,May  5 2021,2374,0
Alabama,Apr 28 2021,2780,0
Alabama,Apr 21 2021,3546,0
Alabama,Apr 14 2021,3311,0
Alabama,Apr  7 2021,2095,0
Alabama,Mar 31 2021,2684,0
Alabama,Mar 24 2021,3204,0
Alabama,Mar 17 2021,8065,0
Alabama,Mar 10 2021,4256,0
Alabama,Mar  3 2021,6979,0
Alabama,Feb 24 2021,6988,0
Alabama,Feb 17 2021,7162,0
Alabama,Feb 10 2021,10954,0
Alabama,Feb  3 2021,15974,0
Alabama,Jan 27 2021,19432,0
Alabama,Jan 20 2021,18659,0
Alabama,Jan 13 2021,26811,0
Alabama,Jan  6 2021,27365,0
Alabama,Dec 30 2020,22251,0
Alabama,Dec 23 2020,28929,0
Alabama,Dec 16 2020,25453,0
Alabama,Dec  9 2020,23359,0
Alabama,Dec  2 2020,17510,0
Alabama,Nov 25 2020,15830,0
Alabama,Nov 18 2020,14851,0
Alabama,Nov 11 2020,9710,0
Alabama,Nov  4 2020,10152,0
Alabama,Oct 28 2020,12170,0
Alabama,Oct 21 2020,7985,0
Alabama,Oct 14 2020,7535,0
Alabama,Oct  7 2020,6313,0
Alabama,Sep 30 2020,7875,0
Alabama,Sep 23 2020,6474,0
Alabama,Sep 16 2020,6362,0
Alabama,Sep  9 2020,5821,0
Alabama,Sep  2 2020,8336,0
Alabama,Aug 26 2020,8208,0
Alabama,Aug 19 2020,7477,0
Alabama,Aug 12 2020,8896,0
Alabama,Aug  5 2020,10671,0
Alabama,Jul 29 2020,12058,0
Alabama,Jul 22 2020,12400,0
Alabama,Jul 15 2020,12045,0
Alabama,Jul  8 2020,8502,0
Alabama,Jul  1 2020,6769,0
Alabama,Jun 24 2020,4937,0
Alabama,Jun 17 2020,5282,0
Alabama,Jun 10 2020,3705,0
Alabama,Jun  3 2020,2691,0
Alabama,May 27 2020,3077,0
Alabama,May 20 2020,2364,0
Alabama,May 13 2020,2053,0
Alabama,May  6 2020,1790,0
Alabama,Apr 29 2020,1287,0
Alabama,Apr 22 2020,1385,0
Alabama,Apr 15 2020,1693,0
Alabama,Apr  8 2020,1439,0
Alabama,Apr  1 2020,703,0
Alabama,Mar 25 2020,411,0
Alabama,Mar 18 2020,58,0
Alabama,Mar 11 2020,3,0
Alabama,Mar  4 2020,0,0
Alabama,Feb 26 2020,0,0
Alabama,Feb 19 2020,0,0
Alabama,Feb 12 2020,0,0
Alabama,Feb  5 2020,0,0
Alabama,Jan 29 2020,0,0
