Data Table for Weekly Case Trends - Alaska
Date generated: Mon Dec 05 2022 12:35:11 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Alaska,Nov 30 2022,398,0
Alaska,Nov 23 2022,430,0
Alaska,Nov 16 2022,390,0
Alaska,Nov  9 2022,199,0
Alaska,Nov  2 2022,359,0
Alaska,Oct 26 2022,379,0
Alaska,Oct 19 2022,347,0
Alaska,Oct 12 2022,511,0
Alaska,Oct  5 2022,637,0
Alaska,Sep 28 2022,550,0
Alaska,Sep 21 2022,644,0
Alaska,Sep 14 2022,950,0
Alaska,Sep  7 2022,879,0
Alaska,Aug 31 2022,1208,0
Alaska,Aug 24 2022,1673,0
Alaska,Aug 17 2022,1465,0
Alaska,Aug 10 2022,1868,0
Alaska,Aug  3 2022,2573,0
Alaska,Jul 27 2022,2050,0
Alaska,Jul 20 2022,2345,0
Alaska,Jul 13 2022,2133,0
Alaska,Jul  6 2022,1988,0
Alaska,Jun 29 2022,2766,0
Alaska,Jun 22 2022,2137,0
Alaska,Jun 15 2022,1982,0
Alaska,Jun  8 2022,2057,0
Alaska,Jun  1 2022,1944,0
Alaska,May 25 2022,1881,0
Alaska,May 18 2022,1697,0
Alaska,May 11 2022,1539,0
Alaska,May  4 2022,1417,0
Alaska,Apr 27 2022,1425,0
Alaska,Apr 20 2022,1513,0
Alaska,Apr 13 2022,1237,0
Alaska,Apr  6 2022,1377,0
Alaska,Mar 30 2022,1445,0
Alaska,Mar 23 2022,1423,0
Alaska,Mar 16 2022,1407,0
Alaska,Mar  9 2022,2440,0
Alaska,Mar  2 2022,2091,0
Alaska,Feb 23 2022,2684,0
Alaska,Feb 16 2022,3958,0
Alaska,Feb  9 2022,8117,0
Alaska,Feb  2 2022,13422,0
Alaska,Jan 26 2022,16839,0
Alaska,Jan 19 2022,15735,0
Alaska,Jan 12 2022,12166,0
Alaska,Jan  5 2022,5523,0
Alaska,Dec 29 2021,2080,0
Alaska,Dec 22 2021,1046,0
Alaska,Dec 15 2021,1219,0
Alaska,Dec  8 2021,1510,0
Alaska,Dec  1 2021,1716,0
Alaska,Nov 24 2021,2349,0
Alaska,Nov 17 2021,2919,0
Alaska,Nov 10 2021,3391,0
Alaska,Nov  3 2021,4134,0
Alaska,Oct 27 2021,4625,0
Alaska,Oct 20 2021,5530,0
Alaska,Oct 13 2021,6177,0
Alaska,Oct  6 2021,5744,0
Alaska,Sep 29 2021,8436,0
Alaska,Sep 22 2021,6258,0
Alaska,Sep 15 2021,4887,0
Alaska,Sep  8 2021,4264,0
Alaska,Sep  1 2021,3651,0
Alaska,Aug 25 2021,3357,0
Alaska,Aug 18 2021,3001,0
Alaska,Aug 11 2021,2112,0
Alaska,Aug  4 2021,1892,0
Alaska,Jul 28 2021,1546,0
Alaska,Jul 21 2021,1199,0
Alaska,Jul 14 2021,572,0
Alaska,Jul  7 2021,313,0
Alaska,Jun 30 2021,257,0
Alaska,Jun 23 2021,237,0
Alaska,Jun 16 2021,155,0
Alaska,Jun  9 2021,185,0
Alaska,Jun  2 2021,230,0
Alaska,May 26 2021,297,0
Alaska,May 19 2021,453,0
Alaska,May 12 2021,565,0
Alaska,May  5 2021,731,0
Alaska,Apr 28 2021,1042,0
Alaska,Apr 21 2021,1146,0
Alaska,Apr 14 2021,1113,0
Alaska,Apr  7 2021,1208,0
Alaska,Mar 31 2021,1186,0
Alaska,Mar 24 2021,944,0
Alaska,Mar 17 2021,914,0
Alaska,Mar 10 2021,910,0
Alaska,Mar  3 2021,876,0
Alaska,Feb 24 2021,885,0
Alaska,Feb 17 2021,807,0
Alaska,Feb 10 2021,989,0
Alaska,Feb  3 2021,946,0
Alaska,Jan 27 2021,1181,0
Alaska,Jan 20 2021,1377,0
Alaska,Jan 13 2021,1973,0
Alaska,Jan  6 2021,2026,0
Alaska,Dec 30 2020,1724,0
Alaska,Dec 23 2020,2223,0
Alaska,Dec 16 2020,3417,0
Alaska,Dec  9 2020,4622,0
Alaska,Dec  2 2020,4524,0
Alaska,Nov 25 2020,4112,0
Alaska,Nov 18 2020,4316,0
Alaska,Nov 11 2020,3598,0
Alaska,Nov  4 2020,2727,0
Alaska,Oct 28 2020,2614,0
Alaska,Oct 21 2020,1538,0
Alaska,Oct 14 2020,1341,0
Alaska,Oct  7 2020,1020,0
Alaska,Sep 30 2020,833,0
Alaska,Sep 23 2020,642,0
Alaska,Sep 16 2020,529,0
Alaska,Sep  9 2020,547,0
Alaska,Sep  2 2020,474,0
Alaska,Aug 26 2020,465,0
Alaska,Aug 19 2020,558,0
Alaska,Aug 12 2020,491,0
Alaska,Aug  5 2020,601,0
Alaska,Jul 29 2020,684,0
Alaska,Jul 22 2020,508,0
Alaska,Jul 15 2020,421,0
Alaska,Jul  8 2020,253,0
Alaska,Jul  1 2020,199,0
Alaska,Jun 24 2020,108,0
Alaska,Jun 17 2020,97,0
Alaska,Jun 10 2020,98,0
Alaska,Jun  3 2020,91,0
Alaska,May 27 2020,23,0
Alaska,May 20 2020,15,0
Alaska,May 13 2020,15,0
