Data Table for Weekly Case Trends - Delaware
Date generated: Mon Dec 05 2022 12:37:55 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Delaware,Nov 30 2022,887,0
Delaware,Nov 23 2022,696,0
Delaware,Nov 16 2022,753,0
Delaware,Nov  9 2022,965,0
Delaware,Nov  2 2022,930,0
Delaware,Oct 26 2022,984,0
Delaware,Oct 19 2022,976,0
Delaware,Oct 12 2022,1130,0
Delaware,Oct  5 2022,1135,0
Delaware,Sep 28 2022,1448,0
Delaware,Sep 21 2022,1462,0
Delaware,Sep 14 2022,1409,0
Delaware,Sep  7 2022,1228,0
Delaware,Aug 31 2022,1461,0
Delaware,Aug 24 2022,1879,0
Delaware,Aug 17 2022,1982,0
Delaware,Aug 10 2022,2124,0
Delaware,Aug  3 2022,2351,0
Delaware,Jul 27 2022,2431,0
Delaware,Jul 20 2022,2291,0
Delaware,Jul 13 2022,2057,0
Delaware,Jul  6 2022,1693,0
Delaware,Jun 29 2022,1766,0
Delaware,Jun 22 2022,1671,0
Delaware,Jun 15 2022,1941,0
Delaware,Jun  8 2022,2629,0
Delaware,Jun  1 2022,3184,0
Delaware,May 25 2022,4081,0
Delaware,May 18 2022,3849,0
Delaware,May 11 2022,2693,0
Delaware,May  4 2022,1588,0
Delaware,Apr 27 2022,1265,0
Delaware,Apr 20 2022,1150,0
Delaware,Apr 13 2022,908,0
Delaware,Apr  6 2022,568,0
Delaware,Mar 30 2022,463,0
Delaware,Mar 23 2022,434,0
Delaware,Mar 16 2022,477,0
Delaware,Mar  9 2022,655,0
Delaware,Mar  2 2022,693,0
Delaware,Feb 23 2022,1242,0
Delaware,Feb 16 2022,1913,0
Delaware,Feb  9 2022,3106,0
Delaware,Feb  2 2022,5846,0
Delaware,Jan 26 2022,11178,0
Delaware,Jan 19 2022,17184,0
Delaware,Jan 12 2022,23308,0
Delaware,Jan  5 2022,18513,0
Delaware,Dec 29 2021,7432,0
Delaware,Dec 22 2021,5144,0
Delaware,Dec 15 2021,4472,0
Delaware,Dec  8 2021,3915,0
Delaware,Dec  1 2021,2619,0
Delaware,Nov 24 2021,2486,0
Delaware,Nov 17 2021,2161,0
Delaware,Nov 10 2021,1672,0
Delaware,Nov  3 2021,1781,0
Delaware,Oct 27 2021,1995,0
Delaware,Oct 20 2021,2494,0
Delaware,Oct 13 2021,2728,0
Delaware,Oct  6 2021,3231,0
Delaware,Sep 29 2021,3086,0
Delaware,Sep 22 2021,3167,0
Delaware,Sep 15 2021,3077,0
Delaware,Sep  8 2021,2747,0
Delaware,Sep  1 2021,2557,0
Delaware,Aug 25 2021,2279,0
Delaware,Aug 18 2021,1986,0
Delaware,Aug 11 2021,1307,0
Delaware,Aug  4 2021,829,0
Delaware,Jul 28 2021,462,0
Delaware,Jul 21 2021,314,0
Delaware,Jul 14 2021,244,0
Delaware,Jul  7 2021,163,0
Delaware,Jun 30 2021,140,0
Delaware,Jun 23 2021,184,0
Delaware,Jun 16 2021,189,0
Delaware,Jun  9 2021,299,0
Delaware,Jun  2 2021,374,0
Delaware,May 26 2021,594,0
Delaware,May 19 2021,803,0
Delaware,May 12 2021,1026,0
Delaware,May  5 2021,1480,0
Delaware,Apr 28 2021,1812,0
Delaware,Apr 21 2021,2423,0
Delaware,Apr 14 2021,2346,0
Delaware,Apr  7 2021,2180,0
Delaware,Mar 31 2021,1959,0
Delaware,Mar 24 2021,1574,0
Delaware,Mar 17 2021,1289,0
Delaware,Mar 10 2021,1439,0
Delaware,Mar  3 2021,1955,0
Delaware,Feb 24 2021,1867,0
Delaware,Feb 17 2021,2202,0
Delaware,Feb 10 2021,2555,0
Delaware,Feb  3 2021,3127,0
Delaware,Jan 27 2021,4012,0
Delaware,Jan 20 2021,4708,0
Delaware,Jan 13 2021,5580,0
Delaware,Jan  6 2021,5291,0
Delaware,Dec 30 2020,4441,0
Delaware,Dec 23 2020,4398,0
Delaware,Dec 16 2020,5672,0
Delaware,Dec  9 2020,5670,0
Delaware,Dec  2 2020,3709,0
Delaware,Nov 25 2020,3183,0
Delaware,Nov 18 2020,2408,0
Delaware,Nov 11 2020,1781,0
Delaware,Nov  4 2020,1124,0
Delaware,Oct 28 2020,996,0
Delaware,Oct 21 2020,912,0
Delaware,Oct 14 2020,901,0
Delaware,Oct  7 2020,987,0
Delaware,Sep 30 2020,755,0
Delaware,Sep 23 2020,682,0
Delaware,Sep 16 2020,729,0
Delaware,Sep  9 2020,660,0
Delaware,Sep  2 2020,669,0
Delaware,Aug 26 2020,518,0
Delaware,Aug 19 2020,477,0
Delaware,Aug 12 2020,468,0
Delaware,Aug  5 2020,611,0
Delaware,Jul 29 2020,771,0
Delaware,Jul 22 2020,679,0
Delaware,Jul 15 2020,939,0
Delaware,Jul  8 2020,902,0
Delaware,Jul  1 2020,695,0
Delaware,Jun 24 2020,382,0
Delaware,Jun 17 2020,408,0
Delaware,Jun 10 2020,388,0
Delaware,Jun  3 2020,605,0
Delaware,May 27 2020,770,0
Delaware,May 20 2020,1104,0
Delaware,May 13 2020,1294,0
Delaware,May  6 2020,1181,0
Delaware,Apr 29 2020,1480,0
Delaware,Apr 22 2020,1222,0
Delaware,Apr 15 2020,938,0
Delaware,Apr  8 2020,686,0
Delaware,Apr  1 2020,279,0
Delaware,Mar 25 2020,125,0
Delaware,Mar 18 2020,12,0
Delaware,Mar 11 2020,0,0
Delaware,Mar  4 2020,0,0
Delaware,Feb 26 2020,2,0
Delaware,Feb 19 2020,1,0
Delaware,Feb 12 2020,1,0
Delaware,Feb  5 2020,3,0
Delaware,Jan 29 2020,1,0
