Data Table for Weekly Case Trends - Georgia
Date generated: Mon Dec 05 2022 12:39:21 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Georgia,Nov 30 2022,6244,0
Georgia,Nov 23 2022,4062,0
Georgia,Nov 16 2022,3793,0
Georgia,Nov  9 2022,4727,0
Georgia,Nov  2 2022,4063,0
Georgia,Oct 26 2022,3375,0
Georgia,Oct 19 2022,3949,0
Georgia,Oct 12 2022,3655,0
Georgia,Oct  5 2022,4392,0
Georgia,Sep 28 2022,5038,0
Georgia,Sep 21 2022,7319,0
Georgia,Sep 14 2022,9627,0
Georgia,Sep  7 2022,12670,0
Georgia,Aug 31 2022,17905,0
Georgia,Aug 24 2022,23422,0
Georgia,Aug 17 2022,25766,0
Georgia,Aug 10 2022,24937,0
Georgia,Aug  3 2022,27665,0
Georgia,Jul 27 2022,29524,0
Georgia,Jul 20 2022,27231,0
Georgia,Jul 13 2022,26603,0
Georgia,Jul  6 2022,19989,0
Georgia,Jun 29 2022,20971,0
Georgia,Jun 22 2022,18436,0
Georgia,Jun 15 2022,19387,0
Georgia,Jun  8 2022,17715,0
Georgia,Jun  1 2022,15043,0
Georgia,May 25 2022,14332,0
Georgia,May 18 2022,10939,0
Georgia,May 11 2022,9360,0
Georgia,May  4 2022,6687,0
Georgia,Apr 27 2022,6082,0
Georgia,Apr 20 2022,4079,0
Georgia,Apr 13 2022,3269,0
Georgia,Apr  6 2022,5711,0
Georgia,Mar 30 2022,12183,0
Georgia,Mar 23 2022,4000,0
Georgia,Mar 16 2022,5700,0
Georgia,Mar  9 2022,5979,0
Georgia,Mar  2 2022,8832,0
Georgia,Feb 23 2022,12396,0
Georgia,Feb 16 2022,21527,0
Georgia,Feb  9 2022,38640,0
Georgia,Feb  2 2022,80275,0
Georgia,Jan 26 2022,182097,0
Georgia,Jan 19 2022,113855,0
Georgia,Jan 12 2022,81131,0
Georgia,Jan  5 2022,136921,0
Georgia,Dec 29 2021,77929,0
Georgia,Dec 22 2021,27766,0
Georgia,Dec 15 2021,10882,0
Georgia,Dec  8 2021,9338,0
Georgia,Dec  1 2021,6626,0
Georgia,Nov 24 2021,7526,0
Georgia,Nov 17 2021,6959,0
Georgia,Nov 10 2021,6390,0
Georgia,Nov  3 2021,7258,0
Georgia,Oct 27 2021,8971,0
Georgia,Oct 20 2021,10683,0
Georgia,Oct 13 2021,18013,0
Georgia,Oct  6 2021,19844,0
