Data Table for Weekly Case Trends - Idaho
Date generated: Mon Dec 05 2022 12:39:50 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Idaho,Nov 30 2022,1462,0
Idaho,Nov 23 2022,1424,0
Idaho,Nov 16 2022,1241,0
Idaho,Nov  9 2022,1246,0
Idaho,Nov  2 2022,1031,0
Idaho,Oct 26 2022,1039,0
Idaho,Oct 19 2022,1079,0
Idaho,Oct 12 2022,1110,0
Idaho,Oct  5 2022,1116,0
Idaho,Sep 28 2022,1404,0
Idaho,Sep 21 2022,1500,0
Idaho,Sep 14 2022,1634,0
Idaho,Sep  7 2022,1546,0
Idaho,Aug 31 2022,2071,0
Idaho,Aug 24 2022,1840,0
Idaho,Aug 17 2022,2234,0
Idaho,Aug 10 2022,2649,0
Idaho,Aug  3 2022,2922,0
Idaho,Jul 27 2022,3534,0
Idaho,Jul 20 2022,3693,0
Idaho,Jul 13 2022,4450,0
Idaho,Jul  6 2022,3028,0
Idaho,Jun 29 2022,3455,0
Idaho,Jun 22 2022,2498,0
Idaho,Jun 15 2022,2449,0
Idaho,Jun  8 2022,2492,0
Idaho,Jun  1 2022,1748,0
Idaho,May 25 2022,1583,0
Idaho,May 18 2022,1214,0
Idaho,May 11 2022,992,0
Idaho,May  4 2022,728,0
Idaho,Apr 27 2022,472,0
Idaho,Apr 20 2022,441,0
Idaho,Apr 13 2022,382,0
Idaho,Apr  6 2022,612,0
Idaho,Mar 30 2022,639,0
Idaho,Mar 23 2022,2534,0
Idaho,Mar 16 2022,4721,0
Idaho,Mar  9 2022,6546,0
Idaho,Mar  2 2022,10305,0
Idaho,Feb 23 2022,10037,0
Idaho,Feb 16 2022,11263,0
Idaho,Feb  9 2022,13127,0
Idaho,Feb  2 2022,16076,0
Idaho,Jan 26 2022,19716,0
Idaho,Jan 19 2022,14863,0
Idaho,Jan 12 2022,10121,0
Idaho,Jan  5 2022,5507,0
Idaho,Dec 29 2021,3188,0
Idaho,Dec 22 2021,2229,0
Idaho,Dec 15 2021,2380,0
Idaho,Dec  8 2021,3099,0
Idaho,Dec  1 2021,2432,0
