Data Table for Weekly Case Trends - Indiana
Date generated: Mon Dec 05 2022 12:40:25 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Indiana,Nov 30 2022,6336,0
Indiana,Nov 23 2022,5924,0
Indiana,Nov 16 2022,5478,0
Indiana,Nov  9 2022,5311,0
Indiana,Nov  2 2022,5143,0
Indiana,Oct 26 2022,4463,0
Indiana,Oct 19 2022,7457,0
Indiana,Oct 12 2022,0,0
Indiana,Oct  5 2022,3652,0
Indiana,Sep 28 2022,4131,0
Indiana,Sep 21 2022,5299,0
Indiana,Sep 14 2022,7334,0
Indiana,Sep  7 2022,9430,0
Indiana,Aug 31 2022,13272,0
Indiana,Aug 24 2022,15018,0
Indiana,Aug 17 2022,13478,0
Indiana,Aug 10 2022,16343,0
Indiana,Aug  3 2022,14392,0
Indiana,Jul 27 2022,15853,0
Indiana,Jul 20 2022,12836,0
Indiana,Jul 13 2022,12342,0
Indiana,Jul  6 2022,10082,0
Indiana,Jun 29 2022,10127,0
Indiana,Jun 22 2022,8950,0
Indiana,Jun 15 2022,7986,0
Indiana,Jun  8 2022,9549,0
Indiana,Jun  1 2022,7753,0
Indiana,May 25 2022,9323,0
Indiana,May 18 2022,7222,0
Indiana,May 11 2022,5888,0
Indiana,May  4 2022,4615,0
Indiana,Apr 27 2022,5034,0
Indiana,Apr 20 2022,2171,0
Indiana,Apr 13 2022,1322,0
Indiana,Apr  6 2022,1200,0
Indiana,Mar 30 2022,1381,0
Indiana,Mar 23 2022,1746,0
Indiana,Mar 16 2022,1922,0
Indiana,Mar  9 2022,3329,0
Indiana,Mar  2 2022,4037,0
Indiana,Feb 23 2022,7329,0
Indiana,Feb 16 2022,16171,0
Indiana,Feb  9 2022,19106,0
Indiana,Feb  2 2022,61215,0
Indiana,Jan 26 2022,84304,0
Indiana,Jan 19 2022,96929,0
Indiana,Jan 12 2022,94094,0
Indiana,Jan  5 2022,64561,0
Indiana,Dec 29 2021,33993,0
Indiana,Dec 22 2021,29971,0
Indiana,Dec 15 2021,30804,0
Indiana,Dec  8 2021,32962,0
Indiana,Dec  1 2021,22701,0
Indiana,Nov 24 2021,22697,0
Indiana,Nov 17 2021,18193,0
Indiana,Nov 10 2021,14259,0
Indiana,Nov  3 2021,11547,0
Indiana,Oct 27 2021,11288,0
Indiana,Oct 20 2021,12506,0
Indiana,Oct 13 2021,15247,0
Indiana,Oct  6 2021,17747,0
Indiana,Sep 29 2021,18875,0
Indiana,Sep 22 2021,23439,0
Indiana,Sep 15 2021,29441,0
Indiana,Sep  8 2021,26314,0
Indiana,Sep  1 2021,28967,0
Indiana,Aug 25 2021,24423,0
Indiana,Aug 18 2021,18619,0
Indiana,Aug 11 2021,13502,0
Indiana,Aug  4 2021,8799,0
Indiana,Jul 28 2021,5788,0
Indiana,Jul 21 2021,3776,0
Indiana,Jul 14 2021,2983,0
Indiana,Jul  7 2021,2150,0
Indiana,Jun 30 2021,1818,0
Indiana,Jun 23 2021,1942,0
Indiana,Jun 16 2021,2366,0
Indiana,Jun  9 2021,3323,0
Indiana,Jun  2 2021,2780,0
Indiana,May 26 2021,4417,0
Indiana,May 19 2021,5472,0
Indiana,May 12 2021,6451,0
Indiana,May  5 2021,7796,0
Indiana,Apr 28 2021,6952,0
Indiana,Apr 21 2021,8639,0
Indiana,Apr 14 2021,8519,0
Indiana,Apr  7 2021,6960,0
Indiana,Mar 31 2021,6452,0
Indiana,Mar 24 2021,5607,0
Indiana,Mar 17 2021,5269,0
Indiana,Mar 10 2021,5654,0
Indiana,Mar  3 2021,5466,0
Indiana,Feb 24 2021,6592,0
Indiana,Feb 17 2021,8148,0
Indiana,Feb 10 2021,11972,0
Indiana,Feb  3 2021,14157,0
Indiana,Jan 27 2021,18863,0
Indiana,Jan 20 2021,24194,0
Indiana,Jan 13 2021,34890,0
Indiana,Jan  6 2021,34209,0
Indiana,Dec 30 2020,28482,0
Indiana,Dec 23 2020,35688,0
Indiana,Dec 16 2020,42433,0
Indiana,Dec  9 2020,47443,0
Indiana,Dec  2 2020,38453,0
Indiana,Nov 25 2020,44299,0
Indiana,Nov 18 2020,43848,0
Indiana,Nov 11 2020,32610,0
Indiana,Nov  4 2020,22652,0
Indiana,Oct 28 2020,16716,0
Indiana,Oct 21 2020,13127,0
Indiana,Oct 14 2020,11030,0
Indiana,Oct  7 2020,8217,0
Indiana,Sep 30 2020,6687,0
Indiana,Sep 23 2020,5521,0
Indiana,Sep 16 2020,6327,0
Indiana,Sep  9 2020,5734,0
Indiana,Sep  2 2020,6391,0
Indiana,Aug 26 2020,7027,0
Indiana,Aug 19 2020,5807,0
Indiana,Aug 12 2020,6562,0
Indiana,Aug  5 2020,5670,0
Indiana,Jul 29 2020,5619,0
Indiana,Jul 22 2020,5316,0
Indiana,Jul 15 2020,4291,0
Indiana,Jul  8 2020,3119,0
Indiana,Jul  1 2020,2813,0
Indiana,Jun 24 2020,2148,0
Indiana,Jun 17 2020,2652,0
Indiana,Jun 10 2020,2625,0
Indiana,Jun  3 2020,3280,0
Indiana,May 27 2020,3156,0
Indiana,May 20 2020,3798,0
Indiana,May 13 2020,3609,0
Indiana,May  6 2020,4699,0
Indiana,Apr 29 2020,4727,0
Indiana,Apr 22 2020,3494,0
Indiana,Apr 15 2020,3004,0
Indiana,Apr  8 2020,3383,0
Indiana,Apr  1 2020,2084,0
Indiana,Mar 25 2020,441,0
Indiana,Mar 18 2020,27,0
Indiana,Mar 11 2020,11,0
Indiana,Mar  4 2020,0,0
Indiana,Feb 26 2020,0,0
Indiana,Feb 19 2020,0,0
Indiana,Feb 12 2020,0,0
Indiana,Feb  5 2020,0,0
Indiana,Jan 29 2020,0,0
