Data Table for Weekly Case Trends - Massachusetts
Date generated: Mon Dec 05 2022 12:42:16 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Massachusetts,Nov 30 2022,5830,0
Massachusetts,Nov 23 2022,5266,0
Massachusetts,Nov 16 2022,5215,0
Massachusetts,Nov  9 2022,6400,0
Massachusetts,Nov  2 2022,6200,0
Massachusetts,Oct 26 2022,8413,0
Massachusetts,Oct 19 2022,8377,0
Massachusetts,Oct 12 2022,8964,0
Massachusetts,Oct  5 2022,20282,0
Massachusetts,Sep 28 2022,10267,0
Massachusetts,Sep 21 2022,9004,0
Massachusetts,Sep 14 2022,7339,0
Massachusetts,Sep  7 2022,8742,0
Massachusetts,Aug 31 2022,8796,0
Massachusetts,Aug 24 2022,9069,0
Massachusetts,Aug 17 2022,9882,0
Massachusetts,Aug 10 2022,10584,0
Massachusetts,Aug  3 2022,11075,0
Massachusetts,Jul 27 2022,11525,0
Massachusetts,Jul 20 2022,7872,0
Massachusetts,Jul 13 2022,4101,0
Massachusetts,Jul  6 2022,9699,0
Massachusetts,Jun 29 2022,10643,0
Massachusetts,Jun 22 2022,9937,0
Massachusetts,Jun 15 2022,12519,0
Massachusetts,Jun  8 2022,16514,0
Massachusetts,Jun  1 2022,17534,0
Massachusetts,May 25 2022,25472,0
Massachusetts,May 18 2022,32720,0
Massachusetts,May 11 2022,27007,0
Massachusetts,May  4 2022,20525,0
Massachusetts,Apr 27 2022,16620,0
Massachusetts,Apr 20 2022,14769,0
Massachusetts,Apr 13 2022,12227,0
Massachusetts,Apr  6 2022,8995,0
Massachusetts,Mar 30 2022,7415,0
Massachusetts,Mar 23 2022,5714,0
Massachusetts,Mar 16 2022,5002,0
Massachusetts,Mar  9 2022,5422,0
Massachusetts,Mar  2 2022,6990,0
Massachusetts,Feb 23 2022,10277,0
Massachusetts,Feb 16 2022,13499,0
Massachusetts,Feb  9 2022,22578,0
Massachusetts,Feb  2 2022,39663,0
Massachusetts,Jan 26 2022,77207,0
Massachusetts,Jan 19 2022,113494,0
Massachusetts,Jan 12 2022,166550,0
Massachusetts,Jan  5 2022,127529,0
Massachusetts,Dec 29 2021,61094,0
Massachusetts,Dec 22 2021,43022,0
Massachusetts,Dec 15 2021,33820,0
Massachusetts,Dec  8 2021,33489,0
Massachusetts,Dec  1 2021,19993,0
Massachusetts,Nov 24 2021,20108,0
Massachusetts,Nov 17 2021,15006,0
Massachusetts,Nov 10 2021,11334,0
Massachusetts,Nov  3 2021,9012,0
Massachusetts,Oct 27 2021,9130,0
Massachusetts,Oct 20 2021,9944,0
Massachusetts,Oct 13 2021,9934,0
Massachusetts,Oct  6 2021,9620,0
Massachusetts,Sep 29 2021,11414,0
Massachusetts,Sep 22 2021,12278,0
Massachusetts,Sep 15 2021,13885,0
Massachusetts,Sep  8 2021,10836,0
Massachusetts,Sep  1 2021,11658,0
Massachusetts,Aug 25 2021,9622,0
Massachusetts,Aug 18 2021,8805,0
Massachusetts,Aug 11 2021,7803,0
Massachusetts,Aug  4 2021,6074,0
Massachusetts,Jul 28 2021,3930,0
Massachusetts,Jul 21 2021,2338,0
Massachusetts,Jul 14 2021,1158,0
Massachusetts,Jul  7 2021,552,0
Massachusetts,Jun 30 2021,423,0
Massachusetts,Jun 23 2021,464,0
Massachusetts,Jun 16 2021,620,0
Massachusetts,Jun  9 2021,1194,0
Massachusetts,Jun  2 2021,1238,0
Massachusetts,May 26 2021,2735,0
Massachusetts,May 19 2021,4105,0
Massachusetts,May 12 2021,5579,0
Massachusetts,May  5 2021,7365,0
Massachusetts,Apr 28 2021,9485,0
Massachusetts,Apr 21 2021,11815,0
Massachusetts,Apr 14 2021,14370,0
Massachusetts,Apr  7 2021,14993,0
Massachusetts,Mar 31 2021,15764,0
Massachusetts,Mar 24 2021,13439,0
Massachusetts,Mar 17 2021,11113,0
Massachusetts,Mar 10 2021,10518,0
Massachusetts,Mar  3 2021,10861,0
Massachusetts,Feb 24 2021,11949,0
Massachusetts,Feb 17 2021,12990,0
Massachusetts,Feb 10 2021,17829,0
Massachusetts,Feb  3 2021,21614,0
Massachusetts,Jan 27 2021,28463,0
Massachusetts,Jan 20 2021,32593,0
Massachusetts,Jan 13 2021,44394,0
Massachusetts,Jan  6 2021,36135,0
Massachusetts,Dec 30 2020,31930,0
Massachusetts,Dec 23 2020,31876,0
Massachusetts,Dec 16 2020,34700,0
Massachusetts,Dec  9 2020,35180,0
Massachusetts,Dec  2 2020,19638,0
Massachusetts,Nov 25 2020,18720,0
Massachusetts,Nov 18 2020,18327,0
Massachusetts,Nov 11 2020,14228,0
Massachusetts,Nov  4 2020,9081,0
Massachusetts,Oct 28 2020,8052,0
Massachusetts,Oct 21 2020,5173,0
Massachusetts,Oct 14 2020,4501,0
Massachusetts,Oct  7 2020,4375,0
Massachusetts,Sep 30 2020,3606,0
Massachusetts,Sep 23 2020,2813,0
Massachusetts,Sep 16 2020,2556,0
Massachusetts,Sep  9 2020,1317,0
Massachusetts,Sep  2 2020,2371,0
Massachusetts,Aug 26 2020,2173,0
Massachusetts,Aug 19 2020,2149,0
Massachusetts,Aug 12 2020,1991,0
Massachusetts,Aug  5 2020,2032,0
Massachusetts,Jul 29 2020,2003,0
Massachusetts,Jul 22 2020,1594,0
Massachusetts,Jul 15 2020,1606,0
Massachusetts,Jul  8 2020,1260,0
Massachusetts,Jul  1 2020,1298,0
Massachusetts,Jun 24 2020,1262,0
Massachusetts,Jun 17 2020,1399,0
Massachusetts,Jun 10 2020,2010,0
Massachusetts,Jun  3 2020,3093,0
Massachusetts,May 27 2020,4383,0
Massachusetts,May 20 2020,6870,0
Massachusetts,May 13 2020,8306,0
Massachusetts,May  6 2020,11231,0
Massachusetts,Apr 29 2020,13468,0
Massachusetts,Apr 22 2020,15569,0
Massachusetts,Apr 15 2020,13787,0
Massachusetts,Apr  8 2020,10727,0
Massachusetts,Apr  1 2020,6900,0
Massachusetts,Mar 25 2020,3344,0
Massachusetts,Mar 18 2020,887,0
Massachusetts,Mar 11 2020,126,0
Massachusetts,Mar  4 2020,4,0
Massachusetts,Feb 26 2020,0,0
Massachusetts,Feb 19 2020,0,0
Massachusetts,Feb 12 2020,1,0
Massachusetts,Feb  5 2020,0,0
Massachusetts,Jan 29 2020,1,0
