Data Table for Weekly Case Trends - Michigan
Date generated: Mon Dec 05 2022 12:42:36 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Michigan,Nov 30 2022,8831,0
Michigan,Nov 23 2022,8933,0
Michigan,Nov 16 2022,12860,0
Michigan,Nov  9 2022,9992,0
Michigan,Nov  2 2022,11651,0
Michigan,Oct 26 2022,12167,0
Michigan,Oct 19 2022,12414,0
Michigan,Oct 12 2022,12548,0
Michigan,Oct  5 2022,12880,0
Michigan,Sep 28 2022,14678,0
Michigan,Sep 21 2022,16901,0
Michigan,Sep 14 2022,18375,0
Michigan,Sep  7 2022,15854,0
Michigan,Aug 31 2022,19158,0
Michigan,Aug 24 2022,19414,0
Michigan,Aug 17 2022,23165,0
Michigan,Aug 10 2022,16137,0
Michigan,Aug  3 2022,20173,0
Michigan,Jul 27 2022,19653,0
Michigan,Jul 20 2022,16445,0
Michigan,Jul 13 2022,16681,0
Michigan,Jul  6 2022,13102,0
Michigan,Jun 29 2022,14353,0
Michigan,Jun 22 2022,10681,0
Michigan,Jun 15 2022,15578,0
Michigan,Jun  8 2022,18453,0
Michigan,Jun  1 2022,19535,0
Michigan,May 25 2022,25968,0
Michigan,May 18 2022,29267,0
Michigan,May 11 2022,27705,0
Michigan,May  4 2022,18945,0
Michigan,Apr 27 2022,14483,0
Michigan,Apr 20 2022,10481,0
Michigan,Apr 13 2022,7724,0
Michigan,Apr  6 2022,5761,0
Michigan,Mar 30 2022,5322,0
Michigan,Mar 23 2022,6749,0
Michigan,Mar 16 2022,5569,0
Michigan,Mar  9 2022,6339,0
Michigan,Mar  2 2022,13050,0
Michigan,Feb 23 2022,13062,0
Michigan,Feb 16 2022,20535,0
Michigan,Feb  9 2022,33861,0
Michigan,Feb  2 2022,79364,0
Michigan,Jan 26 2022,120666,0
Michigan,Jan 19 2022,142272,0
Michigan,Jan 12 2022,131970,0
Michigan,Jan  5 2022,98413,0
Michigan,Dec 29 2021,64747,0
Michigan,Dec 22 2021,45898,0
Michigan,Dec 15 2021,45890,0
Michigan,Dec  8 2021,58837,0
Michigan,Dec  1 2021,47723,0
Michigan,Nov 24 2021,59292,0
Michigan,Nov 17 2021,58849,0
Michigan,Nov 10 2021,31593,0
Michigan,Nov  3 2021,32115,0
Michigan,Oct 27 2021,27536,0
Michigan,Oct 20 2021,28119,0
Michigan,Oct 13 2021,30818,0
Michigan,Oct  6 2021,28844,0
Michigan,Sep 29 2021,24500,0
Michigan,Sep 22 2021,22607,0
Michigan,Sep 15 2021,21773,0
Michigan,Sep  8 2021,15513,0
Michigan,Sep  1 2021,15518,0
Michigan,Aug 25 2021,14329,0
Michigan,Aug 18 2021,10820,0
Michigan,Aug 11 2021,10919,0
Michigan,Aug  4 2021,5657,0
Michigan,Jul 28 2021,3800,0
Michigan,Jul 21 2021,2160,0
Michigan,Jul 14 2021,1572,0
Michigan,Jul  7 2021,935,0
Michigan,Jun 30 2021,1109,0
Michigan,Jun 23 2021,1054,0
Michigan,Jun 16 2021,1740,0
Michigan,Jun  9 2021,2634,0
Michigan,Jun  2 2021,3425,0
Michigan,May 26 2021,7600,0
Michigan,May 19 2021,12023,0
Michigan,May 12 2021,18476,0
Michigan,May  5 2021,23493,0
Michigan,Apr 28 2021,32960,0
Michigan,Apr 21 2021,44863,0
Michigan,Apr 14 2021,55092,0
Michigan,Apr  7 2021,49141,0
Michigan,Mar 31 2021,39799,0
Michigan,Mar 24 2021,26273,0
Michigan,Mar 17 2021,17706,0
Michigan,Mar 10 2021,11811,0
Michigan,Mar  3 2021,9494,0
Michigan,Feb 24 2021,8496,0
Michigan,Feb 17 2021,7802,0
Michigan,Feb 10 2021,9135,0
Michigan,Feb  3 2021,11608,0
Michigan,Jan 27 2021,14358,0
Michigan,Jan 20 2021,16591,0
Michigan,Jan 13 2021,21780,0
Michigan,Jan  6 2021,22905,0
Michigan,Dec 30 2020,20150,0
Michigan,Dec 23 2020,25662,0
Michigan,Dec 16 2020,34366,0
Michigan,Dec  9 2020,45528,0
Michigan,Dec  2 2020,50454,0
Michigan,Nov 25 2020,49375,0
Michigan,Nov 18 2020,51186,0
Michigan,Nov 11 2020,39746,0
Michigan,Nov  4 2020,26190,0
Michigan,Oct 28 2020,18068,0
Michigan,Oct 21 2020,13411,0
Michigan,Oct 14 2020,9364,0
Michigan,Oct  7 2020,7083,0
Michigan,Sep 30 2020,6758,0
Michigan,Sep 23 2020,5515,0
Michigan,Sep 16 2020,5866,0
Michigan,Sep  9 2020,5396,0
Michigan,Sep  2 2020,4991,0
Michigan,Aug 26 2020,5393,0
Michigan,Aug 19 2020,5361,0
Michigan,Aug 12 2020,4829,0
Michigan,Aug  5 2020,4932,0
Michigan,Jul 29 2020,5248,0
Michigan,Jul 22 2020,4816,0
Michigan,Jul 15 2020,4354,0
Michigan,Jul  8 2020,3462,0
Michigan,Jul  1 2020,2533,0
Michigan,Jun 24 2020,2057,0
Michigan,Jun 17 2020,1318,0
Michigan,Jun 10 2020,1545,0
Michigan,Jun  3 2020,3046,0
Michigan,May 27 2020,3279,0
Michigan,May 20 2020,5489,0
Michigan,May 13 2020,4085,0
Michigan,May  6 2020,5364,0
Michigan,Apr 29 2020,6968,0
Michigan,Apr 22 2020,6261,0
Michigan,Apr 15 2020,8068,0
Michigan,Apr  8 2020,11360,0
Michigan,Apr  1 2020,7251,0
Michigan,Mar 25 2020,2306,0
Michigan,Mar 18 2020,157,0
Michigan,Mar 11 2020,2,0
Michigan,Mar  4 2020,0,0
Michigan,Feb 26 2020,0,0
Michigan,Feb 19 2020,0,0
Michigan,Feb 12 2020,0,0
Michigan,Feb  5 2020,0,0
Michigan,Jan 29 2020,0,0
