Data Table for Weekly Case Trends - Minnesota
Date generated: Mon Dec 05 2022 12:45:46 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Minnesota,Nov 30 2022,4887,0
Minnesota,Nov 23 2022,6017,0
Minnesota,Nov 16 2022,4541,0
Minnesota,Nov  9 2022,5055,0
Minnesota,Nov  2 2022,3336,0
Minnesota,Oct 26 2022,5132,0
Minnesota,Oct 19 2022,4766,0
Minnesota,Oct 12 2022,5385,0
Minnesota,Oct  5 2022,5969,0
Minnesota,Sep 28 2022,6120,0
Minnesota,Sep 21 2022,6682,0
Minnesota,Sep 14 2022,6340,0
Minnesota,Sep  7 2022,6441,0
Minnesota,Aug 31 2022,8395,0
Minnesota,Aug 24 2022,9623,0
Minnesota,Aug 17 2022,9948,0
Minnesota,Aug 10 2022,10241,0
Minnesota,Aug  3 2022,10441,0
Minnesota,Jul 27 2022,10058,0
Minnesota,Jul 20 2022,9500,0
Minnesota,Jul 13 2022,9525,0
Minnesota,Jul  6 2022,8683,0
Minnesota,Jun 29 2022,12422,0
Minnesota,Jun 22 2022,6551,0
Minnesota,Jun 15 2022,10568,0
Minnesota,Jun  8 2022,14359,0
Minnesota,Jun  1 2022,8398,0
Minnesota,May 25 2022,12247,0
Minnesota,May 18 2022,14805,0
Minnesota,May 11 2022,14187,0
Minnesota,May  4 2022,10414,0
Minnesota,Apr 27 2022,7662,0
Minnesota,Apr 20 2022,5379,0
Minnesota,Apr 13 2022,3932,0
Minnesota,Apr  6 2022,2981,0
Minnesota,Mar 30 2022,2776,0
Minnesota,Mar 23 2022,2803,0
Minnesota,Mar 16 2022,3070,0
Minnesota,Mar  9 2022,4594,0
Minnesota,Mar  2 2022,5864,0
Minnesota,Feb 23 2022,10115,0
Minnesota,Feb 16 2022,21446,0
Minnesota,Feb  9 2022,31989,0
Minnesota,Feb  2 2022,66338,0
Minnesota,Jan 26 2022,86855,0
Minnesota,Jan 19 2022,78185,0
Minnesota,Jan 12 2022,65812,0
Minnesota,Jan  5 2022,33820,0
Minnesota,Dec 29 2021,22556,0
Minnesota,Dec 22 2021,21201,0
Minnesota,Dec 15 2021,23176,0
Minnesota,Dec  8 2021,32567,0
Minnesota,Dec  1 2021,24780,0
Minnesota,Nov 24 2021,29869,0
Minnesota,Nov 17 2021,29550,0
Minnesota,Nov 10 2021,23740,0
Minnesota,Nov  3 2021,26426,0
Minnesota,Oct 27 2021,15853,0
Minnesota,Oct 20 2021,16634,0
Minnesota,Oct 13 2021,19850,0
Minnesota,Oct  6 2021,21113,0
Minnesota,Sep 29 2021,16464,0
Minnesota,Sep 22 2021,15327,0
Minnesota,Sep 15 2021,13251,0
Minnesota,Sep  8 2021,11873,0
Minnesota,Sep  1 2021,10935,0
Minnesota,Aug 25 2021,9927,0
Minnesota,Aug 18 2021,8296,0
Minnesota,Aug 11 2021,6289,0
Minnesota,Aug  4 2021,4449,0
Minnesota,Jul 28 2021,2779,0
Minnesota,Jul 21 2021,1618,0
Minnesota,Jul 14 2021,1039,0
Minnesota,Jul  7 2021,706,0
Minnesota,Jun 30 2021,658,0
Minnesota,Jun 23 2021,768,0
Minnesota,Jun 16 2021,991,0
Minnesota,Jun  9 2021,1519,0
Minnesota,Jun  2 2021,1736,0
Minnesota,May 26 2021,3739,0
Minnesota,May 19 2021,5731,0
Minnesota,May 12 2021,7874,0
Minnesota,May  5 2021,10498,0
Minnesota,Apr 28 2021,11549,0
Minnesota,Apr 21 2021,13331,0
Minnesota,Apr 14 2021,14434,0
Minnesota,Apr  7 2021,13112,0
