Data Table for Weekly Case Trends - Montana
Date generated: Mon Dec 05 2022 12:46:39 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
Montana,Nov 30 2022,918,0
Montana,Nov 23 2022,971,0
Montana,Nov 16 2022,884,0
Montana,Nov  9 2022,829,0
Montana,Nov  2 2022,857,0
Montana,Oct 26 2022,755,0
Montana,Oct 19 2022,948,0
Montana,Oct 12 2022,1031,0
Montana,Oct  5 2022,1099,0
Montana,Sep 28 2022,1279,0
Montana,Sep 21 2022,1430,0
Montana,Sep 14 2022,1314,0
Montana,Sep  7 2022,1148,0
Montana,Aug 31 2022,1392,0
Montana,Aug 24 2022,1714,0
Montana,Aug 17 2022,1848,0
Montana,Aug 10 2022,1862,0
Montana,Aug  3 2022,2146,0
Montana,Jul 27 2022,2259,0
Montana,Jul 20 2022,2315,0
Montana,Jul 13 2022,2682,0
Montana,Jul  6 2022,2199,0
Montana,Jun 29 2022,2127,0
Montana,Jun 22 2022,1963,0
Montana,Jun 15 2022,2088,0
Montana,Jun  8 2022,1972,0
Montana,Jun  1 2022,1496,0
Montana,May 25 2022,1305,0
Montana,May 18 2022,1080,0
Montana,May 11 2022,727,0
Montana,May  4 2022,603,0
Montana,Apr 27 2022,418,0
Montana,Apr 20 2022,349,0
Montana,Apr 13 2022,228,0
Montana,Apr  6 2022,245,0
Montana,Mar 30 2022,239,0
Montana,Mar 23 2022,359,0
Montana,Mar 16 2022,488,0
Montana,Mar  9 2022,3321,0
Montana,Mar  2 2022,3861,0
Montana,Feb 23 2022,4574,0
Montana,Feb 16 2022,5467,0
Montana,Feb  9 2022,9678,0
Montana,Feb  2 2022,11499,0
Montana,Jan 26 2022,15009,0
Montana,Jan 19 2022,9915,0
Montana,Jan 12 2022,7574,0
Montana,Jan  5 2022,3498,0
Montana,Dec 29 2021,1639,0
Montana,Dec 22 2021,1022,0
Montana,Dec 15 2021,1126,0
Montana,Dec  8 2021,1680,0
Montana,Dec  1 2021,1915,0
Montana,Nov 24 2021,2876,0
Montana,Nov 17 2021,3589,0
Montana,Nov 10 2021,4232,0
Montana,Nov  3 2021,4897,0
Montana,Oct 27 2021,5571,0
Montana,Oct 20 2021,6273,0
Montana,Oct 13 2021,6161,0
Montana,Oct  6 2021,6255,0
Montana,Sep 29 2021,6000,0
Montana,Sep 22 2021,6433,0
Montana,Sep 15 2021,5640,0
Montana,Sep  8 2021,3651,0
Montana,Sep  1 2021,3823,0
Montana,Aug 25 2021,2896,0
Montana,Aug 18 2021,2258,0
Montana,Aug 11 2021,1795,0
Montana,Aug  4 2021,1439,0
Montana,Jul 28 2021,887,0
Montana,Jul 21 2021,495,0
Montana,Jul 14 2021,407,0
Montana,Jul  7 2021,348,0
Montana,Jun 30 2021,350,0
Montana,Jun 23 2021,382,0
Montana,Jun 16 2021,430,0
Montana,Jun  9 2021,590,0
Montana,Jun  2 2021,545,0
Montana,May 26 2021,530,0
Montana,May 19 2021,632,0
Montana,May 12 2021,853,0
Montana,May  5 2021,958,0
Montana,Apr 28 2021,951,0
Montana,Apr 21 2021,904,0
Montana,Apr 14 2021,1106,0
Montana,Apr  7 2021,980,0
Montana,Mar 31 2021,883,0
Montana,Mar 24 2021,1187,0
Montana,Mar 17 2021,1232,0
Montana,Mar 10 2021,893,0
Montana,Mar  3 2021,1109,0
Montana,Feb 24 2021,1340,0
Montana,Feb 17 2021,1303,0
Montana,Feb 10 2021,1787,0
Montana,Feb  3 2021,2268,0
Montana,Jan 27 2021,2282,0
Montana,Jan 20 2021,2604,0
Montana,Jan 13 2021,3593,0
Montana,Jan  6 2021,2835,0
Montana,Dec 30 2020,2724,0
Montana,Dec 23 2020,3853,0
Montana,Dec 16 2020,4514,0
Montana,Dec  9 2020,5793,0
Montana,Dec  2 2020,5773,0
Montana,Nov 25 2020,7986,0
Montana,Nov 18 2020,8590,0
Montana,Nov 11 2020,6094,0
Montana,Nov  4 2020,5930,0
Montana,Oct 28 2020,5257,0
Montana,Oct 21 2020,4500,0
Montana,Oct 14 2020,4150,0
Montana,Oct  7 2020,2989,0
Montana,Sep 30 2020,2159,0
Montana,Sep 23 2020,1480,0
Montana,Sep 16 2020,964,0
Montana,Sep  9 2020,778,0
Montana,Sep  2 2020,904,0
Montana,Aug 26 2020,832,0
Montana,Aug 19 2020,685,0
Montana,Aug 12 2020,841,0
Montana,Aug  5 2020,756,0
Montana,Jul 29 2020,860,0
Montana,Jul 22 2020,718,0
Montana,Jul 15 2020,724,0
Montana,Jul  8 2020,354,0
Montana,Jul  1 2020,252,0
Montana,Jun 24 2020,135,0
Montana,Jun 17 2020,69,0
Montana,Jun 10 2020,37,0
Montana,Jun  3 2020,43,0
Montana,May 27 2020,3,0
Montana,May 20 2020,16,0
Montana,May 13 2020,7,0
Montana,May  6 2020,4,0
Montana,Apr 29 2020,12,0
Montana,Apr 22 2020,35,0
Montana,Apr 15 2020,72,0
Montana,Apr  8 2020,125,0
Montana,Apr  1 2020,142,0
Montana,Mar 25 2020,55,0
Montana,Mar 18 2020,10,0
Montana,Mar 11 2020,0,0
Montana,Mar  4 2020,0,0
Montana,Feb 26 2020,0,0
Montana,Feb 19 2020,0,0
Montana,Feb 12 2020,0,0
Montana,Feb  5 2020,0,0
Montana,Jan 29 2020,0,0
