Data Table for Weekly Case Trends - New Hampshire
Date generated: Mon Dec 05 2022 12:47:26 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
New Hampshire,Nov 30 2022,892,0
New Hampshire,Nov 23 2022,817,0
New Hampshire,Nov 16 2022,847,0
New Hampshire,Nov  9 2022,1244,0
New Hampshire,Nov  2 2022,1227,0
New Hampshire,Oct 26 2022,1420,0
New Hampshire,Oct 19 2022,2053,0
New Hampshire,Oct 12 2022,1431,0
New Hampshire,Oct  5 2022,1593,0
New Hampshire,Sep 28 2022,1484,0
New Hampshire,Sep 21 2022,1735,0
New Hampshire,Sep 14 2022,1184,0
New Hampshire,Sep  7 2022,1062,0
New Hampshire,Aug 31 2022,1196,0
New Hampshire,Aug 24 2022,1148,0
New Hampshire,Aug 17 2022,1374,0
New Hampshire,Aug 10 2022,1482,0
New Hampshire,Aug  3 2022,1352,0
New Hampshire,Jul 27 2022,1645,0
New Hampshire,Jul 20 2022,1344,0
New Hampshire,Jul 13 2022,1594,0
New Hampshire,Jul  6 2022,1368,0
New Hampshire,Jun 29 2022,1401,0
New Hampshire,Jun 22 2022,1252,0
New Hampshire,Jun 15 2022,1416,0
New Hampshire,Jun  8 2022,1981,0
New Hampshire,Jun  1 2022,2507,0
New Hampshire,May 25 2022,3425,0
New Hampshire,May 18 2022,4454,0
New Hampshire,May 11 2022,3286,0
New Hampshire,May  4 2022,2968,0
New Hampshire,Apr 27 2022,2469,0
New Hampshire,Apr 20 2022,1931,0
New Hampshire,Apr 13 2022,2252,0
New Hampshire,Apr  6 2022,158,0
New Hampshire,Mar 30 2022,849,0
New Hampshire,Mar 23 2022,841,0
New Hampshire,Mar 16 2022,820,0
New Hampshire,Mar  9 2022,1065,0
New Hampshire,Mar  2 2022,3107,0
New Hampshire,Feb 23 2022,4161,0
New Hampshire,Feb 16 2022,5677,0
New Hampshire,Feb  9 2022,7172,0
New Hampshire,Feb  2 2022,10891,0
New Hampshire,Jan 26 2022,16359,0
New Hampshire,Jan 19 2022,22068,0
New Hampshire,Jan 12 2022,21300,0
New Hampshire,Jan  5 2022,11417,0
New Hampshire,Dec 29 2021,8012,0
New Hampshire,Dec 22 2021,8406,0
New Hampshire,Dec 15 2021,8700,0
New Hampshire,Dec  8 2021,8955,0
New Hampshire,Dec  1 2021,6872,0
New Hampshire,Nov 24 2021,6993,0
New Hampshire,Nov 17 2021,6249,0
New Hampshire,Nov 10 2021,4691,0
New Hampshire,Nov  3 2021,5337,0
New Hampshire,Oct 27 2021,1826,0
New Hampshire,Oct 20 2021,3842,0
New Hampshire,Oct 13 2021,3839,0
New Hampshire,Oct  6 2021,3214,0
New Hampshire,Sep 29 2021,3763,0
New Hampshire,Sep 22 2021,2666,0
New Hampshire,Sep 15 2021,3035,0
New Hampshire,Sep  8 2021,2235,0
New Hampshire,Sep  1 2021,2138,0
New Hampshire,Aug 25 2021,1894,0
New Hampshire,Aug 18 2021,1636,0
New Hampshire,Aug 11 2021,1076,0
New Hampshire,Aug  4 2021,812,0
New Hampshire,Jul 28 2021,393,0
New Hampshire,Jul 21 2021,231,0
New Hampshire,Jul 14 2021,190,0
New Hampshire,Jul  7 2021,146,0
New Hampshire,Jun 30 2021,139,0
New Hampshire,Jun 23 2021,170,0
New Hampshire,Jun 16 2021,200,0
New Hampshire,Jun  9 2021,205,0
New Hampshire,Jun  2 2021,321,0
New Hampshire,May 26 2021,492,0
New Hampshire,May 19 2021,885,0
New Hampshire,May 12 2021,1212,0
New Hampshire,May  5 2021,1476,0
New Hampshire,Apr 28 2021,2010,0
New Hampshire,Apr 21 2021,2412,0
New Hampshire,Apr 14 2021,3048,0
New Hampshire,Apr  7 2021,2759,0
New Hampshire,Mar 31 2021,2655,0
New Hampshire,Mar 24 2021,2154,0
New Hampshire,Mar 17 2021,1902,0
New Hampshire,Mar 10 2021,1475,0
New Hampshire,Mar  3 2021,1732,0
New Hampshire,Feb 24 2021,2293,0
New Hampshire,Feb 17 2021,2718,0
New Hampshire,Feb 10 2021,2526,0
New Hampshire,Feb  3 2021,3158,0
New Hampshire,Jan 27 2021,4126,0
New Hampshire,Jan 20 2021,5312,0
New Hampshire,Jan 13 2021,5287,0
New Hampshire,Jan  6 2021,5596,0
New Hampshire,Dec 30 2020,4730,0
New Hampshire,Dec 23 2020,5079,0
New Hampshire,Dec 16 2020,5841,0
New Hampshire,Dec  9 2020,5224,0
New Hampshire,Dec  2 2020,3522,0
New Hampshire,Nov 25 2020,3080,0
New Hampshire,Nov 18 2020,2614,0
New Hampshire,Nov 11 2020,1589,0
New Hampshire,Nov  4 2020,922,0
New Hampshire,Oct 28 2020,724,0
New Hampshire,Oct 21 2020,568,0
New Hampshire,Oct 14 2020,618,0
New Hampshire,Oct  7 2020,464,0
New Hampshire,Sep 30 2020,260,0
New Hampshire,Sep 23 2020,226,0
New Hampshire,Sep 16 2020,287,0
New Hampshire,Sep  9 2020,185,0
New Hampshire,Sep  2 2020,153,0
New Hampshire,Aug 26 2020,120,0
New Hampshire,Aug 19 2020,149,0
New Hampshire,Aug 12 2020,168,0
New Hampshire,Aug  5 2020,206,0
New Hampshire,Jul 29 2020,218,0
New Hampshire,Jul 22 2020,182,0
New Hampshire,Jul 15 2020,161,0
New Hampshire,Jul  8 2020,150,0
New Hampshire,Jul  1 2020,204,0
New Hampshire,Jun 24 2020,161,0
New Hampshire,Jun 17 2020,259,0
New Hampshire,Jun 10 2020,383,0
New Hampshire,Jun  3 2020,509,0
New Hampshire,May 27 2020,418,0
New Hampshire,May 20 2020,569,0
New Hampshire,May 13 2020,558,0
New Hampshire,May  6 2020,683,0
New Hampshire,Apr 29 2020,470,0
New Hampshire,Apr 22 2020,449,0
New Hampshire,Apr 15 2020,392,0
New Hampshire,Apr  8 2020,380,0
New Hampshire,Apr  1 2020,259,0
New Hampshire,Mar 25 2020,71,0
New Hampshire,Mar 18 2020,32,0
New Hampshire,Mar 11 2020,3,0
New Hampshire,Mar  4 2020,2,0
New Hampshire,Feb 26 2020,0,0
New Hampshire,Feb 19 2020,0,0
New Hampshire,Feb 12 2020,0,0
New Hampshire,Feb  5 2020,0,0
New Hampshire,Jan 29 2020,0,0
