Data Table for Weekly Case Trends - New Jersey
Date generated: Mon Dec 05 2022 12:47:44 GMT-0500 (Eastern Standard Time)
Geography,Date,Weekly Cases,New Historic Cases
New Jersey,Nov 30 2022,13060,0
New Jersey,Nov 23 2022,11153,0
New Jersey,Nov 16 2022,10751,0
New Jersey,Nov  9 2022,12139,0
New Jersey,Nov  2 2022,14279,0
New Jersey,Oct 26 2022,11423,0
New Jersey,Oct 19 2022,12464,0
New Jersey,Oct 12 2022,12967,0
New Jersey,Oct  5 2022,14641,0
New Jersey,Sep 28 2022,16374,0
New Jersey,Sep 21 2022,16018,0
New Jersey,Sep 14 2022,13969,0
New Jersey,Sep  7 2022,12439,0
New Jersey,Aug 31 2022,15059,0
New Jersey,Aug 24 2022,16144,0
New Jersey,Aug 17 2022,17950,0
New Jersey,Aug 10 2022,21550,0
New Jersey,Aug  3 2022,23735,0
New Jersey,Jul 27 2022,26191,0
New Jersey,Jul 20 2022,25507,0
New Jersey,Jul 13 2022,25104,0
New Jersey,Jul  6 2022,20852,0
New Jersey,Jun 29 2022,20633,0
New Jersey,Jun 22 2022,19500,0
New Jersey,Jun 15 2022,20101,0
New Jersey,Jun  8 2022,26449,0
New Jersey,Jun  1 2022,27649,0
New Jersey,May 25 2022,35253,0
New Jersey,May 18 2022,34848,0
New Jersey,May 11 2022,27357,0
New Jersey,May  4 2022,21006,0
New Jersey,Apr 27 2022,17010,0
New Jersey,Apr 20 2022,13976,0
New Jersey,Apr 13 2022,12940,0
New Jersey,Apr  6 2022,9779,0
New Jersey,Mar 30 2022,7504,0
New Jersey,Mar 23 2022,6595,0
New Jersey,Mar 16 2022,6642,0
New Jersey,Mar  9 2022,7537,0
New Jersey,Mar  2 2022,8870,0
New Jersey,Feb 23 2022,10840,0
New Jersey,Feb 16 2022,13964,0
New Jersey,Feb  9 2022,17089,0
New Jersey,Feb  2 2022,33913,0
New Jersey,Jan 26 2022,59769,0
New Jersey,Jan 19 2022,110199,0
New Jersey,Jan 12 2022,203679,0
New Jersey,Jan  5 2022,216384,0
New Jersey,Dec 29 2021,122142,0
New Jersey,Dec 22 2021,57104,0
New Jersey,Dec 15 2021,32183,0
New Jersey,Dec  8 2021,28032,0
New Jersey,Dec  1 2021,17534,0
New Jersey,Nov 24 2021,14904,0
New Jersey,Nov 17 2021,12032,0
New Jersey,Nov 10 2021,9172,0
New Jersey,Nov  3 2021,9050,0
New Jersey,Oct 27 2021,8806,0
New Jersey,Oct 20 2021,8506,0
New Jersey,Oct 13 2021,11511,0
New Jersey,Oct  6 2021,12135,0
New Jersey,Sep 29 2021,12876,0
New Jersey,Sep 22 2021,16003,0
New Jersey,Sep 15 2021,15073,0
New Jersey,Sep  8 2021,14042,0
New Jersey,Sep  1 2021,14349,0
New Jersey,Aug 25 2021,14164,0
New Jersey,Aug 18 2021,12338,0
New Jersey,Aug 11 2021,9696,0
New Jersey,Aug  4 2021,7727,0
New Jersey,Jul 28 2021,5395,0
New Jersey,Jul 21 2021,3566,0
New Jersey,Jul 14 2021,2266,0
New Jersey,Jul  7 2021,1331,0
New Jersey,Jun 30 2021,1595,0
New Jersey,Jun 23 2021,1496,0
New Jersey,Jun 16 2021,1839,0
New Jersey,Jun  9 2021,1721,0
New Jersey,Jun  2 2021,1795,0
New Jersey,May 26 2021,2806,0
New Jersey,May 19 2021,3181,0
New Jersey,May 12 2021,4664,0
New Jersey,May  5 2021,11197,0
New Jersey,Apr 28 2021,8420,0
New Jersey,Apr 21 2021,21219,0
New Jersey,Apr 14 2021,25505,0
New Jersey,Apr  7 2021,29163,0
New Jersey,Mar 31 2021,30880,0
New Jersey,Mar 24 2021,29209,0
New Jersey,Mar 17 2021,25910,0
New Jersey,Mar 10 2021,23341,0
New Jersey,Mar  3 2021,24090,0
New Jersey,Feb 24 2021,20212,0
New Jersey,Feb 17 2021,22500,0
New Jersey,Feb 10 2021,26867,0
New Jersey,Feb  3 2021,29270,0
New Jersey,Jan 27 2021,35397,0
New Jersey,Jan 20 2021,38511,0
New Jersey,Jan 13 2021,42572,0
New Jersey,Jan  6 2021,36762,0
New Jersey,Dec 30 2020,31954,0
New Jersey,Dec 23 2020,34403,0
New Jersey,Dec 16 2020,38077,0
New Jersey,Dec  9 2020,40237,0
New Jersey,Dec  2 2020,33226,0
New Jersey,Nov 25 2020,32697,0
New Jersey,Nov 18 2020,30468,0
New Jersey,Nov 11 2020,22524,0
New Jersey,Nov  4 2020,15714,0
New Jersey,Oct 28 2020,12133,0
New Jersey,Oct 21 2020,8779,0
New Jersey,Oct 14 2020,7176,0
New Jersey,Oct  7 2020,5244,0
New Jersey,Sep 30 2020,4892,0
New Jersey,Sep 23 2020,3638,0
New Jersey,Sep 16 2020,3149,0
New Jersey,Sep  9 2020,2759,0
New Jersey,Sep  2 2020,2573,0
New Jersey,Aug 26 2020,2169,0
New Jersey,Aug 19 2020,2780,0
New Jersey,Aug 12 2020,2893,0
New Jersey,Aug  5 2020,3013,0
New Jersey,Jul 29 2020,3300,0
